ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[        0    250000   1000000   5000000 200000000],[0.00176322 0.35411172 0.63679064 0.00733442],1.0,1.0,4
1,equal-width,[0.e+00 1.e+08 2.e+08],[9.99985183e-01 1.48170099e-05],0.8635878312703313,0.46304413148517876,2
2,equal-width-data,[0.00000000e+00 8.28170100e+07 1.65557393e+08],[0.99998518 0.        ],0.8635073238474227,0.5122156772350185,1
3,equal-frequency,[0.00000000e+00 1.19870050e+06 1.65557393e+08],[0.49856275 0.50142243],0.9641254967539781,0.535249179945323,1
4,kbins,[0.00000000e+00 8.28170100e+07 1.65557393e+08],[0.99998518 0.        ],0.8635073238474227,0.5122156772350185,1
5,kbins-quantile,[0.00000000e+00 1.19870050e+06 1.65557393e+08],[0.49856275 0.50142243],0.9641254967539781,0.535249179945323,1
6,decision-tree,[0.00000000e+00 1.27153700e+06 1.65557393e+08],[0.55131131 0.44867388],0.9446884961816042,0.5352486830070171,1
7,kmeans,[0.00000000e+00 1.15652166e+06 1.65557393e+08],[0.47332938 0.5266558 ],0.9730987527104566,0.5352494509181471,1
8,random-forest,[0.00000000e+00 1.13036700e+06 1.27693300e+06 1.65557393e+08],[0.45362276 0.09768855 0.44867388],0.9249568932672777,0.5398621211015021,1
9,equal-width,[0.00000000e+00 6.66666667e+07 1.33333333e+08 2.00000000e+08],[9.99985183e-01 0.00000000e+00 1.48170099e-05],0.8635878312703313,0.43280775824865736,1
10,equal-width-data,[0.00000000e+00 5.52368823e+07 1.65557393e+08],[0.99998518 0.        ],0.8635073238474227,0.5248974245943945,1
11,equal-frequency,[0.00000000e+00 9.65611667e+05 1.48500200e+06 1.65557393e+08],[0.33253815 0.33412357 0.33332346],0.8624936568615724,0.5398624862869202,1
12,kbins,[0.00000000e+00 5.52368823e+07 1.10397138e+08 1.65557393e+08],[0.99998518 0.         0.        ],0.8635073238474227,0.49012048627822224,1
13,kbins-quantile,[0.00000000e+00 9.65611667e+05 1.48500200e+06 1.65557393e+08],[0.33253815 0.33412357 0.33332346],0.8624936568615724,0.5398624862869219,1
14,decision-tree,[0.00000000e+00 9.45639500e+05 1.27153700e+06 1.65557393e+08],[0.31170544 0.23960587 0.44867388],0.917806078764734,0.539863149709452,1
15,kmeans,[0.00000000e+00 1.14958152e+06 3.04930952e+06 1.65557393e+08],[0.46347607 0.49847385 0.03803526],0.6756076233544936,0.5398475812809296,1
16,random-forest,"[0.00000000e+00 7.43242000e+05 9.52992500e+05 1.28640450e+06
 1.65557393e+08]",[0.15723811 0.16571344 0.232227   0.44480664],0.9001475968567503,0.937842599589214,1
