ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[0 1 2 8],[0.89525856 0.09958512 0.00515632],1.0,1.0,4
1,equal-width,[0. 4. 8.],[9.99674026e-01 3.25974218e-04],0.9855452946986972,0.5354124580249533,1
2,equal-width-data,[0.  3.5 7. ],[9.99674026e-01 3.25974218e-04],0.9865172879625423,0.5657030262756386,1
3,kbins,[0.  3.5 7. ],[9.99674026e-01 3.25974218e-04],0.9865172879625423,0.5657030262756386,1
4,kbins-quantile,[0. 7.],[1.],0.9691304654923466,0.5461932194651495,1
5,decision-tree,[0.  0.5 7. ],[0.89525856 0.10474144],0.047602262011026575,0.5796041469432331,1
6,kmeans,[-1.1837753e-14  7.0000000e+00],[1.],0.9691304654923466,0.5461932194651495,1
7,random-forest,[0.  0.5 2.5 7. ],[0.89525856 0.10345236 0.00128908],0.030768338985276866,0.945499568536543,1
8,equal-width,[0.         2.66666667 5.33333333 8.        ],[9.98710920e-01 1.25944584e-03 2.96340199e-05],0.9939970520839623,0.8341604682983352,1
9,equal-width-data,[0.    2.333 4.667 7.   ],[9.98710920e-01 1.20017780e-03 8.89020596e-05],0.9922792856068048,0.8600581591807469,1
10,kbins,[0.         2.33333333 4.66666667 7.        ],[9.98710920e-01 1.20017780e-03 8.89020596e-05],0.9922792856068048,0.8600644498498698,1
11,kbins-quantile,[0. 7.],[1.],0.9691304654923466,0.5461932194651495,1
12,decision-tree,[0.  0.5 5.5 7. ],[8.95258557e-01 1.04711809e-01 2.96340199e-05],0.03877501807695094,0.8364987056096291,1
13,kmeans,[-1.1837753e-14  1.0000000e+00  7.0000000e+00],[0.89525856 0.10474144],0.047602262011026575,0.5801933495496097,1
14,random-forest,[0.  0.5 2.5 4.5 7. ],[8.95258557e-01 1.03452363e-01 1.20017780e-03 8.89020596e-05],0.026416015178211127,0.6503183909285873,1
15,equal-width,[0. 2. 4. 6. 8.],[9.94843681e-01 4.83034524e-03 2.96340199e-04 2.96340199e-05],0.9958091271375232,0.6197968234673144,2
16,equal-width-data,[0.   1.75 3.5  5.25 7.  ],[9.94843681e-01 4.83034524e-03 2.96340199e-04 2.96340199e-05],0.9954705050614245,0.657108971500066,1
17,kbins,[0.   1.75 3.5  5.25 7.  ],[9.94843681e-01 4.83034524e-03 2.96340199e-04 2.96340199e-05],0.9954705050614245,0.657108971500066,1
18,kbins-quantile,[0. 7.],[1.],0.9691304654923466,0.5461932194651495,1
19,decision-tree,[0.  0.5 3.5 5.5 7. ],[8.95258557e-01 1.04415469e-01 2.96340199e-04 2.96340199e-05],0.031348180309088924,0.6618337159864036,1
20,kmeans,[-1.1837753e-14  1.0000000e+00  2.0000000e+00  7.0000000e+00],[0.89525856 0.10345236 0.00128908],0.030768338985276866,0.9555005840510016,1
21,random-forest,[0.    0.5   2.25  4.    5.125 7.   ],"[8.95258557e-01 1.03452363e-01 9.63105645e-04 2.96340199e-04
 2.96340199e-05]",0.02502872265187106,0.5741563411506776,1
22,equal-width,[0.  1.6 3.2 4.8 6.4 8. ],"[9.94843681e-01 4.83034524e-03 2.37072159e-04 7.40850496e-05
 1.48170099e-05]",0.9923511486478551,0.5186652222030579,1
23,equal-width-data,[0.  1.4 2.8 4.2 5.6 7. ],"[9.94843681e-01 3.86723959e-03 1.20017780e-03 5.92680397e-05
 2.96340199e-05]",0.9942603836665943,0.564905836981155,1
24,kbins,[0.  1.4 2.8 4.2 5.6 7. ],"[9.94843681e-01 3.86723959e-03 1.20017780e-03 5.92680397e-05
 2.96340199e-05]",0.9942603836665943,0.564905836981155,1
25,kbins-quantile,[0. 7.],[1.],0.9691304654923466,0.5461932194651495,1
26,decision-tree,[0.  0.5 1.5 3.5 5.5 7. ],"[8.95258557e-01 9.95851237e-02 4.83034524e-03 2.96340199e-04
 2.96340199e-05]",0.005311264103959434,0.5550058405100153,1
27,kmeans,"[-1.1837753e-14  1.0000000e+00  2.0000000e+00  3.0000000e+00
  7.0000000e+00]",[8.95258557e-01 1.03452363e-01 9.63105645e-04 3.25974218e-04],0.027681613668603777,0.6172015498132908,1
28,random-forest,[0.  0.5 1.9 3.3 4.6 5.3 7. ],"[8.95258557e-01 9.95851237e-02 4.83034524e-03 2.37072159e-04
 5.92680397e-05 2.96340199e-05]",0.004334456694768063,0.5113161746199095,1
29,equal-width,"[0.         1.33333333 2.66666667 4.         5.33333333 6.66666667
 8.        ]","[9.94843681e-01 3.86723959e-03 9.63105645e-04 2.96340199e-04
 1.48170099e-05 1.48170099e-05]",0.9911410272530249,0.44877374424062144,1
30,equal-width-data,[0.    1.167 2.333 3.5   4.667 5.833 7.   ],"[9.94843681e-01 3.86723959e-03 9.63105645e-04 2.37072159e-04
 5.92680397e-05 2.96340199e-05]",0.9932785973710344,0.5020963630548896,1
31,kbins,"[0.         1.16666667 2.33333333 3.5        4.66666667 5.83333333
 7.        ]","[9.94843681e-01 3.86723959e-03 9.63105645e-04 2.37072159e-04
 5.92680397e-05 2.96340199e-05]",0.9932785973710344,0.5020945963547916,1
32,kbins-quantile,[0. 7.],[1.],0.9691304654923466,0.5461932194651495,1
33,decision-tree,[0.  0.5 1.5 3.5 4.5 5.5 7. ],"[8.95258557e-01 9.95851237e-02 4.83034524e-03 2.37072159e-04
 5.92680397e-05 2.96340199e-05]",0.004334456694768063,0.5120258081812235,1
34,kmeans,"[-1.1837753e-14  1.0000000e+00  2.0000000e+00  3.0000000e+00
  4.0000000e+00  7.0000000e+00]","[8.95258557e-01 1.03452363e-01 9.63105645e-04 0.00000000e+00
 3.25974218e-04]",0.025434228882651344,0.5778414731618249,1
35,random-forest,[0.  0.5 1.5 2.5 3.5 4.5 5.5 7. ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.0031193564135693075,0.46879550282232907,1
36,equal-width,"[0.         1.14285714 2.28571429 3.42857143 4.57142857 5.71428571
 6.85714286 8.        ]","[9.94843681e-01 3.86723959e-03 9.63105645e-04 2.37072159e-04
 5.92680397e-05 1.48170099e-05 1.48170099e-05]",0.990159240957465,0.39380846641596245,1
37,equal-width-data,[0. 1. 2. 3. 4. 5. 6. 7.],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.9925396710913303,0.4531820220675815,1
38,kbins,[0. 1. 2. 3. 4. 5. 6. 7.],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.9925396710913303,0.4531820220675815,1
39,kbins-quantile,[0. 7.],[1.],0.9691304654923466,0.5461932194651495,1
40,decision-tree,[0.  0.5 1.5 2.5 3.5 4.5 5.5 7. ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.0031193564135693075,0.46879550282232907,1
41,kmeans,"[-1.1837753e-14  1.0000000e+00  2.0000000e+00  3.0000000e+00
  4.0000000e+00  5.0000000e+00  7.0000000e+00]","[8.95258557e-01 1.03452363e-01 9.63105645e-04 0.00000000e+00
 2.37072159e-04 8.89020596e-05]",0.024046936356311277,0.5227969276322421,1
42,random-forest,[0.  0.5 1.5 2.5 3.5 4.5 5.  5.5 7. ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 0.00000000e+00 5.92680397e-05 2.96340199e-05]",0.0031193564135693075,0.4240805886959256,1
43,equal-width,[0. 1. 2. 3. 4. 5. 6. 7. 8.],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 1.48170099e-05 1.48170099e-05]",0.990159240957465,0.34751047958038006,1
44,equal-width-data,[0.    0.875 1.75  2.625 3.5   4.375 5.25  6.125 7.   ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 1.48170099e-05 1.48170099e-05]",0.002380430133865241,0.4122749009279867,1
45,kbins,[0.    0.875 1.75  2.625 3.5   4.375 5.25  6.125 7.   ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 1.48170099e-05 1.48170099e-05]",0.002380430133865241,0.4122749009279867,1
46,kbins-quantile,[0. 7.],[1.],0.9691304654923466,0.5461932194651495,1
47,decision-tree,[0.  0.5 1.5 2.5 3.5 4.5 5.5 7. ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.0031193564135693075,0.46879550282232907,1
48,kmeans,"[-1.1837753e-14  1.0000000e+00  2.0000000e+00  3.0000000e+00
  4.0000000e+00  5.0000000e+00  6.0000000e+00  7.0000000e+00]","[8.95258557e-01 1.03452363e-01 0.00000000e+00 9.63105645e-04
 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.02330801007660721,0.4531820220675815,1
49,random-forest,[0.     0.5    1.375  2.25   3.125  4.     4.6875 5.125  5.5625 7.    ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 0.00000000e+00 2.37072159e-04 5.92680397e-05 0.00000000e+00
 2.96340199e-05]",0.0031193564135693075,0.3904255054905631,1
50,equal-width,"[0.         0.88888889 1.77777778 2.66666667 3.55555556 4.44444444
 5.33333333 6.22222222 7.11111111 8.        ]","[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 1.48170099e-05 1.48170099e-05
 0.00000000e+00]",0.0,0.30685159443458265,1
51,equal-width-data,[0.    0.778 1.556 2.333 3.111 4.667 5.444 6.222 7.   ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 1.48170099e-05 1.48170099e-05]",0.002380430133865241,0.4010389539765835,1
52,kbins,"[0.         0.77777778 1.55555556 2.33333333 3.11111111 3.88888889
 4.66666667 5.44444444 6.22222222 7.        ]","[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 0.00000000e+00 2.37072159e-04 5.92680397e-05 1.48170099e-05
 1.48170099e-05]",0.002380430133865241,0.3765374612533736,1
53,kbins-quantile,[0. 7.],[1.],0.9691304654923466,0.5461932194651495,1
54,decision-tree,[0.  0.5 1.5 2.5 3.5 4.5 5.5 7. ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.0031193564135693075,0.46879550282232907,1
55,kmeans,"[-1.1837753e-14  1.0000000e+00  1.0000000e+00  2.0000000e+00
  3.0000000e+00  4.0000000e+00  5.0000000e+00  6.0000000e+00
  7.0000000e+00]","[8.95258557e-01 0.00000000e+00 1.03452363e-01 0.00000000e+00
 9.63105645e-04 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.002380430133865241,0.4163956310941971,1
56,random-forest,"[0.         0.5        1.27777778 2.05555556 2.83333333 3.61111111
 4.38888889 4.83333333 5.22222222 5.61111111 7.        ]","[8.95258557e-01 9.95851237e-02 3.86723959e-03 0.00000000e+00
 9.63105645e-04 2.37072159e-04 0.00000000e+00 5.92680397e-05
 0.00000000e+00 2.96340199e-05]",0.0031193564135693075,0.3589063250116947,1
57,equal-width,[0.  0.8 1.6 2.4 3.2 4.  4.8 5.6 6.4 7.2 8. ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 0.00000000e+00 2.37072159e-04 5.92680397e-05 1.48170099e-05
 1.48170099e-05 0.00000000e+00]",0.0,0.27015531287353156,1
58,equal-width-data,[0.  0.7 1.4 2.1 3.5 4.2 5.6 6.3 7. ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 1.48170099e-05 1.48170099e-05]",0.002380430133865241,0.3944154284764789,1
59,kbins,[0.  0.7 1.4 2.1 2.8 3.5 4.2 4.9 5.6 6.3 7. ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 0.00000000e+00
 9.63105645e-04 2.37072159e-04 0.00000000e+00 5.92680397e-05
 1.48170099e-05 1.48170099e-05]",0.002380430133865241,0.34440715364029506,1
60,kbins-quantile,[0. 1. 7.],[0.89525856 0.10474144],0.9958453454285602,0.5801933495496097,1
61,decision-tree,[0.  0.5 1.5 2.5 3.5 4.5 5.5 7. ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.0031193564135693075,0.46879550282232907,1
62,kmeans,"[-1.1837753e-14  1.0000000e+00  1.0000000e+00  2.0000000e+00
  3.0000000e+00  4.0000000e+00  5.0000000e+00  6.0000000e+00
  7.0000000e+00]","[8.95258557e-01 0.00000000e+00 1.03452363e-01 0.00000000e+00
 9.63105645e-04 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.002380430133865241,0.4163956310941971,1
63,random-forest,[0.  0.5 1.1 1.7 2.3 2.9 3.5 4.1 4.7 5.3 5.7 7. ],"[8.95258557e-01 9.95851237e-02 0.00000000e+00 3.86723959e-03
 0.00000000e+00 9.63105645e-04 2.37072159e-04 0.00000000e+00
 5.92680397e-05 0.00000000e+00 2.96340199e-05]",0.0031193564135693075,0.34723740157620087,1
64,equal-width,"[0.         0.72727273 1.45454545 2.18181818 2.90909091 3.63636364
 4.36363636 5.09090909 5.81818182 6.54545455 7.27272727 8.        ]","[8.95258557e-01 9.95851237e-02 3.86723959e-03 0.00000000e+00
 9.63105645e-04 2.37072159e-04 5.92680397e-05 0.00000000e+00
 1.48170099e-05 1.48170099e-05 0.00000000e+00]",0.0,0.2364043558068295,1
65,equal-width-data,[0.    0.636 1.273 2.545 3.182 4.455 5.091 6.364 7.   ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 1.48170099e-05 1.48170099e-05]",0.002380430133865241,0.4099689956124223,1
66,kbins,"[0.         0.63636364 1.27272727 1.90909091 2.54545455 3.18181818
 3.81818182 4.45454545 5.09090909 5.72727273 6.36363636 7.        ]","[8.95258557e-01 9.95851237e-02 0.00000000e+00 3.86723959e-03
 9.63105645e-04 0.00000000e+00 2.37072159e-04 5.92680397e-05
 0.00000000e+00 1.48170099e-05 1.48170099e-05]",0.002380430133865241,0.3149401991847214,1
67,kbins-quantile,[0. 1. 7.],[0.89525856 0.10474144],0.9958453454285602,0.5801933495496097,1
68,decision-tree,[0.  0.5 1.5 2.5 3.5 4.5 5.5 7. ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.0031193564135693075,0.46879550282232907,1
69,kmeans,"[-1.1837753e-14  1.0000000e+00  1.0000000e+00  2.0000000e+00
  3.0000000e+00  4.0000000e+00  5.0000000e+00  6.0000000e+00
  7.0000000e+00]","[8.95258557e-01 0.00000000e+00 1.03452363e-01 0.00000000e+00
 9.63105645e-04 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.002380430133865241,0.4163956310941971,1
70,random-forest,"[0.         0.5        1.13636364 1.77272727 2.40909091 3.04545455
 3.68181818 4.31818182 4.72727273 5.04545455 5.36363636 5.68181818
 7.        ]","[8.95258557e-01 9.95851237e-02 0.00000000e+00 3.86723959e-03
 9.63105645e-04 0.00000000e+00 2.37072159e-04 0.00000000e+00
 5.92680397e-05 0.00000000e+00 0.00000000e+00 2.96340199e-05]",0.0031193564135693075,0.30360026696737774,1
71,equal-width,"[0.         0.66666667 1.33333333 2.         2.66666667 3.33333333
 4.         4.66666667 5.33333333 6.         6.66666667 7.33333333
 8.        ]","[8.95258557e-01 9.95851237e-02 0.00000000e+00 3.86723959e-03
 9.63105645e-04 0.00000000e+00 2.37072159e-04 5.92680397e-05
 0.00000000e+00 1.48170099e-05 1.48170099e-05 0.00000000e+00]",0.0,0.20493823364393138,1
72,equal-width-data,[0.    0.583 1.167 2.333 3.5   4.083 5.25  6.417 7.   ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 1.48170099e-05 1.48170099e-05]",0.002380430133865241,0.4035684581124035,1
73,kbins,"[0.         0.58333333 1.16666667 1.75       2.33333333 2.91666667
 3.5        4.08333333 4.66666667 5.25       5.83333333 6.41666667
 7.        ]","[8.95258557e-01 9.95851237e-02 0.00000000e+00 3.86723959e-03
 0.00000000e+00 9.63105645e-04 2.37072159e-04 0.00000000e+00
 5.92680397e-05 0.00000000e+00 1.48170099e-05 1.48170099e-05]",0.002380430133865241,0.28752665886632456,1
74,kbins-quantile,[0. 1. 7.],[0.89525856 0.10474144],0.9958453454285602,0.5801933495496097,1
75,decision-tree,[0.  0.5 1.5 2.5 3.5 4.5 5.5 7. ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.0031193564135693075,0.46879550282232907,1
76,kmeans,"[-1.1837753e-14  1.0000000e+00  1.0000000e+00  2.0000000e+00
  3.0000000e+00  4.0000000e+00  5.0000000e+00  6.0000000e+00
  7.0000000e+00]","[8.95258557e-01 0.00000000e+00 1.03452363e-01 0.00000000e+00
 9.63105645e-04 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.002380430133865241,0.4163956310941971,1
77,random-forest,"[0.         0.5        1.08333333 1.66666667 2.25       2.83333333
 3.41666667 4.         4.54166667 4.83333333 5.125      5.41666667
 5.70833333 7.        ]","[8.95258557e-01 9.95851237e-02 0.00000000e+00 3.86723959e-03
 0.00000000e+00 9.63105645e-04 0.00000000e+00 2.37072159e-04
 0.00000000e+00 5.92680397e-05 0.00000000e+00 0.00000000e+00
 2.96340199e-05]",0.0031193564135693075,0.27814307495042756,1
78,equal-width,"[0.         0.61538462 1.23076923 1.84615385 2.46153846 3.07692308
 3.69230769 4.30769231 4.92307692 5.53846154 6.15384615 6.76923077
 7.38461538 8.        ]","[8.95258557e-01 9.95851237e-02 0.00000000e+00 3.86723959e-03
 9.63105645e-04 0.00000000e+00 2.37072159e-04 0.00000000e+00
 5.92680397e-05 1.48170099e-05 0.00000000e+00 1.48170099e-05
 0.00000000e+00]",0.0,0.1753049907149431,1
79,equal-width-data,[0.    0.538 1.077 2.154 3.231 4.308 5.385 6.462 7.   ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 1.48170099e-05 1.48170099e-05]",0.002380430133865241,0.3963887832469488,1
80,kbins,"[0.         0.53846154 1.07692308 1.61538462 2.15384615 2.69230769
 3.23076923 3.76923077 4.30769231 4.84615385 5.38461538 5.92307692
 6.46153846 7.        ]","[8.95258557e-01 9.95851237e-02 0.00000000e+00 3.86723959e-03
 0.00000000e+00 9.63105645e-04 0.00000000e+00 2.37072159e-04
 0.00000000e+00 5.92680397e-05 0.00000000e+00 1.48170099e-05
 1.48170099e-05]",0.002380430133865241,0.2617511095712065,1
81,kbins-quantile,[0. 1. 7.],[0.89525856 0.10474144],0.9958453454285602,0.5801933495496097,1
82,decision-tree,[0.  0.5 1.5 2.5 3.5 4.5 5.5 7. ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.0031193564135693075,0.46879550282232907,1
83,kmeans,"[-1.1837753e-14  1.0000000e+00  1.0000000e+00  2.0000000e+00
  3.0000000e+00  4.0000000e+00  5.0000000e+00  6.0000000e+00
  7.0000000e+00]","[8.95258557e-01 0.00000000e+00 1.03452363e-01 0.00000000e+00
 9.63105645e-04 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.002380430133865241,0.4163956310941971,1
84,random-forest,"[0.         0.5        1.03846154 1.57692308 2.11538462 2.65384615
 3.19230769 3.73076923 4.26923077 4.65384615 4.92307692 5.19230769
 5.46153846 5.73076923 7.        ]","[8.95258557e-01 9.95851237e-02 0.00000000e+00 3.86723959e-03
 0.00000000e+00 9.63105645e-04 0.00000000e+00 2.37072159e-04
 0.00000000e+00 0.00000000e+00 5.92680397e-05 0.00000000e+00
 0.00000000e+00 2.96340199e-05]",0.0031193564135693075,0.2543071909024015,1
85,equal-width,"[0.         0.57142857 1.14285714 1.71428571 2.28571429 2.85714286
 3.42857143 4.         4.57142857 5.14285714 5.71428571 6.28571429
 6.85714286 7.42857143 8.        ]","[8.95258557e-01 9.95851237e-02 0.00000000e+00 3.86723959e-03
 0.00000000e+00 9.63105645e-04 0.00000000e+00 2.37072159e-04
 5.92680397e-05 0.00000000e+00 1.48170099e-05 0.00000000e+00
 1.48170099e-05 0.00000000e+00]",0.0,0.1471820568666915,1
86,equal-width-data,[0.  0.5 1.  2.  3.  4.  5.  6.  7. ],"[8.95258557e-01 0.00000000e+00 9.95851237e-02 3.86723959e-03
 9.63105645e-04 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.002380430133865241,0.41597165401764014,1
87,kbins,[0.  0.5 1.  1.5 2.  2.5 3.  3.5 4.  4.5 5.  5.5 6.  6.5 7. ],"[8.95258557e-01 0.00000000e+00 9.95851237e-02 0.00000000e+00
 3.86723959e-03 0.00000000e+00 9.63105645e-04 0.00000000e+00
 2.37072159e-04 0.00000000e+00 5.92680397e-05 0.00000000e+00
 1.48170099e-05 1.48170099e-05]",0.002380430133865241,0.2373184358352225,1
88,kbins-quantile,[0. 1. 7.],[0.89525856 0.10474144],0.9958453454285602,0.5801933495496097,1
89,decision-tree,[0.  0.5 1.5 2.5 3.5 4.5 5.5 7. ],"[8.95258557e-01 9.95851237e-02 3.86723959e-03 9.63105645e-04
 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.0031193564135693075,0.46879550282232907,1
90,kmeans,"[-1.1837753e-14  1.0000000e+00  1.0000000e+00  2.0000000e+00
  3.0000000e+00  4.0000000e+00  5.0000000e+00  6.0000000e+00
  7.0000000e+00]","[8.95258557e-01 0.00000000e+00 1.03452363e-01 0.00000000e+00
 9.63105645e-04 2.37072159e-04 5.92680397e-05 2.96340199e-05]",0.002380430133865241,0.4163956310941971,1
91,random-forest,"[0.   0.5  1.   1.5  2.   2.5  3.   3.5  4.   4.5  4.75 5.   5.25 5.5
 5.75 7.  ]","[8.95258557e-01 0.00000000e+00 9.95851237e-02 0.00000000e+00
 3.86723959e-03 0.00000000e+00 9.63105645e-04 0.00000000e+00
 2.37072159e-04 0.00000000e+00 0.00000000e+00 5.92680397e-05
 0.00000000e+00 0.00000000e+00 2.96340199e-05]",0.0031193564135693075,0.23093537590160618,1
