ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[   0  600  650  700  750  850 8000],[0.00198548 0.02650763 0.15273374 0.72751519 0.02763372 0.06362424],1.0,1.0,4
1,equal-width,[   0. 4000. 8000.],[0.93637576 0.06362424],0.8076580548816276,0.5564222943238357,1
2,equal-width-data,[   0.  4047.5 7510. ],[0.93637576 0.06362424],0.8076580548816276,0.5677748099677011,1
3,equal-frequency,[   0.  729. 7510.],[0.49968884 0.50031116],0.8657168582656108,0.5888545932592131,1
4,kbins,[   0.  4047.5 7510. ],[0.93637576 0.06362424],0.8076580548816276,0.5677748099677011,1
5,kbins-quantile,[   0.  729. 7510.],[0.49968884 0.50031116],0.8657168582656108,0.5888545932592131,1
6,decision-tree,[   0.  3300.5 7510. ],[0.93637576 0.06362424],0.8076580548816276,0.57580735751872,1
7,kmeans,[   0.          719.07739414 7510.        ],[0.37215884 0.62784116],0.8625239317835685,0.5888590773501181,1
8,random-forest,[   0.  3300.5 3313.  7510. ],[0.93637576 0.         0.06362424],0.8076580548816276,0.5654840524106963,1
9,equal-width,[   0.         2666.66666667 5333.33333333 8000.        ],[0.93637576 0.         0.06362424],0.8076580548816276,0.5343108252098647,2
10,equal-width-data,[   0.    2893.333 7510.   ],[0.93637576 0.06362424],0.8076580548816276,0.5794127084498961,1
11,equal-frequency,[   0.  716.  739. 7510.],[0.32261076 0.33849459 0.33889465],0.9760730961313295,0.590989184821472,1
12,kbins,[   0.         2893.33333333 5201.66666667 7510.        ],[0.93637576 0.         0.06362424],0.8076580548816276,0.5459416339016328,1
13,kbins-quantile,[   0.  716.  739. 7510.],[0.32261076 0.33849459 0.33889465],0.9760730961313295,0.590989184821472,1
14,decision-tree,[   0.   738.5 3300.5 7510. ],[0.66110535 0.27527041 0.06362424],0.9719698882584848,0.5783252749205443,1
15,kmeans,[   0.          719.07739414 6679.92857143 7510.        ],[0.37215884 0.57094384 0.05689732],0.9688392570792276,0.5291040626527528,1
16,random-forest,[   0.   691.5  736.5  739.5 7510. ],[0.13505705 0.4848422  0.06423174 0.31586902],0.9680434238364224,0.5932752643742678,1
17,equal-width,[   0. 2000. 4000. 6000. 8000.],[9.36375759e-01 0.00000000e+00 2.07438139e-04 6.34168025e-02],0.8304430756861105,0.5126559502331833,2
18,equal-width-data,[   0.   2316.25 7510.  ],[0.93637576 0.06362424],0.8076580548816276,0.5835534585635131,1
19,equal-frequency,[   0.  708.  729.  742. 7510.],[0.24239147 0.25729738 0.23376797 0.26654319],0.8660001899019812,0.5932711133638133,1
