ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[       0   100000   500000  1000000 50000000],[0.19490295 0.6560083  0.12342569 0.02566306],1.0,1.0,4
1,equal-width,[       0. 25000000. 50000000.],[9.99985183e-01 1.48170099e-05],0.39195824723900297,0.4643617808877979,1
2,equal-width-data,[       0. 16439484. 32878968.],[0.99998518 0.        ],0.3878776039821683,0.5566768202549401,1
3,equal-frequency,[       0.   212724. 32878968.],[0.50497852 0.49500667],0.7039887445063544,0.5724637484276388,1
4,kbins,[       0. 16439484. 32878968.],[0.99998518 0.        ],0.3878776039821683,0.5566768202549401,1
5,kbins-quantile,[       0.   212724. 32878968.],[0.50497852 0.49500667],0.7039887445063544,0.5724637484276388,1
6,decision-tree,[       0.    104984.5 32878968. ],[0.22231442 0.77767077],0.5351498235613248,0.5724645122105132,1
7,kmeans,[       0.           265589.58529129 32878968.        ],[0.60405986 0.39592532],0.7488871193718563,0.5724628623051715,1
8,random-forest,[       0.     52725.    108442.5 32878968. ],[0.09284338 0.12947103 0.77767077],0.5544674896780858,0.5744550203432928,1
9,equal-width,[       0.         16666666.66666667 33333333.33333333 50000000.        ],[9.99985183e-01 1.48170099e-05 0.00000000e+00],0.39195824723900297,0.43251314799791263,1
10,equal-width-data,[       0. 10959656. 21919312. 32878968.],[9.99925915e-01 5.92680397e-05 0.00000000e+00],0.3985896580615248,0.5408917874268973,1
11,equal-frequency,[       0.   144856.   304722. 32878968.],[0.33376797 0.33345681 0.33276041],0.8853484591716628,0.574462003448649,1
12,kbins,[       0. 10959656. 21919312. 32878968.],[9.99925915e-01 5.92680397e-05 0.00000000e+00],0.3985896580615248,0.5408917874268973,1
13,kbins-quantile,[       0.   144856.   304722. 32878968.],[0.33376797 0.33345681 0.33276041],0.8853484591716628,0.574462003448649,1
14,decision-tree,[       0.    104984.5   987211.5 32878968. ],[0.22231442 0.75134094 0.02632983],0.8380752623260218,0.5744500679158844,1
15,kmeans,[       0.           192961.66755301   736156.11476139 32878968.        ],[0.46009779 0.48395318 0.05593421],0.9761441120408736,0.5744605351336868,1
16,random-forest,"[       0.            52725.           104560.16666667   975073.66666667
 32878968.        ]",[0.09284338 0.12947103 0.75094088 0.02672989],0.8605900123383686,0.8771025968953383,1
17,equal-width,[       0. 12500000. 25000000. 37500000. 50000000.],[9.99955549e-01 2.96340199e-05 1.48170099e-05 0.00000000e+00],0.3976947569118229,0.6722225593834481,1
18,equal-width-data,[       0.  8219742. 16439484. 32878968.],[9.99911098e-01 7.40850496e-05 0.00000000e+00],0.40096144430456615,0.5555230967097202,1
19,equal-frequency,[       0.   114703.   212724.   370842. 32878968.],[0.25082234 0.25415617 0.24950363 0.24550304],0.9815720234554585,0.8770357052419652,1
20,kbins,[       0.  8219742. 16439484. 24659226. 32878968.],[9.99911098e-01 7.40850496e-05 0.00000000e+00 0.00000000e+00],0.40096144430456615,0.7542334581281416,1
21,kbins-quantile,[       0.   114703.   212724.   370842. 32878968.],[0.25082234 0.25415617 0.24950363 0.24550304],0.9815720234554585,0.8770357052419652,1
22,decision-tree,[       0.    104984.5   886606.5   987211.5 32878968. ],[0.22231442 0.74356201 0.00777893 0.02632983],0.9005780351438645,0.8771046032218697,1
23,kmeans,"[       0.           166569.94080055   555943.40088757  1672585.26456311
 32878968.        ]",[0.38703512 0.49629575 0.10803082 0.0086235 ],0.8977553226561125,0.8770396109238126,1
24,random-forest,"[0.00000000e+00 1.90095000e+04 9.84295000e+04 4.62740250e+05
 1.02133312e+06 3.28789680e+07]",[0.02600385 0.1688991  0.6365832  0.14470292 0.02379612],0.9562677947634832,0.5766408255444978,1
25,equal-width,[       0. 10000000. 20000000. 30000000. 40000000. 50000000.],"[9.99925915e-01 5.92680397e-05 0.00000000e+00 1.48170099e-05
 0.00000000e+00]",0.40267030131835946,0.5507409011101447,1
26,equal-width-data,[       0.   6575793.6 13151587.2 32878968. ],[9.99718477e-01 2.66706179e-04 0.00000000e+00],0.4263921197383388,0.5624122661081681,1
27,equal-frequency,[       0.     96915.2   169993.    262732.    423605.  32878968. ],[0.19490295 0.19213217 0.21702474 0.19714032 0.19878501],0.8843296221198989,0.5730611488935817,1
28,kbins,[       0.   6575793.6 13151587.2 19727380.8 26303174.4 32878968. ],"[9.99718477e-01 2.66706179e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",0.4263921197383388,0.6637674545310355,1
29,kbins-quantile,[       0.     96915.2   169993.    262732.    423605.  32878968. ],[0.19490295 0.19213217 0.21702474 0.19714032 0.19878501],0.8843296221198989,0.5730611488935817,1
30,decision-tree,[       0.    104984.5   581837.    886606.5   987211.5 32878968. ],[0.22231442 0.67501852 0.06854349 0.00777893 0.02632983],0.979086731818345,0.5764640726696499,1
31,kmeans,"[       0.           166005.95625968   551365.39179562  1610510.61933999
  5014591.82442748 32878968.        ]",[0.38703512 0.49629575 0.10739369 0.00859387 0.00066677],0.8634529775079769,0.6001177155679758,1
32,random-forest,"[0.0000000e+00 1.0326500e+04 1.0346450e+05 1.3883870e+05 5.6914500e+05
 1.0612564e+06 3.2878968e+07]",[0.02600385 0.19631056 0.08421988 0.58170099 0.0898059  0.02194399],0.9104130528104725,0.5738476516247201,1
33,equal-width,"[       0.          8333333.33333333 16666666.66666667 25000000.
 33333333.33333333 41666666.66666666 50000000.        ]","[9.99911098e-01 7.40850496e-05 0.00000000e+00 1.48170099e-05
 0.00000000e+00 0.00000000e+00]",0.4050420875614009,0.4717300179343713,1
34,equal-width-data,[       0.  5479828. 10959656. 16439484. 32878968.],[9.99466588e-01 4.59327308e-04 5.92680397e-05 0.00000000e+00],0.459963744670316,0.8142687263004524,1
35,equal-frequency,[       0.    84702.   144856.   212724.   304722.   467514. 32878968.],[0.16729886 0.16646911 0.17121055 0.16224626 0.16426137 0.16849904],0.8013804882756583,0.5723311715218764,1
36,kbins,[       0.  5479828. 10959656. 16439484. 21919312. 27399140. 32878968.],"[9.99466588e-01 4.59327308e-04 5.92680397e-05 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",0.459963744670316,0.6071403517550544,1
37,kbins-quantile,[       0.    84702.   144856.   212724.   304722.   467514. 32878968.],[0.16729886 0.16646911 0.17121055 0.16224626 0.16426137 0.16849904],0.8013804882756583,0.5723311715218764,1
38,decision-tree,"[       0.    104984.5   581609.    581837.    886606.5   987211.5
 32878968. ]",[0.22231442 0.67501852 0.         0.06854349 0.00777893 0.02632983],0.979086731818345,0.5757953342461908,1
39,kmeans,"[       0.           128747.52646712   373053.16986211   769463.73395205
  1935797.92189501  5262628.91150442 32878968.        ]",[0.27950808 0.47497407 0.1957327  0.04350274 0.00571937 0.00054823],0.72971619537485,0.5803938773312565,1
40,random-forest,"[0.0000000e+00 6.6500000e+01 9.6985500e+04 1.1375300e+05 5.0158575e+05
 8.8481100e+05 1.0677240e+06 3.2878968e+07]","[0.01244629 0.18245666 0.0559194  0.60589717 0.10915691 0.01216477
 0.02194399]",0.9046767261719966,0.5733928439890577,1
41,equal-width,"[       0.          7142857.14285714 14285714.28571429 21428571.42857143
 28571428.57142857 35714285.71428572 42857142.85714286 50000000.        ]","[9.99792562e-01 1.92621129e-04 0.00000000e+00 0.00000000e+00
 1.48170099e-05 0.00000000e+00 0.00000000e+00]",0.42021891794107613,0.41135855390716713,1
42,equal-width-data,[       0.     4696995.429  9393990.857 14090986.286 32878968.   ],[9.99155430e-01 7.70484516e-04 5.92680397e-05 0.00000000e+00],0.4913936727979161,0.8294629396821704,1
43,equal-frequency,"[       0.       75644.429   127186.      181618.286   247551.
   339861.143   505457.    32878968.   ]","[0.14110239 0.13840569 0.15685287 0.12994518 0.14187287 0.14854052
 0.14326567]",0.7352810764516902,0.5719760262912299,1
44,kbins,"[       0.          4696995.42857143  9393990.85714286 14090986.28571428
 18787981.71428571 23484977.14285714 28181972.57142857 32878968.        ]","[9.99155430e-01 7.70484516e-04 5.92680397e-05 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",0.4913936727979161,0.5651081315231368,1
45,kbins-quantile,"[       0.            75644.42857143   127186.           181618.28571429
   247551.           339861.14285714   505457.         32878968.        ]","[0.14110239 0.13840569 0.15685287 0.12994518 0.14187287 0.14854052
 0.14326567]",0.7352810764516902,0.5719760262912064,1
