ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[        0    100000    500000   1000000 100000000],[0.06941769 0.62148466 0.14568084 0.1634168 ],1.0,1.0,4
1,equal-width,[0.e+00 5.e+07 1.e+08],[0.8365832 0.1634168],0.8296752444170832,0.4632421012709673,1
2,equal-width-data,[       0.  50007710.5 99999999. ],[0.8365832 0.       ],0.8296752444170832,0.4632328797936468,1
3,equal-frequency,[       0.   329208. 99999999.],[0.48749444 0.34908875],0.9537132251735122,0.4939657335474238,1
4,kbins,[       0.  50007710.5 99999999. ],[0.8365832 0.       ],0.8296752444170832,0.4632328797936468,1
5,kbins-quantile,[       0.   329208. 99999999.],[0.48749444 0.34908875],0.9537132251735122,0.4939657335474238,1
6,decision-tree,[       0.   789140. 99999999.],[0.83308638 0.00349681],0.8389632103493829,0.49396036363701135,1
7,kmeans,[       0.           315074.37799278 99999999.        ],[0.47175878 0.36482442],0.9541684597425002,0.49396581338016243,1
8,random-forest,[       0.   787985.   788909. 99999999.],[0.83308638 0.         0.00349681],0.8389632103493829,0.4952354536752941,1
9,equal-width,[0.00000000e+00 3.33333333e+07 6.66666667e+07 1.00000000e+08],[0.8365832 0.        0.1634168],0.8296752444170832,0.42962875640099096,1
10,equal-width-data,[       0.    33343614.333 99999999.   ],[0.8365832 0.       ],0.8296752444170832,0.48010592748158476,1
11,equal-frequency,[       0.      224422.      455128.667 99999999.   ],[0.3368499  0.32972292 0.17001037],0.8398163219158953,0.4952423273801484,1
12,kbins,[       0.         33343614.33333333 66671806.66666666 99999999.        ],[0.8365832 0.        0.       ],0.8296752444170832,0.42961337730284344,1
13,kbins-quantile,[       0.           224422.           455128.66666667 99999999.        ],[0.3368499  0.32972292 0.17001037],0.8398163219158953,0.49524232738014806,1
14,decision-tree,[       0.   227854.   789140. 99999999.],[0.3368499  0.49623648 0.00349681],0.9718815488194582,0.4952412764390821,1
15,kmeans,[       0.           207427.88087691   538662.76418371 99999999.        ],[0.26464661 0.45147429 0.12046229],0.8946238867566406,0.4952423842097806,1
16,random-forest,[       0.   136455.   207955.   227249. 99999999.],[0.14785894 0.11678767 0.07220329 0.49973329],0.8922535710086429,0.9970338569701266,1
17,equal-width,[0.0e+00 2.5e+07 5.0e+07 7.5e+07 1.0e+08],[0.8365832 0.        0.        0.1634168],0.8296752444170832,0.6683902981266179,2
18,equal-width-data,[       0.   25011566.25 99999999.  ],[0.8365832 0.       ],0.8296752444170832,0.48613707664728656,1
