ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[         0     250000    1000000    5000000 2000000000],[0.20545266 0.63265669 0.15553415 0.0063565 ],1.0,1.0,4
1,equal-width,[0.e+00 1.e+09 2.e+09],[9.99985183e-01 1.48170099e-05],0.4987554289817967,0.4621551721801854,1
2,equal-width-data,[0.00000000e+00 7.69868946e+08 1.53973789e+09],[9.99970366e-01 1.48170099e-05],0.4987398824120648,0.5269032385914583,1
3,equal-frequency,[0.00000000e+00 4.75651000e+05 1.53973789e+09],[0.49937769 0.5006075 ],0.7578331630339624,0.5474814856546117,1
4,kbins,[0.00000000e+00 7.69868946e+08 1.53973789e+09],[9.99970366e-01 1.48170099e-05],0.4987398824120648,0.5269032385914583,1
5,kbins-quantile,[0.00000000e+00 4.75651000e+05 1.53973789e+09],[0.49937769 0.5006075 ],0.7578331630339624,0.5474814856546117,1
6,decision-tree,[0.00000000e+00 8.55316000e+05 1.53973789e+09],[0.78024893 0.21973626],0.8830609023551711,0.547481474444617,1
7,kmeans,[0.00000000e+00 7.20002420e+05 1.53973789e+09],[0.70939398 0.2905912 ],0.8567298991115537,0.547481479614724,1
8,random-forest,[0.00000000e+00 5.50308000e+05 8.42055500e+05 1.53973789e+09],[0.57827826 0.1973033  0.22440362],0.9886136134445667,0.5479194119780724,1
9,equal-width,[0.00000000e+00 6.66666667e+08 1.33333333e+09 2.00000000e+09],[9.99970366e-01 1.48170099e-05 1.48170099e-05],0.4989970175803071,0.4272991923515891,1
10,equal-width-data,[0.00000000e+00 5.13245964e+08 1.02649193e+09 1.53973789e+09],[9.99970366e-01 1.48170099e-05 0.00000000e+00],0.4987398824120648,0.5033532542123322,1
11,equal-frequency,[0.00000000e+00 3.37546000e+05 6.62002000e+05 1.53973789e+09],[0.32963402 0.33917617 0.33117499],0.9109594224722735,0.5479194117370882,1
12,kbins,[0.00000000e+00 5.13245964e+08 1.02649193e+09 1.53973789e+09],[9.99970366e-01 1.48170099e-05 0.00000000e+00],0.4987398824120648,0.5033532542123322,1
13,kbins-quantile,[0.00000000e+00 3.37546000e+05 6.62002000e+05 1.53973789e+09],[0.32963402 0.33917617 0.33117499],0.9109594224722735,0.5479194117370882,1
14,decision-tree,[0.00000000e+00 8.55316000e+05 1.91392300e+06 1.53973789e+09],[0.78024893 0.18454586 0.0351904 ],0.82427087621824,0.5479193733339176,1
15,kmeans,[0.00000000e+00 7.03217233e+05 4.83290934e+08 1.53973789e+09],[6.96162394e-01 3.03793155e-01 2.96340199e-05],0.8513635048658974,0.5397208126370735,1
16,random-forest,"[0.00000000e+00 3.42540000e+05 8.54967667e+05 1.82569567e+06
 1.53973789e+09]",[0.34293969 0.43730923 0.1797896  0.03994666],0.7418092504480931,0.9174609826085899,1
17,equal-width,[0.0e+00 5.0e+08 1.0e+09 1.5e+09 2.0e+09],[9.99970366e-01 1.48170099e-05 0.00000000e+00 1.48170099e-05],0.4989970175803071,0.6653379331255518,1
18,equal-width-data,"[0.00000000e+00 3.84934473e+08 7.69868946e+08 1.15480342e+09
 1.53973789e+09]",[9.99955549e-01 1.48170099e-05 1.48170099e-05 0.00000000e+00],0.49898147046375474,0.7296375550536203,1
19,equal-frequency,"[0.00000000e+00 2.78542000e+05 4.75651000e+05 7.93870000e+05
 1.53973789e+09]",[0.24502889 0.25434879 0.25101497 0.24959253],0.982364762094312,0.9174594511740934,1
20,kbins,"[0.00000000e+00 3.84934473e+08 7.69868946e+08 1.15480342e+09
 1.53973789e+09]",[9.99955549e-01 1.48170099e-05 1.48170099e-05 0.00000000e+00],0.49898147046375474,0.7296375550536203,1
21,kbins-quantile,"[0.00000000e+00 2.78542000e+05 4.75651000e+05 7.93870000e+05
 1.53973789e+09]",[0.24502889 0.25434879 0.25101497 0.24959253],0.982364762094312,0.9174594511740934,1
22,decision-tree,"[0.00000000e+00 4.31321000e+05 8.55316000e+05 1.91392300e+06
 1.53973789e+09]",[0.45423026 0.32601867 0.18454586 0.0351904 ],0.7170282355012403,0.9174610854893879,1
23,kmeans,"[0.00000000e+00 6.74576836e+05 1.05323887e+08 5.55883621e+08
 1.53973789e+09]",[6.75981627e-01 3.23840569e-01 1.48170099e-04 1.48170099e-05],0.844046188272368,0.8699177153950342,1
24,random-forest,"[0.00000000e+00 7.67800000e+03 7.43418500e+05 8.58346500e+05
 1.90308250e+06 1.53973789e+09]",[0.00672692 0.71475774 0.05876426 0.18399763 0.03573863],0.7520570757467664,0.5476427593357507,1
25,equal-width,[0.0e+00 4.0e+08 8.0e+08 1.2e+09 1.6e+09 2.0e+09],"[9.99955549e-01 2.96340199e-05 0.00000000e+00 1.48170099e-05
 0.00000000e+00]",0.49920917870897974,0.5468250897368332,1
26,equal-width-data,"[0.00000000e+00 3.07947578e+08 6.15895157e+08 9.23842735e+08
 1.53973789e+09]",[9.99940732e-01 2.96340199e-05 1.48170099e-05 0.00000000e+00],0.4991936310455989,0.7782664489535751,1
27,equal-frequency,"[0.00000000e+00 2.40856000e+05 3.89070000e+05 5.79708800e+05
 8.97762800e+05 1.53973789e+09]",[0.20545266 0.18950956 0.20094829 0.2029634  0.20111128],0.9000440727197598,0.5474998528649339,1
28,kbins,"[0.00000000e+00 3.07947578e+08 6.15895157e+08 9.23842735e+08
 1.23179031e+09 1.53973789e+09]","[9.99940732e-01 2.96340199e-05 1.48170099e-05 0.00000000e+00
 0.00000000e+00]",0.4991936310455989,0.6290944531261126,1
29,kbins-quantile,"[0.00000000e+00 2.40856000e+05 3.89070000e+05 5.79708800e+05
 8.97762800e+05 1.53973789e+09]",[0.20545266 0.18950956 0.20094829 0.2029634  0.20111128],0.9000440727197598,0.5474998528649339,1
30,decision-tree,"[0.00000000e+00 4.31255000e+05 4.31321000e+05 8.55316000e+05
 1.91392300e+06 1.53973789e+09]",[0.45423026 0.         0.32601867 0.18454586 0.0351904 ],0.7170282355012403,0.5476442900323573,1
