ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[     0  10000  25000  50000 500000],[0.23387168 0.53566454 0.20813454 0.02232923],1.0,1.0,4
1,equal-width,[     0. 250000. 500000.],[9.99985183e-01 1.48170099e-05],0.5481131502930026,0.47402511242484213,1
2,equal-width-data,[     0.   217921.64 435844.  ],[9.99970366e-01 2.96340199e-05],0.548129410621762,0.5102231823182837,1
3,equal-frequency,[     0.    16377.62 435844.  ],[0.49995555 0.50004445],0.8840212096664254,0.5335479233681731,1
4,kbins,[     0.   217921.64 435843.28],[9.99970366e-01 2.96340199e-05],0.5481227575332803,0.5102234942065839,1
5,kbins-quantile,[     0.    16377.62 435843.28],[0.49995555 0.50004445],0.884024331774966,0.5335482508523279,1
6,decision-tree,[     0.           4128.79492188 435844.        ],[0.05467477 0.94532523],0.6398663896537086,0.5335513569990364,1
7,kmeans,[     0.         13191.4597566 435844.       ],[0.366721 0.633279],0.8498617790780412,0.5335648004254505,1
8,random-forest,[     0.           2231.7401123    4922.13989258 435844.        ],[0.02035857 0.05337087 0.92627056],0.6774390158839073,0.5458859408688554,1
9,equal-width,[     0.         166666.66666667 333333.33333333 500000.        ],[9.99925915e-01 5.92680397e-05 1.48170099e-05],0.5481809765253971,0.45645525890462424,1
10,equal-width-data,[     0.    145281.093 290562.187 435844.   ],[9.99851830e-01 1.33353089e-04 1.48170099e-05],0.5482584314257488,0.49815412357498956,1
11,equal-frequency,[     0.    12416.12  21108.81 435844.  ],[0.33338272 0.333279   0.33333827],0.9194517285142759,0.5461376009657615,1
12,kbins,[     0.         145281.09333333 290562.18666667 435843.28      ],[9.99851830e-01 1.33353089e-04 1.48170099e-05],0.5482510822228283,0.4981544094851541,1
13,kbins-quantile,[     0.    12416.12  21108.81 435843.28],[0.33338272 0.333279   0.33333827],0.9194490136809765,0.5461379170536786,1
14,decision-tree,[     0.           4128.79492188  15790.99511719 435844.        ],[0.05467477 0.42249222 0.52283301],0.9524807057891311,0.5460816830392468,1
15,kmeans,[     0.          10268.61554527  23870.31916226 435844.        ],[0.24397689 0.4985183  0.25750482],0.9839283121072764,0.5461487689348219,1
16,random-forest,"[     0.           1949.875        4267.875       10277.76513672
 435844.        ]",[0.01669877 0.0409394  0.18666469 0.75569714],0.8402042028599168,0.9434691089494672,1
17,equal-width,[     0. 125000. 250000. 375000. 500000.],[9.99807379e-01 1.77804119e-04 0.00000000e+00 1.48170099e-05],0.5483033928865406,0.7041668253906914,1
18,equal-width-data,[     0.   108960.82 217921.64 326882.46 435844.  ],[9.99585124e-01 3.85242258e-04 1.48170099e-05 1.48170099e-05],0.5485156233289858,0.7431108848374435,1
19,equal-frequency,[     0.     10415.61   16377.62   24170.992 435844.   ],[0.24997777 0.24997777 0.25003704 0.25000741],0.7800404126822054,0.949915068924466,1
20,kbins,[     0.   108960.82 217921.64 326882.46 435843.28],[9.99585124e-01 3.85242258e-04 1.48170099e-05 1.48170099e-05],0.5485082741260654,0.7431107919804676,1
21,kbins-quantile,[     0.      10415.61    16377.62    24170.9925 435843.28  ],[0.24997777 0.24997777 0.25003704 0.25000741],0.7800379867476219,0.9499145927898729,1
22,decision-tree,"[     0.           4128.79492188  15790.99511719  15793.93994141
 435844.        ]",[5.46747666e-02 4.22492221e-01 8.89020596e-05 5.22744110e-01],0.9529463525283378,0.9471670444736153,1
23,kmeans,"[     0.           8468.34206527  19037.3896273   32641.9360919
 435844.        ]",[0.17694473 0.4223885  0.29078382 0.10988295],0.8606359968142292,0.9520346813155799,1
24,random-forest,"[0.00000000e+00 3.17299995e+01 4.01802505e+03 9.01858765e+03
 1.39876576e+04 4.35844000e+05]",[0.0006964  0.05178545 0.14448066 0.20364498 0.5993925 ],0.98089462833926,0.5296596561384657,1
25,equal-width,[     0. 100000. 200000. 300000. 400000. 500000.],"[9.99229515e-01 7.26033486e-04 2.96340199e-05 0.00000000e+00
 1.48170099e-05]",0.5488198321559394,0.5681002500855459,1
26,equal-width-data,[     0.     87168.656 174337.312 261505.968 435844.   ],[9.98473848e-01 1.48170099e-03 2.96340199e-05 1.48170099e-05],0.5494623611629933,0.8004544324602665,1
