ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[  0  12  36  60 180],[0.61105349 0.18210105 0.12520373 0.08164172],1.0,1.0,4
1,equal-width,[  0.  90. 180.],[9.99674026e-01 3.25974218e-04],0.6634532289368575,0.500910828895552,2
2,equal-width-data,[  0.  88. 176.],[9.99629575e-01 3.70425248e-04],0.6769043238595849,0.5066802854979124,1
3,kbins,[  0.  88. 176.],[9.99629575e-01 3.70425248e-04],0.6769043238595849,0.5066802854979124,1
4,kbins-quantile,[  0. 176.],[1.],0.42640074257155836,0.4954901678471827,1
5,decision-tree,[  0.   19.5 176. ],[0.67931545 0.32068455],0.7388341689905058,0.5302290560624677,1
6,kmeans,[  0.           4.00194467 176.        ],[0.55411172 0.44588828],0.7403425773062835,0.5301964812473716,1
7,random-forest,[  0.    9.5  24.5 176. ],[0.59505112 0.12191436 0.28303452],0.9132710078327144,0.5729466510569434,1
8,equal-width,[  0.  60. 120. 180.],[9.18358275e-01 8.15380056e-02 1.03719069e-04],0.7217059359647804,0.5281078743097236,3
9,equal-width-data,[  0.     58.667 117.333 176.   ],[9.14165061e-01 8.57164024e-02 1.18536079e-04],0.7364468934758067,0.5344999228757201,1
10,kbins,[  0.          58.66666667 117.33333333 176.        ],[9.14165061e-01 8.57164024e-02 1.18536079e-04],0.7364468934758067,0.5344998244462351,1
11,kbins-quantile,[  0.  18. 176.],[0.66260187 0.33739813],0.738807015598834,0.530314524694143,2
12,decision-tree,[  0.    0.5  19.5 176. ],[0.53773892 0.14157653 0.32068455],0.9655922677020609,0.5717135424916068,1
13,kmeans,[  0.           1.69923281  31.07406372 176.        ],[0.54052452 0.2268336  0.23264187],0.9975760953785023,0.572984392724739,1
14,random-forest,[  0.           0.5         25.83333333  69.16666667 176.        ],[0.53773892 0.18676841 0.23363461 0.04185805],0.8381794874737626,0.9635191189635111,1
15,equal-width,[  0.  45.  90. 135. 180.],[8.49251741e-01 1.50422285e-01 2.66706179e-04 5.92680397e-05],0.8997930552176204,0.8045920068752757,2
16,equal-width-data,[  0.  44.  88. 132. 176.],[8.43324937e-01 1.56304638e-01 3.11157208e-04 5.92680397e-05],0.9080541405520477,0.8118491122837146,1
17,kbins,[  0.  44.  88. 132. 176.],[8.43324937e-01 1.56304638e-01 3.11157208e-04 5.92680397e-05],0.9080541405520477,0.8118491122837146,1
18,kbins-quantile,[  0.  29. 176.],[0.74639206 0.25360794],0.7293803468952218,0.5292478085506478,1
19,decision-tree,[  0.    0.5   7.5  19.5 176. ],[0.53773892 0.04027263 0.1013039  0.32068455],0.8173153300743774,0.8984503374706483,1
20,kmeans,[  0.           0.82216295  21.49163332  43.00415896 176.        ],[0.53773892 0.15657134 0.14901467 0.15667506],0.8324210760008387,0.9496129007168872,1
21,random-forest,[  0.    0.5  19.   40.5  73.  176. ],[0.53773892 0.13344199 0.15393392 0.1439917  0.03089347],0.7089981885819578,0.5859963050054418,1
22,equal-width,[  0.  36.  72. 108. 144. 180.],"[7.93154541e-01 1.72425545e-01 3.42717440e-02 1.18536079e-04
 2.96340199e-05]",0.9284836700808323,0.6124851933685027,2
