ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[ 0  1  2  5 20],[0.86682471 0.11536524 0.01689139 0.00091865],1.0,1.0,4
1,equal-width,[ 0. 10. 20.],[9.99940732e-01 5.92680397e-05],0.9191757543248694,0.4825621433603152,3
2,equal-width-data,[ 0.   7.5 15. ],[9.99866647e-01 1.33353089e-04],0.9231600434203961,0.5469636488273033,2
3,kbins,[ 0.   7.5 15. ],[9.99866647e-01 1.33353089e-04],0.9231600434203961,0.5469636488273033,2
4,kbins-quantile,[ 0. 15.],[1.],0.9131969176607119,0.5509867449330628,1
5,decision-tree,[ 0.   1.5 15. ],[0.98218995 0.01781005],0.9839790119572668,0.562171782102733,1
6,kmeans,[0.00000000e+00 1.06026299e-14 1.50000000e+01],[0.86682471 0.13317529],0.11921869060800827,0.5618955788045871,1
7,random-forest,[ 0.   0.5  6.  15. ],[8.66824715e-01 1.32760409e-01 4.14876278e-04],0.11027070881300849,0.5919163589844404,1
8,equal-width,[ 0.          6.66666667 13.33333333 20.        ],[9.99762928e-01 2.22255149e-04 1.48170099e-05],0.9253457506124161,0.49660649793511735,1
9,equal-width-data,[ 0.  5. 10. 15.],[9.99081345e-01 8.59386576e-04 5.92680397e-05],0.9263571031329287,0.5674531537584069,2
10,kbins,[ 0.  5. 10. 15.],[9.99081345e-01 8.59386576e-04 5.92680397e-05],0.9263571031329287,0.5674531537584069,3
11,kbins-quantile,[ 0. 15.],[1.],0.9131969176607119,0.5509867449330628,1
12,decision-tree,[ 0.   1.5  3.5 15. ],[0.98218995 0.01570603 0.00210402],0.9977145228607524,0.5973875632900191,1
13,kmeans,[0.00000000e+00 1.06026299e-14 1.09643728e+00 1.50000000e+01],[0.86682471 0.11536524 0.01781005],0.029175803859715077,0.5976615028090788,1
14,random-forest,[ 0.          0.5         5.16666667  9.66666667 15.        ],[8.66824715e-01 1.32760409e-01 3.55608238e-04 5.92680397e-05],0.10778615578259443,0.8643349052956253,1
