ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[ 0  5 15 30 80],[0.04467328 0.74076159 0.20963106 0.00493406],1.0,1.0,4
1,equal-width,[ 0. 40. 80.],[9.99466588e-01 5.33412357e-04],0.6771300202060268,0.4945696608929756,1
2,equal-width-data,[ 0.  38.5 76. ],[9.99407320e-01 5.92680397e-04],0.6788080758535828,0.5067425162234811,1
3,equal-frequency,[ 0. 10. 76.],[0.4187287 0.5812713],0.9602569287622593,0.529555132803504,1
4,kbins,[ 0.  38.5 76. ],[9.99407320e-01 5.92680397e-04],0.6788080758535828,0.5067425162234811,1
5,kbins-quantile,[ 0. 10. 76.],[0.4187287 0.5812713],0.9602569287622593,0.529555132803504,1
6,decision-tree,[ 0.   8.5 76. ],[0.3246555 0.6753445],0.9107137899548147,0.5298267199809852,1
7,kmeans,[ 0.          8.42268542 76.        ],[0.3246555 0.6753445],0.9107137899548147,0.5298381242053561,1
8,random-forest,[ 0.   5.5 11.5 76. ],[0.0908579  0.50480071 0.40434138],0.9637539867582332,0.5866265857080816,1
9,equal-width,[ 0.         26.66666667 53.33333333 80.        ],[9.89316936e-01 1.06237961e-02 5.92680397e-05],0.8089545977431898,0.5339863935416633,2
10,equal-width-data,[ 0. 26. 51. 76.],[9.86575789e-01 1.33353089e-02 8.89020596e-05],0.8090091519836802,0.5467563860433702,1
11,equal-frequency,[ 0.  9. 12. 76.],[0.3246555  0.27100311 0.40434138],0.8734469877057082,0.5863237613122809,1
12,kbins,[ 0. 26. 51. 76.],[9.86575789e-01 1.33353089e-02 8.89020596e-05],0.8090091519836802,0.5467563860433702,1
13,kbins-quantile,[ 0.  9. 12. 76.],[0.3246555  0.27100311 0.40434138],0.8734469877057082,0.5863237613122809,1
14,decision-tree,[ 0.   8.5 66.  76. ],[3.24655505e-01 6.75314861e-01 2.96340199e-05],0.912276021243128,0.5277856678627209,1
15,kmeans,[ 0.          7.45431524 13.29151078 76.        ],[0.23782783 0.49576234 0.26640984],0.8774908680776484,0.5867128076990528,1
