ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[ 0  1  2 20],[0.98162691 0.01272781 0.00564528],1.0,1.0,4
1,equal-width,[ 0. 10. 20.],[9.99955549e-01 4.44510298e-05],0.9785384904889273,0.4940732817915837,3
2,equal-width-data,[ 0.   7.5 15. ],[9.99925915e-01 7.40850496e-05],0.9846485942998194,0.5591416091002588,1
3,kbins,[ 0.   7.5 15. ],[9.99925915e-01 7.40850496e-05],0.9846485942998194,0.5591416091002588,2
4,kbins-quantile,[ 0. 15.],[1.],0.9667109939151207,0.5632174290239753,1
5,decision-tree,[ 0.   2.5 15. ],[0.99792562 0.00207438],0.9938188830277469,0.5738104648483096,1
6,kmeans,[0.00000000e+00 3.70883879e-15 1.50000000e+01],[0.98162691 0.01837309],0.10722693444811782,0.5742770107299762,1
7,random-forest,[ 0.   0.5  3.5 15. ],[0.98162691 0.01732108 0.00105201],0.08308009387938387,0.9064904381584276,1
8,equal-width,[ 0.          6.66666667 13.33333333 20.        ],[9.99837013e-01 1.48170099e-04 1.48170099e-05],0.9909432336084555,0.7740552035318117,1
9,equal-width-data,[ 0.  5. 10. 15.],[9.99525856e-01 4.29693288e-04 4.44510298e-05],0.9921523201885947,0.8172807412887887,2
10,kbins,[ 0.  5. 10. 15.],[9.99525856e-01 4.29693288e-04 4.44510298e-05],0.9921523201885947,0.8172807412887887,3
11,kbins-quantile,[ 0. 15.],[1.],0.9667109939151207,0.5632174290239753,1
12,decision-tree,[ 0.   0.5  2.5 15. ],[0.98162691 0.01629871 0.00207438],0.07086295538936438,0.9099549662218503,1
13,kmeans,[0.00000000e+00 3.70883879e-15 1.21909091e+00 1.50000000e+01],[0.98162691 0.01272781 0.00564528],0.01845351967780562,0.9080163507163519,1
14,random-forest,[ 0.          0.5         4.83333333  8.33333333 15.        ],[9.81626908e-01 1.78989480e-02 4.00059268e-04 7.40850496e-05],0.085499630828204,0.657286202693105,1
15,equal-width,[ 0.  5. 10. 15. 20.],[9.99525856e-01 4.29693288e-04 2.96340199e-05 1.48170099e-05],0.9944780849966945,0.5992852173391587,2
16,equal-width-data,[ 0.    3.75  7.5  11.25 15.  ],[9.98947992e-01 9.77922655e-04 5.92680397e-05 1.48170099e-05],0.9992102051528534,0.6715043684183859,1
17,kbins,[ 0.    3.75  7.5  11.25 15.  ],[9.98947992e-01 9.77922655e-04 5.92680397e-05 1.48170099e-05],0.9992102051528534,0.6715043684183859,1
18,kbins-quantile,[ 0. 15.],[1.],0.9667109939151207,0.5632174290239753,1
19,decision-tree,[ 0.   0.5  2.5  9.5 15. ],[9.81626908e-01 1.62987109e-02 2.02993036e-03 4.44510298e-05],0.0653756643860075,0.6732634750188514,1
20,kmeans,"[0.00000000e+00 3.70883879e-15 1.00000000e+00 2.22258065e+00
 1.50000000e+01]",[0.98162691 0.         0.01629871 0.00207438],0.07086295538936438,0.5844682228234577,1
21,random-forest,[ 0.   0.5  3.5  6.5  9.  15. ],"[9.81626908e-01 1.73210846e-02 8.89020596e-04 8.89020596e-05
 7.40850496e-05]",0.07631988115753985,0.6049793227524664,1
22,equal-width,[ 0.  4.  8. 12. 16. 20.],"[9.98947992e-01 9.77922655e-04 5.92680397e-05 1.48170099e-05
 0.00000000e+00]",0.9992749170202262,0.5068030380839281,2
23,equal-width-data,[ 0.  3.  6.  9. 12. 15.],"[9.97925619e-01 1.77804119e-03 2.22255149e-04 5.92680397e-05
 1.48170099e-05]",0.9993358320772812,0.5973063668715854,1
24,kbins,[ 0.  3.  6.  9. 12. 15.],"[9.97925619e-01 1.77804119e-03 2.22255149e-04 5.92680397e-05
 1.48170099e-05]",0.9993358320772812,0.5973063668715854,2
25,kbins-quantile,[ 0. 15.],[1.],0.9667109939151207,0.5632174290239753,1
26,decision-tree,[ 0.   0.5  2.5  6.5  9.5 15. ],"[9.81626908e-01 1.62987109e-02 1.91139428e-03 1.18536079e-04
 4.44510298e-05]",0.06258861441099006,0.6020721398595047,1
27,kmeans,"[0.00000000e+00 3.70536934e-15 1.00000000e+00 2.22258065e+00
 4.72727273e+00 1.50000000e+01]","[9.81626908e-01 0.00000000e+00 1.62987109e-02 1.60023707e-03
 4.74144318e-04]",0.06575627182950061,0.5760044146539443,1
28,random-forest,[ 0.   0.5  3.1  5.7  8.4  9.7 15. ],"[9.81626908e-01 1.73210846e-02 7.55667506e-04 2.22255149e-04
 2.96340199e-05 4.44510298e-05]",0.07515784746468368,0.5648219120825388,1
29,equal-width,"[ 0.          3.33333333  6.66666667 10.         13.33333333 16.66666667
 20.        ]","[9.98947992e-01 8.89020596e-04 1.18536079e-04 2.96340199e-05
 1.48170099e-05 0.00000000e+00]",0.9975025966813067,0.4409928805929364,1
30,equal-width-data,[ 0.   2.5  5.   7.5 10.  12.5 15. ],"[9.97925619e-01 1.60023707e-03 4.00059268e-04 2.96340199e-05
 2.96340199e-05 1.48170099e-05]",0.9955920586920106,0.545819629198943,1
31,kbins,[ 0.   2.5  5.   7.5 10.  12.5 15. ],"[9.97925619e-01 1.60023707e-03 4.00059268e-04 2.96340199e-05
 2.96340199e-05 1.48170099e-05]",0.9955920586920106,0.545819629198943,2
32,kbins-quantile,[ 0. 15.],[1.],0.9667109939151207,0.5632174290239753,1
33,decision-tree,[ 0.   0.5  2.5  5.5  6.5  9.5 15. ],"[9.81626908e-01 1.62987109e-02 1.77804119e-03 1.33353089e-04
 1.18536079e-04 4.44510298e-05]",0.06123336547902947,0.5749310352410191,1
34,kmeans,"[0.00000000e+00 3.70883879e-15 1.00000000e+00 2.00000000e+00
 3.36111111e+00 5.77777778e+00 1.50000000e+01]","[9.81626908e-01 0.00000000e+00 1.62987109e-02 1.02237368e-03
 7.55667506e-04 2.96340199e-04]",0.06408441334901172,0.564792765789379,1
35,random-forest,[ 0.   0.5  2.5  4.5  6.5  8.5  9.5 15. ],"[9.81626908e-01 1.62987109e-02 1.60023707e-03 3.11157208e-04
 8.89020596e-05 2.96340199e-05 4.44510298e-05]",0.05992479565337805,0.5382689652084602,1
36,equal-width,"[ 0.          2.85714286  5.71428571  8.57142857 11.42857143 14.28571429
 17.14285714 20.        ]","[9.97925619e-01 1.77804119e-03 2.22255149e-04 5.92680397e-05
 0.00000000e+00 1.48170099e-05 0.00000000e+00]",0.9941895408387986,0.388392986658082,1
37,equal-width-data,[ 0.     2.143  4.286  6.429  8.571 10.714 12.857 15.   ],"[9.97925619e-01 1.60023707e-03 3.11157208e-04 8.89020596e-05
 4.44510298e-05 1.48170099e-05 1.48170099e-05]",0.994399672602995,0.5054321884809132,1
38,kbins,"[ 0.          2.14285714  4.28571429  6.42857143  8.57142857 10.71428571
 12.85714286 15.        ]","[9.97925619e-01 1.60023707e-03 3.11157208e-04 8.89020596e-05
 4.44510298e-05 1.48170099e-05 1.48170099e-05]",0.994399672602995,0.5054234634676819,1
39,kbins-quantile,[ 0. 15.],[1.],0.9667109939151207,0.5632174290239753,1
40,decision-tree,[ 0.   0.5  2.5  4.5  5.5  6.5  9.5 15. ],"[9.81626908e-01 1.62987109e-02 1.60023707e-03 1.77804119e-04
 1.33353089e-04 1.18536079e-04 4.44510298e-05]",0.060050487715726186,0.5529641876895361,1
41,kmeans,"[0.00000000e+00 3.70883879e-15 1.00000000e+00 2.00000000e+00
 3.00000000e+00 4.23529412e+00 6.40000000e+00 1.50000000e+01]","[9.81626908e-01 0.00000000e+00 1.62987109e-02 0.00000000e+00
 1.60023707e-03 3.11157208e-04 1.62987109e-04]",0.06215666473639525,0.5563922598616611,1
42,random-forest,"[ 0.          0.5         2.21428571  3.92857143  5.64285714  7.78571429
  9.07142857 10.28571429 15.        ]","[9.81626908e-01 1.62987109e-02 1.02237368e-03 7.55667506e-04
 2.22255149e-04 2.96340199e-05 1.48170099e-05 2.96340199e-05]",0.05915258250756883,0.5070827074922493,1
43,equal-width,[ 0.   2.5  5.   7.5 10.  12.5 15.  17.5 20. ],"[9.97925619e-01 1.60023707e-03 4.00059268e-04 2.96340199e-05
 2.96340199e-05 0.00000000e+00 1.48170099e-05 0.00000000e+00]",0.9932662938839106,0.3436139799529583,2
44,equal-width-data,[ 0.     1.875  3.75   5.625  7.5    9.375 11.25  15.   ],"[9.94354719e-01 4.59327308e-03 7.55667506e-04 2.22255149e-04
 2.96340199e-05 2.96340199e-05 1.48170099e-05]",0.9892007410948743,0.5261456372737277,1
45,kbins,[ 0.     1.875  3.75   5.625  7.5    9.375 11.25  13.125 15.   ],"[9.94354719e-01 4.59327308e-03 7.55667506e-04 2.22255149e-04
 2.96340199e-05 2.96340199e-05 0.00000000e+00 1.48170099e-05]",0.9892007410948743,0.4714998574873134,1
46,kbins-quantile,[ 0. 15.],[1.],0.9667109939151207,0.5632174290239753,1
47,decision-tree,[ 0.   0.5  1.5  2.5  4.5  5.5  6.5  9.5 15. ],"[9.81626908e-01 1.27278115e-02 3.57089939e-03 1.60023707e-03
 1.77804119e-04 1.33353089e-04 1.18536079e-04 4.44510298e-05]",0.0030292702331882193,0.5232762846313259,1
48,kmeans,"[0.00000000e+00 3.70883879e-15 1.00000000e+00 2.00000000e+00
 3.00000000e+00 4.23529412e+00 6.40000000e+00 9.75000000e+00
 1.50000000e+01]","[9.81626908e-01 0.00000000e+00 1.62987109e-02 0.00000000e+00
 1.60023707e-03 3.11157208e-04 1.18536079e-04 4.44510298e-05]",0.060712646158500916,0.5235397422762993,1
49,random-forest,"[ 0.      0.5     2.125   3.75    5.375   7.25    8.5625  9.375  10.375
 15.    ]","[9.81626908e-01 1.62987109e-02 1.02237368e-03 7.55667506e-04
 2.22255149e-04 0.00000000e+00 2.96340199e-05 1.48170099e-05
 2.96340199e-05]",0.05915258250756883,0.4833060623553552,1
50,equal-width,"[ 0.          2.22222222  4.44444444  6.66666667  8.88888889 11.11111111
 13.33333333 15.55555556 17.77777778 20.        ]","[9.97925619e-01 1.60023707e-03 3.11157208e-04 8.89020596e-05
 5.92680397e-05 0.00000000e+00 1.48170099e-05 0.00000000e+00
 0.00000000e+00]",0.992997154749783,0.3039931019934782,1
51,equal-width-data,[ 0.     1.667  3.333  5.     6.667  8.333 10.    11.667 15.   ],"[9.94354719e-01 4.59327308e-03 5.77863387e-04 3.11157208e-04
 8.89020596e-05 2.96340199e-05 2.96340199e-05 1.48170099e-05]",0.9885845084545363,0.49494496671603305,1
52,kbins,"[ 0.          1.66666667  3.33333333  5.          6.66666667  8.33333333
 10.         11.66666667 13.33333333 15.        ]","[9.94354719e-01 4.59327308e-03 5.77863387e-04 3.11157208e-04
 8.89020596e-05 2.96340199e-05 2.96340199e-05 0.00000000e+00
 1.48170099e-05]",0.9885845084545363,0.44178344401977,1
