ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[ 0  5 10 20 35 80],[0.00082975 0.06297229 0.59248778 0.31998815 0.02372203],1.0,1.0,4
1,equal-width,[ 0. 40. 80.],[0.99110979 0.00889021],0.6626693748426273,0.5773471587772734,1
2,equal-width-data,[ 0.  37.1 71. ],[0.98543488 0.01456512],0.6638808633416515,0.5983849372112744,1
3,equal-frequency,[ 0.  16.9 71. ],[0.4783968 0.5216032],0.8548677749384184,0.6126060382177563,2
4,kbins,[ 0.  37.1 70.5],[0.98543488 0.01456512],0.6636272967419374,0.5993408859718006,1
5,kbins-quantile,[ 0.  16.9 70.5],[0.4783968 0.5216032],0.8572386003944865,0.6135971679446277,2
6,decision-tree,[ 0.   18.25 71.  ],[0.61004593 0.38995407],0.8726441408745821,0.6120532098852728,2
7,kmeans,[ 0.         14.46712991 71.        ],[0.32598904 0.67401096],0.8162135060345435,0.6134539857418186,1
8,random-forest,[ 0.          9.94999981 17.05000019 71.        ],[0.06380204 0.47525559 0.46094236],0.9164763801954862,0.6393976878422161,1
9,equal-width,[ 0.         26.66666667 53.33333333 80.        ],[8.85938658e-01 1.13853904e-01 2.07438139e-04],0.8868496735017609,0.5860660442637582,1
10,equal-width-data,[ 0.    25.967 48.233 71.   ],[0.8610609  0.13796118 0.00097792],0.902637834677554,0.6087187664934897,1
11,equal-frequency,[ 0.  14.7 19.7 71. ],[0.32598904 0.33030079 0.34371018],0.9825528687279729,0.6374080877405446,1
12,kbins,[ 0.         25.96666667 48.23333333 70.5       ],[0.8610609  0.13796118 0.00097792],0.9004033252129713,0.6095381451105844,1
13,kbins-quantile,[ 0.  14.7 19.7 70.5],[0.32598904 0.33030079 0.34371018],0.9804879602504112,0.638292651516345,1
14,decision-tree,[ 0.        10.1500001 18.25      71.       ],[0.10814936 0.50189658 0.38995407],0.9386368201895815,0.6390411200090618,1
15,kmeans,[ 0.         12.50661217 19.73116401 71.        ],[0.20140762 0.4548822  0.34371018],0.9986801628879513,0.6380551360715654,1
16,random-forest,[ 0.          5.95000005 12.3499999  17.55000019 71.        ],[0.00379315 0.19761446 0.33765002 0.46094236],0.9777069178142177,0.6880475011132811,1
17,equal-width,[ 0. 20. 40. 60. 80.],[6.56289821e-01 3.34819973e-01 8.80130390e-03 8.89020596e-05],0.9392928307490875,0.6248171254144584,2
18,equal-width-data,[ 0.  20.4 37.1 53.8 71. ],[7.07734479e-01 2.77700400e-01 1.43576826e-02 2.07438139e-04],0.9517608541666039,0.6480829585295617,1
19,equal-frequency,[ 0.  13.4 16.9 21.5 71. ],[0.25166691 0.22672989 0.26729886 0.25430434],0.8692951255915918,0.6858699260686675,1
20,kbins,[ 0.  20.4 37.1 53.8 70.5],[7.07734479e-01 2.77700400e-01 1.43576826e-02 2.07438139e-04],0.9483891004355939,0.6487247783254978,1
21,kbins-quantile,[ 0.  13.4 16.9 21.5 70.5],[0.25166691 0.22672989 0.26729886 0.25430434],0.8674511733915077,0.6865891185148976,1
22,decision-tree,[ 0.          6.35000014 10.1500001  18.25       71.        ],[0.01133501 0.09681434 0.50189658 0.38995407],0.9492819305347344,0.6881997017192596,1
23,kmeans,[ 0.         10.80017338 16.50365626 23.09068105 71.        ],[0.10814936 0.37024744 0.34255445 0.17904875],0.8914607069958288,0.6865725662946418,1
