ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[  0  18  35  50  65 100],[0.07640449 0.81797753 0.0988764  0.00674157 0.        ],1.0,1.0,4
1,equal-width,[17. 36. 55.],[0.90561798 0.09438202],0.9031878292407027,0.29178739529197506,2
2,equal-width-data,[17. 36. 55.],[0.90561798 0.09438202],0.9031878292407027,0.29178739529197506,2
3,equal-frequency,[17. 24. 55.],[0.45617978 0.54382022],0.9242344227600962,0.2975603102739849,2
4,kbins,[17. 36. 55.],[0.90561798 0.09438202],0.9031878292407027,0.29178739529197506,2
5,kbins-quantile,[17. 24. 55.],[0.45617978 0.54382022],0.9242344227600962,0.2975603102739849,2
6,kmeans,[17.         22.50985915 55.        ],[0.39550562 0.60449438],0.9635557860152021,0.29787559672412867,1
7,equal-width,[17.         29.66666667 42.33333333 55.        ],[0.79775281 0.16629213 0.03595506],0.839210651105037,0.3546485060876835,1
8,equal-width-data,[17.    29.667 42.333 55.   ],[0.79775281 0.16629213 0.03595506],0.839210651105037,0.35464844279397223,1
9,equal-frequency,[17. 21. 27. 55.],[0.29213483 0.35505618 0.35280899],0.7512390958718742,0.3572143709976182,2
10,kbins,[17.         29.66666667 42.33333333 55.        ],[0.79775281 0.16629213 0.03595506],0.839210651105037,0.3546485060876835,1
11,kbins-quantile,[17. 21. 27. 55.],[0.33483146 0.31235955 0.35280899],0.7512390958718742,0.3572143709976182,2
12,kmeans,[17.         19.70935961 27.48205128 55.        ],[0.23820225 0.46966292 0.29213483],0.7844658387226751,0.3575126619665785,1
13,equal-width,[17.  26.5 36.  45.5 55. ],[0.64719101 0.25842697 0.07865169 0.01573034],0.7790232867234621,0.45556785139866085,1
14,equal-width-data,[17.  26.5 36.  45.5 55. ],[0.64719101 0.25842697 0.07865169 0.01573034],0.7790232867234621,0.45556785139866085,1
15,equal-frequency,[17. 20. 24. 28. 55.],[0.23820225 0.21797753 0.25168539 0.29213483],0.6383690441225849,0.44234168209931013,1
16,kbins,[17.  26.5 36.  45.5 55. ],[0.64719101 0.25842697 0.07865169 0.01573034],0.7790232867234621,0.45556785139866085,1
17,kbins-quantile,[17. 20. 24. 28. 55.],[0.23820225 0.21797753 0.25168539 0.29213483],0.6383690441225849,0.44234168209931013,2
18,kmeans,[17.         18.69798658 24.4939759  30.72826087 55.        ],[0.16404494 0.34606742 0.30337079 0.18651685],0.6684824808597878,0.44556410284076964,1
19,equal-width,[17.  24.6 32.2 39.8 47.4 55. ],[0.51011236 0.34831461 0.08539326 0.04719101 0.00898876],0.6737264326470822,0.7196689347722649,1
20,equal-width-data,[17.  24.6 32.2 39.8 47.4 55. ],[0.51011236 0.34831461 0.08539326 0.04719101 0.00898876],0.6737264326470822,0.7196689347722649,1
21,equal-frequency,[17.  19.  23.  25.4 30.  55. ],[0.16404494 0.23146067 0.20449438 0.19775281 0.20224719],0.5532068667804831,0.6517449279105785,2
22,kbins,[17.  24.6 32.2 39.8 47.4 55. ],[0.51011236 0.34831461 0.08539326 0.04719101 0.00898876],0.6737264326470822,0.7196689347722649,1
23,kbins-quantile,[17.  19.  23.  25.4 30.  55. ],[0.16404494 0.23146067 0.20449438 0.19775281 0.20224719],0.5532068667804831,0.6517449279105785,1
24,kmeans,[17.         18.69798658 24.00719424 28.75531915 35.75       55.        ],[0.16404494 0.34606742 0.24494382 0.1505618  0.09438202],0.5750306581682757,0.6747057066297427,1
25,equal-width,"[17.         23.33333333 29.66666667 36.         42.33333333 48.66666667
 55.        ]",[0.45617978 0.34157303 0.10786517 0.05842697 0.02921348 0.00674157],0.5950024809972543,0.5642278358976133,1
26,equal-width-data,[17.    23.333 29.667 36.    42.333 48.667 55.   ],[0.45617978 0.34157303 0.10786517 0.05842697 0.02921348 0.00674157],0.5950024809972543,0.5642286866354118,1
27,equal-frequency,[17. 19. 21. 24. 27. 31. 55.],[0.16404494 0.12808989 0.16404494 0.19101124 0.16629213 0.18651685],0.4602556659619964,0.4579231061447502,2
28,kbins,"[17.         23.33333333 29.66666667 36.         42.33333333 48.66666667
 55.        ]",[0.45617978 0.34157303 0.10786517 0.05842697 0.02921348 0.00674157],0.5950024809972543,0.5642278358976133,1
29,kbins-quantile,[17. 19. 21. 24. 27. 31. 55.],[0.16404494 0.17078652 0.12134831 0.19101124 0.16629213 0.18651685],0.4602556659619964,0.4579231061447502,2
30,kmeans,"[17.         18.69798658 23.65254237 27.43181818 31.8372093  37.61538462
 55.        ]",[0.16404494 0.29213483 0.25168539 0.13932584 0.07191011 0.08089888],0.4667234618926833,0.49709988918290693,1
31,equal-width,"[17.         22.42857143 27.85714286 33.28571429 38.71428571 44.14285714
 49.57142857 55.        ]","[0.39550562 0.31235955 0.17303371 0.05168539 0.04494382 0.01573034
 0.00674157]",0.5304272341206415,0.47004874033940913,1
32,equal-width-data,[17.    22.429 27.857 33.286 38.714 44.143 49.571 55.   ],"[0.39550562 0.31235955 0.17303371 0.05168539 0.04494382 0.01573034
 0.00674157]",0.5304272341206415,0.470049998012822,1
33,equal-frequency,[17. 18. 20. 23. 25. 28. 32. 55.],"[0.07640449 0.16179775 0.15730337 0.11460674 0.19775281 0.13932584
 0.15280899]",0.40431688401098476,0.41565022800304696,1
34,kbins,"[17.         22.42857143 27.85714286 33.28571429 38.71428571 44.14285714
 49.57142857 55.        ]","[0.39550562 0.31235955 0.17303371 0.05168539 0.04494382 0.01573034
 0.00674157]",0.5304272341206415,0.47004874033940913,1
35,kbins-quantile,[17. 18. 20. 23. 25. 28. 32. 55.],"[0.07640449 0.16179775 0.15730337 0.11460674 0.19775281 0.13932584
 0.15280899]",0.40431688401098476,0.41565022800304696,2
36,kmeans,"[17.         17.99056604 21.04285714 24.49107143 28.08108108 32.84444444
 40.39285714 55.        ]","[0.07640449 0.25842697 0.1752809  0.24494382 0.10337079 0.08988764
 0.05168539]",0.43392282998811016,0.4257057874428173,1
