ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[ 0 11 12 15 16],[0.5258427  0.25617978 0.21348315 0.00449438],1.0,1.0,4
1,equal-width,[ 3.   9.5 16. ],[0.29662921 0.70337079],0.7843620658559579,0.5450331240417463,1
2,equal-width-data,[ 3.   9.5 16. ],[0.29662921 0.70337079],0.7843620658559579,0.5450331240417463,1
3,equal-frequency,[ 3. 10. 16.],[0.29662921 0.70337079],0.8947179304573428,0.5455929456835267,1
4,kbins,[ 3.   9.5 16. ],[0.29662921 0.70337079],0.7843620658559579,0.5450331240417463,1
5,kbins-quantile,[ 3. 10. 16.],[0.29662921 0.70337079],0.8947179304573428,0.5455929456835267,1
6,kmeans,[ 3.          8.06818182 16.        ],[0.14382022 0.85617978],0.686318279938408,0.5422017779894144,1
7,equal-width,[ 3.          7.33333333 11.66666667 16.        ],[0.05617978 0.7258427  0.21797753],0.5425490646861343,0.6625766375864872,1
8,equal-width-data,[ 3.     7.333 11.667 16.   ],[0.05617978 0.7258427  0.21797753],0.5425490646861343,0.6625752963446985,1
9,equal-frequency,[ 3. 10. 11. 16.],[0.29662921 0.22921348 0.4741573 ],0.8624269888577233,0.6696240064664296,1
10,kbins,[ 3.          7.33333333 11.66666667 16.        ],[0.05617978 0.7258427  0.21797753],0.5425490646861343,0.6625766375864872,1
11,kbins-quantile,[ 3. 10. 11. 16.],[0.29662921 0.22921348 0.4741573 ],0.8624269888577233,0.6696240064664296,1
12,kmeans,[ 3.          5.64        9.30143541 16.        ],[0.0247191  0.27191011 0.70337079],0.5122896265924026,0.649286020206564,1
13,equal-width,[ 3.    6.25  9.5  12.75 16.  ],[0.03595506 0.26067416 0.65393258 0.0494382 ],0.4538672724556455,0.8678573074752128,1
14,equal-width-data,[ 3.    6.25  9.5  12.75 16.  ],[0.03595506 0.26067416 0.65393258 0.0494382 ],0.4538672724556455,0.8678573074752128,1
15,equal-frequency,[ 3.  9. 10. 11. 16.],[0.14382022 0.15280899 0.22921348 0.4741573 ],0.6937327293287912,0.8840694075955086,1
