ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[0.  0.1 0.3 0.6 0.9 1. ],[0.4397133  0.22750199 0.16437483 0.12423679 0.04417308],1.0,1.0,4
1,equal-width,[0.  0.5 1. ],[0.78566499 0.21433501],0.15215799272671782,0.2539754674762189,2
2,equal-width-data,[0.    0.498 1.   ],[0.78566499 0.21433501],0.16068306471924365,0.25418660642420376,1
3,equal-frequency,[0.    0.132 1.   ],[0.50284046 0.49715954],0.1954735998798418,0.27530886153848844,1
4,kbins,[0.         0.49800051 0.996     ],[0.78566499 0.21353862],0.1652211880599681,0.25492574527154355,1
5,kbins-quantile,[0.    0.132 0.996],[0.50284046 0.49636315],0.20162500092049362,0.27606962139524904,1
6,decision-tree,[0.         0.39049999 1.        ],[0.73188213 0.26811787],0.22155300937147293,0.26404461288417613,1
7,kmeans,[0.         0.10289559 1.        ],[0.46020706 0.53979294],0.16287798017557686,0.27544716879220343,1
8,random-forest,[0.       0.001955 0.407    1.      ],[0.12572339 0.61242368 0.26185293],0.3600703510529737,0.3731394672039695,1
9,equal-width,[0.         0.33333333 0.66666667 1.        ],[0.69466419 0.16771967 0.13761614],0.5359575982899887,0.34725477938146154,1
10,equal-width-data,[0.    0.332 0.664 1.   ],[0.69466419 0.16771967 0.13761614],0.5359575982899887,0.3476432498280839,1
11,equal-frequency,[0.     0.0482 0.294  1.    ],[0.32524555 0.34250066 0.33225378],0.569738097816273,0.37603361262408497,1
12,kbins,[0.         0.33200068 0.66400034 0.996     ],[0.69466419 0.16771967 0.13681975],0.539477005516694,0.348124974164445,1
13,kbins-quantile,[0.     0.0482 0.294  0.996 ],[0.32524555 0.34250066 0.33145739],0.5751669735213039,0.376537361771355,1
14,decision-tree,[0.         0.002095   0.39049999 1.        ],[0.12572339 0.60615875 0.26811787],0.3634816389112252,0.3736569874161282,1
15,kmeans,[0.         0.06170541 0.38309894 1.        ],[0.38088665 0.34568622 0.27342713],0.6167876834213049,0.37514028927955523,1
16,random-forest,[0.         0.001035   0.00372167 0.38616667 1.        ],[0.12572339 0.         0.60084948 0.27342713],0.3671393901814277,0.5229107523382959,1
17,equal-width,[0.   0.25 0.5  0.75 1.  ],[0.62659942 0.15906557 0.11064508 0.10368994],0.8062499012282156,0.5351256173546816,2
18,equal-width-data,[0.    0.249 0.498 0.747 1.   ],[0.62659942 0.15906557 0.11064508 0.10368994],0.8196178029310649,0.5355473796944114,1
19,equal-frequency,[0.     0.0241 0.132  0.424  1.    ],[0.25277409 0.25006637 0.24783647 0.24932307],0.8481088958249207,0.5393990061288494,1
20,kbins,[0.         0.24900076 0.49800051 0.74700026 0.996     ],[0.62659942 0.15906557 0.11064508 0.10289355],0.8225001417075439,0.5357138741708153,1
21,kbins-quantile,[0.     0.0241 0.132  0.424  0.996 ],[0.25277409 0.25006637 0.24783647 0.24852668],0.8529802755041578,0.5395670015767123,1
22,decision-tree,[0.         0.002095   0.39049999 0.98950002 1.        ],[0.12572339 0.60615875 0.25956995 0.00854792],0.3897079018060404,0.517524869921941,1
23,kmeans,[0.         0.04115577 0.25101627 0.53031104 1.        ],[0.32524555 0.30931776 0.16687019 0.1985665 ],0.9102010260753306,0.5511703185403507,1
24,random-forest,"[0.00000000e+00 4.66999995e-06 3.71249998e-03 3.68499994e-01
 4.28500004e-01 1.00000000e+00]",[0.12572339 0.         0.58837271 0.03658083 0.24932307],0.5240625014570571,0.728428491603815,1
25,equal-width,[0.  0.2 0.4 0.6 0.8 1. ],[0.57536501 0.15651712 0.10507035 0.07709052 0.08595699],0.9832244101424437,0.9230534446924687,1
26,equal-width-data,[0.    0.199 0.398 0.598 0.797 1.   ],[0.57536501 0.15651712 0.1003451  0.08181577 0.08595699],0.9706460407504504,0.9230303641874331,1
27,equal-frequency,[0.    0.014 0.073 0.219 0.532 1.   ],[0.20700823 0.1970799  0.19224847 0.20509689 0.1985665 ],0.9419146581525867,0.7411460238800536,1
28,kbins,[0.         0.19920082 0.39840061 0.59760041 0.7968002  0.996     ],[0.57536501 0.15651712 0.1003451  0.08181577 0.08516061],0.9682459859174288,0.9228032132059326,1
29,kbins-quantile,[0.    0.014 0.073 0.219 0.532 0.996],[0.20700823 0.1970799  0.19224847 0.20509689 0.19777011],0.9375748332925341,0.741139924479707,1
