ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[0.   0.3  0.6  0.85 1.  ],[0.20345102 0.38715158 0.28861163 0.12078577],1.0,1.0,4
1,equal-width,[0.  0.5 1. ],[0.45643748 0.54356252],0.6009553696935099,0.58091031097696,3
2,equal-width-data,[0.    0.492 1.   ],[0.45643748 0.54356252],0.601850443635706,0.5812522619945946,1
3,equal-frequency,[0.    0.527 1.   ],[0.49779666 0.50220334],0.5969609015617164,0.5796555742003782,1
4,kbins,[0.    0.492 0.984],[0.45643748 0.54356252],0.601850443635706,0.5826228676107132,1
5,kbins-quantile,[0.    0.527 0.984],[0.49779666 0.50220334],0.5969609015617164,0.5810209565411721,1
6,decision-tree,[0.      0.09875 1.     ],[0.02909477 0.97090523],0.2958235220149966,0.5808556461811009,1
7,kmeans,[0.         0.32318397 1.        ],[0.23737722 0.76262278],0.5193379182755957,0.5852338688274086,1
8,random-forest,[0.      0.04965 0.0976  1.     ],[0.0079108  0.02118397 0.97090523],0.3363567776147799,0.6504302624984701,1
9,equal-width,[0.         0.33333333 0.66666667 1.        ],[0.24937616 0.42638705 0.32423679],0.8789567064539152,0.6935341454593118,2
10,equal-width-data,[0.    0.328 0.656 1.   ],[0.23737722 0.42686488 0.3357579 ],0.8779667583197136,0.6937780240348118,1
11,equal-frequency,[0.    0.398 0.657 1.   ],[0.32991771 0.3343244  0.3357579 ],0.8959485496397213,0.6924483758871135,1
12,kbins,[0.    0.328 0.656 0.984],[0.23737722 0.42686488 0.3357579 ],0.8779667583197136,0.6944566040033384,1
13,kbins-quantile,[0.    0.398 0.657 0.984],[0.32991771 0.3343244  0.3357579 ],0.8959485496397213,0.6931240156551466,1
14,decision-tree,[0.      0.09875 0.6715  1.     ],[0.02909477 0.66185293 0.3090523 ],0.6957473019055285,0.6876204698842834,1
15,kmeans,[0.         0.24760776 0.53741885 1.        ],[0.14908415 0.36166711 0.48924874],0.86802897401646,0.6933693702257173,1
16,random-forest,[0.         0.04965    0.09835    0.69849999 1.        ],[0.0079108  0.02118397 0.68622246 0.28468277],0.7192697481828323,0.8244628026947963,1
17,equal-width,[0.   0.25 0.5  0.75 1.  ],[0.14908415 0.30735333 0.31722856 0.22633395],0.9120411992476167,0.9546617178638225,3
18,equal-width-data,[0.    0.246 0.492 0.738 1.   ],[0.14908415 0.30735333 0.30496416 0.23859835],0.9055578916244038,0.9502204840212963,1
19,equal-frequency,[0.    0.335 0.527 0.725 1.   ],[0.24937616 0.24842049 0.25261481 0.24958853],0.8925041164283807,0.9549862927521674,1
20,kbins,[0.    0.246 0.492 0.738 0.984],[0.14908415 0.30735333 0.30496416 0.23859835],0.9055578916244038,0.9499861227858184,1
21,kbins-quantile,[0.    0.335 0.527 0.725 0.984],[0.24937616 0.24842049 0.25261481 0.24958853],0.8925041164283807,0.9547272538593605,1
22,decision-tree,[0.      0.09875 0.4505  0.6715  1.     ],[0.02909477 0.37732944 0.28452349 0.3090523 ],0.9613874018138538,0.9069789923738997,1
23,kmeans,[0.         0.19483595 0.41990572 0.63666853 1.        ],[0.10092912 0.25309265 0.28468277 0.36129546],0.8999970344114775,0.9098267060449062,1
24,random-forest,[0.         0.03365    0.0977875  0.4575     0.72275001 1.        ],[0.00169896 0.02739581 0.37732944 0.34398726 0.24958853],0.9231224826894373,0.6231999256048579,1
25,equal-width,[0.  0.2 0.4 0.6 0.8 1. ],[0.10092912 0.22898859 0.27406424 0.22346695 0.1725511 ],0.7470467694811616,0.675515266533661,2
26,equal-width-data,[0.    0.197 0.394 0.59  0.787 1.   ],[0.10092912 0.22898859 0.24725246 0.23976639 0.18306345],0.7400220480453981,0.6736183872152717,1
27,equal-frequency,[0.    0.291 0.449 0.603 0.77  1.   ],[0.20414123 0.18784178 0.21199894 0.19081497 0.20520308],0.7301135921039037,0.6777342772484556,1
28,kbins,[0.     0.1968 0.3936 0.5904 0.7872 0.984 ],[0.10092912 0.22898859 0.26174675 0.2252721  0.18306345],0.7400220480453981,0.6781041284689902,1
29,kbins-quantile,[0.    0.291 0.449 0.603 0.77  0.984],[0.20414123 0.18784178 0.21199894 0.19081497 0.20520308],0.7301135921039037,0.6822656441327991,1
30,decision-tree,[0.         0.09875    0.44150001 0.4505     0.6715     1.        ],[0.02909477 0.36288824 0.0144412  0.28452349 0.3090523 ],0.9156362115936268,0.6510115281897634,1
31,kmeans,[0.         0.16017717 0.34439642 0.52136772 0.69918663 1.        ],[0.07374569 0.19129281 0.23275816 0.21752057 0.28468277],0.7283431886828295,0.6575871992772815,1
32,random-forest,"[0.         0.03365    0.09705    0.2665     0.59550002 0.73450002
 1.        ]",[0.00169896 0.02739581 0.13846562 0.42410406 0.16973719 0.23859835],0.7915618777526566,0.5349310887649678,1
33,equal-width,"[0.         0.16666667 0.33333333 0.5        0.66666667 0.83333333
 1.        ]",[0.07374569 0.17563048 0.20706132 0.21932572 0.19336342 0.13087337],0.6119276977918074,0.5707396556136174,1
34,equal-width-data,[0.    0.164 0.328 0.492 0.656 0.82  1.   ],[0.07374569 0.16363154 0.21906026 0.20780462 0.18497478 0.15078312],0.6089569257173136,0.5713321967380958,1
35,equal-frequency,[0.    0.264 0.398 0.527 0.657 0.801 1.   ],[0.16756039 0.16235731 0.16787895 0.16644545 0.17313512 0.16262278],0.5949380268352547,0.5827477610380998,1
36,kbins,[0.    0.164 0.328 0.492 0.656 0.82  0.984],[0.07374569 0.16363154 0.21906026 0.20780462 0.19601805 0.13973985],0.6089569257173136,0.5747283099109977,1
37,kbins-quantile,[0.    0.264 0.398 0.527 0.657 0.801 0.984],[0.16756039 0.16235731 0.16787895 0.16644545 0.17313512 0.16262278],0.5949380268352547,0.5862375612063265,1
38,decision-tree,"[0.         0.09875    0.1065     0.44150001 0.4505     0.6715
 1.        ]",[0.02909477 0.00514999 0.35773825 0.0144412  0.28452349 0.3090523 ],0.8864055884500399,0.5512982347005917,1
39,kmeans,"[0.         0.14312722 0.30631184 0.45325946 0.59676153 0.74432924
 1.        ]",[0.05903902 0.15678259 0.1906026  0.18524024 0.18200159 0.22633395],0.5882110104298264,0.5741641136755467,1
40,random-forest,"[0.         0.0335     0.0889     0.25583334 0.47049999 0.67383334
 0.76183334 1.        ]","[0.00169896 0.02320149 0.13235997 0.27268383 0.26100345 0.10384922
 0.20520308]",0.6110334917848286,0.47647065893444907,1
41,equal-width,"[0.         0.14285714 0.28571429 0.42857143 0.57142857 0.71428571
 0.85714286 1.        ]","[0.05903902 0.13474914 0.1740377  0.1963897  0.17456862 0.14865941
 0.11255641]",0.49901462997700374,0.5006250929917759,1
42,equal-width-data,[0.    0.141 0.281 0.422 0.562 0.703 0.843 1.   ],"[0.05903902 0.13474914 0.1740377  0.18380674 0.17478099 0.15280064
 0.12078577]",0.4909463763962616,0.5027072200831175,1
43,equal-frequency,[0.    0.24  0.361 0.475 0.582 0.695 0.822 1.   ],"[0.13766923 0.15402177 0.13825325 0.14722591 0.13814707 0.14494293
 0.13973985]",0.48291938500763276,0.5187797970956478,1
44,kbins,"[0.         0.14057143 0.28114286 0.42171429 0.56228571 0.70285714
 0.84342857 0.984     ]","[0.05903902 0.13474914 0.1740377  0.18380674 0.17478099 0.15280064
 0.12078577]",0.4909463763962616,0.5055797829685229,1
45,kbins-quantile,"[0.         0.24       0.361      0.47471429 0.582      0.69485714
 0.822      0.984     ]","[0.13766923 0.15402177 0.13825325 0.14722591 0.13814707 0.14494293
 0.13973985]",0.48291938500763276,0.5218010315021288,1
46,decision-tree,"[0.         0.09875    0.1065     0.44150001 0.4505     0.6715
 0.67450002 1.        ]","[0.02909477 0.00514999 0.35773825 0.0144412  0.28452349 0.
 0.3090523 ]",0.8864055884500399,0.5071544674159925,1
47,kmeans,"[0.         0.1282736  0.27079794 0.39614716 0.52041188 0.64318027
 0.77369975 1.        ]","[0.04629679 0.1335811  0.15003982 0.16787895 0.15295992 0.15455269
 0.19469074]",0.469725990521337,0.513928572432129,1
48,random-forest,"[0.         0.0335     0.09405    0.10864286 0.46078572 0.58421428
 0.69121428 0.7607857  1.        ]","[0.00169896 0.02739581 0.00514999 0.38370056 0.15922485 0.13814707
 0.07947969 0.20520308]",0.6285086721550828,0.4292857650090728,1
49,equal-width,[0.    0.125 0.25  0.375 0.5   0.625 0.75  0.875 1.   ],"[0.04629679 0.10278736 0.1544996  0.15285373 0.17286966 0.14435891
 0.12991771 0.09641625]",0.39683533503517665,0.4469885867731074,1
