ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[0.  0.3 0.5 0.7 0.9 1. ],[0.02378551 0.16405628 0.43674011 0.3408017  0.03461641],1.0,1.0,4
1,equal-width,[0.  0.5 1. ],[0.18874436 0.81125564],0.3693353259328559,0.5499650868946852,2
2,equal-width-data,[0.    0.494 1.   ],[0.18874436 0.81125564],0.35888024697241794,0.5501705165100943,1
3,equal-frequency,[0.    0.645 1.   ],[0.49954871 0.50045129],0.529446128721889,0.5431510344332111,1
4,kbins,[0.     0.4935 0.987 ],[0.18874436 0.81120255],0.36291745792926045,0.5513040429850685,1
5,kbins-quantile,[0.    0.645 0.987],[0.49954871 0.50039819],0.532928547352661,0.5442504791859999,1
6,decision-tree,[0.         0.72749999 1.        ],[0.69636315 0.30363685],0.4571445730371603,0.5377288688509043,1
7,kmeans,[0.         0.49046831 1.        ],[0.18874436 0.81125564],0.35888024697241794,0.5502885525482135,1
8,random-forest,[0.         0.21       0.67400001 1.        ],[0.00812317 0.56671091 0.42516591],0.6119536016703233,0.6106722702024168,1
9,equal-width,[0.         0.33333333 0.66666667 1.        ],[0.03976639 0.5119193  0.44831431],0.7056411027794601,0.6116261943241614,2
10,equal-width-data,[0.    0.329 0.658 1.   ],[0.03525352 0.49089461 0.47385187],0.6898253312546715,0.6119367826562542,1
11,equal-frequency,[0.    0.572 0.711 1.   ],[0.34138572 0.33411203 0.32450226],0.8999989822162799,0.6027067012207022,1
12,kbins,[0.    0.329 0.658 0.987],[0.03525352 0.49089461 0.47379878],0.6932454978657869,0.6127063958271906,1
13,kbins-quantile,[0.    0.572 0.711 0.987],[0.34138572 0.33411203 0.32444916],0.9029876871739394,0.6034584001231121,1
14,decision-tree,[0.         0.2045     0.72749999 1.        ],[0.00642421 0.68993894 0.30363685],0.5572917118748675,0.6084191492930731,1
15,kmeans,[0.         0.40629298 0.6126362  1.        ],[0.08484205 0.34791611 0.56724184],0.7810448446141537,0.6121201862512631,1
16,random-forest,[0.         0.175      0.34783333 0.64583334 1.        ],[0.00398195 0.04151845 0.45404831 0.50045129],0.7701427389859493,0.7132224861964669,1
17,equal-width,[0.   0.25 0.5  0.75 1.  ],[0.0122644  0.17647996 0.55460579 0.25664985],0.9078112160011939,0.7182724320688527,3
18,equal-width-data,[0.    0.247 0.494 0.74  1.   ],[0.0122644  0.17647996 0.53023626 0.28101938],0.9076007710585612,0.7183494666403889,1
19,equal-frequency,[0.    0.533 0.645 0.748 1.   ],[0.25234935 0.24719936 0.24380143 0.25664985],0.837315842844407,0.7083684418175494,1
20,kbins,[0.      0.24675 0.4935  0.74025 0.987  ],[0.0122644  0.17647996 0.55460579 0.25659676],0.9103243941435035,0.7186797916862189,1
21,kbins-quantile,[0.    0.533 0.645 0.748 0.987],[0.25234935 0.24719936 0.24380143 0.25659676],0.8345922197594646,0.7086945457064879,1
22,decision-tree,[0.         0.2045     0.49349999 0.72749999 1.        ],[0.00642421 0.18232015 0.50761879 0.30363685],0.917770339165688,0.7175906228475979,1
23,kmeans,[0.         0.35936879 0.54438642 0.68896229 1.        ],[0.05038492 0.22012211 0.32752854 0.40196443],0.9360422342243523,0.7181868666912504,1
24,random-forest,[0.         0.121      0.263875   0.52700001 0.67675001 1.        ],[0.00153969 0.01465357 0.21762676 0.34101407 0.42516591],0.997960265615707,0.8855307823640214,1
25,equal-width,[0.  0.2 0.4 0.6 0.8 1. ],[0.00541545 0.0707725  0.33453677 0.43424476 0.15503053],0.843993689673507,0.944072382270276,2
26,equal-width-data,[0.    0.197 0.395 0.592 0.79  1.   ],[0.00541545 0.0707725  0.31006106 0.44050969 0.17324131],0.8484433806401819,0.9404180537631962,1
27,equal-frequency,[0.    0.503 0.601 0.685 0.769 1.   ],[0.20228298 0.20844173 0.18731086 0.19108044 0.21088399],0.6366646099126371,0.9266537492367635,1
28,kbins,[0.     0.1974 0.3948 0.5922 0.7896 0.987 ],[0.00541545 0.0707725  0.31006106 0.44050969 0.17318821],0.836981821376937,0.940304112067734,1
29,kbins-quantile,[0.     0.503  0.601  0.6854 0.769  0.987 ],[0.20228298 0.20844173 0.18731086 0.19108044 0.2108309 ],0.6341621597702869,0.9265700196518132,1
30,decision-tree,[0.         0.2045     0.2595     0.49349999 0.72749999 1.        ],[0.00642421 0.00769843 0.17462171 0.50761879 0.30363685],0.9446325522722417,0.8956088103175937,1
31,kmeans,[0.         0.3159226  0.47847222 0.60098172 0.71922206 1.        ],[0.03052827 0.12736926 0.25282718 0.26477303 0.32450226],0.7537549404184822,0.9418767957662428,1
32,random-forest,"[0.         0.1195     0.2515     0.4859     0.65110001 0.7313
 1.        ]",[0.00116804 0.01295461 0.15784444 0.35418105 0.19283249 0.28101938],0.7717685400579629,0.6843280810047607,1
33,equal-width,"[0.         0.16666667 0.33333333 0.5        0.66666667 0.83333333
 1.        ]",[0.00329174 0.03647465 0.14897797 0.36294133 0.35688877 0.09142554],0.7232319266181484,0.697812546927814,1
34,equal-width-data,[0.    0.164 0.329 0.494 0.658 0.822 1.   ],[0.00329174 0.03196177 0.15349084 0.33740377 0.36809132 0.10576055],0.7258515542857255,0.6961810988991546,1
35,equal-frequency,[0.    0.482 0.572 0.645 0.711 0.789 1.   ],[0.17196708 0.16941864 0.15816299 0.17594903 0.15126095 0.17324131],0.4694406000941346,0.7038508536255741,1
36,kbins,[0.     0.1645 0.329  0.4935 0.658  0.8225 0.987 ],[0.00329174 0.03196177 0.15349084 0.33740377 0.36809132 0.10570746],0.7241293409371032,0.6995376572960941,1
37,kbins-quantile,[0.    0.482 0.572 0.645 0.711 0.789 0.987],[0.17196708 0.16941864 0.15816299 0.17594903 0.15126095 0.17318821],0.467160404531173,0.7072810250548369,1
38,decision-tree,"[0.         0.2045     0.2595     0.49349999 0.72749999 0.87350002
 1.        ]",[0.00642421 0.00769843 0.17462171 0.50761879 0.25256172 0.05107513],0.9161185445411585,0.6994233607903786,1
39,kmeans,"[0.         0.28824063 0.44641371 0.56422374 0.66600766 0.76378345
 1.        ]",[0.02139634 0.10039819 0.19681444 0.23307672 0.23743032 0.21088399],0.5532896135535963,0.7024782619791928,1
40,random-forest,"[0.         0.171      0.25883333 0.4065     0.5485     0.69650001
 0.8225     1.        ]","[0.00398195 0.0101407  0.07071941 0.18566499 0.35720733 0.26652509
 0.10576055]",0.5879064263729581,0.599315077700413,1
41,equal-width,"[0.         0.14285714 0.28571429 0.42857143 0.57142857 0.71428571
 0.85714286 1.        ]","[0.00238917 0.01900717 0.08197505 0.23801434 0.33411203 0.25792408
 0.06657818]",0.5860652171332859,0.5978097056968088,1
42,equal-width-data,[0.    0.141 0.282 0.423 0.564 0.705 0.846 1.   ],"[0.00238917 0.01900717 0.08197505 0.21523759 0.33294399 0.26891426
 0.07953278]",0.5754567392545353,0.5981404126409676,1
43,equal-frequency,[0.    0.463 0.551 0.613 0.673 0.733 0.801 1.   ],"[0.14494293 0.14924343 0.13857181 0.14207592 0.14414654 0.14388107
 0.13713831]",0.3218550439230278,0.6247054732867829,1
44,kbins,[0.    0.141 0.282 0.423 0.564 0.705 0.846 0.987],"[0.00238917 0.01900717 0.08197505 0.21523759 0.33294399 0.26891426
 0.07947969]",0.5740593591819058,0.6006615353525062,1
45,kbins-quantile,[0.    0.463 0.551 0.613 0.673 0.733 0.801 0.987],"[0.14494293 0.14924343 0.13857181 0.14207592 0.14414654 0.14388107
 0.13708521]",0.31983868387021797,0.6274063028236475,1
46,decision-tree,"[0.         0.2045     0.2595     0.49349999 0.72749999 0.87350002
 0.94049999 1.        ]","[0.00642421 0.00769843 0.17462171 0.50761879 0.25256172 0.04491638
 0.00615875]",0.8976787948097957,0.6006065647636603,1
47,kmeans,"[0.         0.26066515 0.40388418 0.50944603 0.59616475 0.6823285
 0.77106252 1.        ]","[0.01619326 0.06864879 0.11744093 0.18396602 0.21178657 0.21141492
 0.19054951]",0.419216010569478,0.6212101324440465,1
48,random-forest,"[0.         0.08615    0.2465     0.37549999 0.5115     0.63150001
 0.73050001 0.86649999 1.        ]","[0.0006902  0.0115742  0.04889833 0.15561455 0.25765861 0.24454473
 0.22298912 0.05803026]",0.4579425283007198,0.5332077748031803,1
49,equal-width,[0.    0.125 0.25  0.375 0.5   0.625 0.75  0.875 1.   ],"[0.00153969 0.01072471 0.04889833 0.12758163 0.26732148 0.28728431
 0.20557473 0.05107513]",0.4814344223801016,0.5297837519697097,1
50,equal-width-data,[0.    0.123 0.247 0.37  0.494 0.617 0.74  0.864 1.   ],"[0.00153969 0.01072471 0.0433236  0.13315636 0.2440138  0.28622246
 0.22298912 0.05803026]",0.4701676548950998,0.5312529055995845,1
51,equal-frequency,[0.    0.448 0.533 0.591 0.645 0.695 0.748 0.813 1.   ],"[0.12179453 0.13055482 0.13389965 0.11329971 0.12816565 0.11563578
 0.13666047 0.11998938]",0.19958456910408295,0.5655791017051607,1
52,kbins,"[0.       0.123375 0.24675  0.370125 0.4935   0.616875 0.74025  0.863625
 0.987   ]","[0.00153969 0.01072471 0.04889833 0.12758163 0.2440138  0.31059198
 0.19861959 0.05797717]",0.46913391095377144,0.5334011033859849,1
53,kbins-quantile,[0.    0.448 0.533 0.591 0.645 0.695 0.748 0.813 0.987],"[0.12179453 0.13055482 0.13389965 0.11329971 0.12816565 0.11563578
 0.13666047 0.11993629]",0.19771893962740783,0.5679101965216709,1
54,decision-tree,"[0.         0.2045     0.2595     0.49349999 0.72749999 0.87350002
 0.94049999 0.95549998 1.        ]","[0.00642421 0.00769843 0.17462171 0.50761879 0.25256172 0.04491638
 0.00238917 0.00376958]",0.8943476176666317,0.5194712809800512,1
55,kmeans,"[0.         0.23965776 0.37902945 0.48077811 0.56572711 0.64375875
 0.71922255 0.79650129 1.        ]","[0.01051234 0.05065038 0.11080435 0.14664189 0.18093974 0.17594903
 0.16947173 0.15503053]",0.2757080945784811,0.5617013170769546,1
56,random-forest,"[0.         0.17       0.2413125  0.37625    0.49237501 0.56899999
 0.69174998 0.77075002 0.89987499 1.        ]","[0.00398195 0.00828245 0.04889833 0.12758163 0.12986461 0.30910539
 0.18173613 0.1559331  0.03461641]",0.36337620578461804,0.48263922613137855,1
57,equal-width,"[0.         0.11111111 0.22222222 0.33333333 0.44444444 0.55555556
 0.66666667 0.77777778 0.88888889 1.        ]","[0.00116804 0.0079639  0.03063446 0.08202814 0.17239182 0.25749934
 0.2577648  0.150146   0.0404035 ]",0.3677958219538575,0.477454358274111,1
58,equal-width-data,[0.    0.11  0.219 0.329 0.439 0.548 0.658 0.768 0.877 1.   ],"[0.00111495 0.00700823 0.02713034 0.07714362 0.1581099  0.25564109
 0.26296788 0.15980887 0.05107513]",0.366934616575213,0.47973455727974357,1
59,equal-frequency,[0.    0.435 0.517 0.572 0.62  0.666 0.711 0.759 0.821 1.   ],"[0.11239713 0.10438014 0.12460844 0.09137244 0.11892753 0.12381205
 0.08983276 0.12890895 0.10576055]",0.10135128499222568,0.5172295609768254,1
60,kbins,"[0.         0.10966667 0.21933333 0.329      0.43866667 0.54833333
 0.658      0.76766667 0.87733333 0.987     ]","[0.00111495 0.00700823 0.02713034 0.07714362 0.1581099  0.25564109
 0.26296788 0.15980887 0.05102203]",0.36805478505523515,0.4816780228762416,1
61,kbins-quantile,[0.    0.435 0.517 0.572 0.62  0.666 0.711 0.759 0.821 0.987],"[0.11239713 0.10438014 0.12460844 0.09137244 0.11892753 0.12381205
 0.08983276 0.12890895 0.10570746]",0.09962907164360224,0.5193261207541285,1
62,decision-tree,"[0.         0.2045     0.2595     0.49349999 0.72749999 0.87350002
 0.94049999 0.9515     0.95549998 1.        ]","[0.00642421 0.00769843 0.17462171 0.50761879 0.25256172 0.04491638
 0.00238917 0.         0.00376958]",0.8943476176666317,0.4507240251845648,1
63,kmeans,"[0.         0.23491563 0.36796223 0.46309202 0.54067966 0.60775076
 0.67553335 0.74428878 0.81650616 1.        ]","[0.01051234 0.04507566 0.08935492 0.12556411 0.14021768 0.16410937
 0.16851606 0.13666047 0.11998938]",0.14895593729567025,0.5126140508720956,1
64,random-forest,"[0.         0.1855     0.25511112 0.38038889 0.49116667 0.5683889
 0.65449999 0.72883332 0.81505555 0.89927776 1.        ]","[0.00461906 0.00950358 0.05410141 0.12052031 0.12986461 0.20753916
 0.17021503 0.18364746 0.08537298 0.03461641]",0.17060100162486203,0.44343946580449356,1
65,equal-width,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],"[0.00084948 0.00456597 0.02192726 0.04884523 0.11255641 0.22198036
 0.24082825 0.19341651 0.12041412 0.03461641]",0.32020829836444764,0.43446696475953916,1
66,equal-width-data,"[0.     0.0987 0.197  0.296  0.395  0.494  0.592  0.691  0.79   0.888
 1.    ]","[0.00084948 0.00456597 0.01900717 0.05176533 0.11255641 0.19750465
 0.24146536 0.19904433 0.1328378  0.0404035 ]",0.2825953487479095,0.43743400049414016,1
67,equal-frequency,[0.    0.422 0.503 0.558 0.601 0.645 0.685 0.727 0.769 0.829 1.   ],"[0.10337138 0.0989116  0.09190337 0.11653836 0.088824   0.09848686
 0.09832758 0.09275285 0.10512344 0.10576055]",0.0017222133486233249,0.47484301982516797,1
68,kbins,"[0.     0.0987 0.1974 0.2961 0.3948 0.4935 0.5922 0.6909 0.7896 0.8883
 0.987 ]","[0.00084948 0.00456597 0.01900717 0.05176533 0.11255641 0.19750465
 0.24146536 0.19904433 0.1328378  0.04035041]",0.28218989143079387,0.43920530665036217,1
69,kbins-quantile,"[0.     0.422  0.503  0.558  0.601  0.645  0.6854 0.727  0.769  0.829
 0.987 ]","[0.10337138 0.0989116  0.09190337 0.11653836 0.088824   0.09848686
 0.09832758 0.09275285 0.10512344 0.10570746]",0.0,0.4767287510850515,1
70,decision-tree,"[0.         0.2045     0.2595     0.49349999 0.72749999 0.87350002
 0.94049999 0.9515     0.95549998 0.95649999 1.        ]","[0.00642421 0.00769843 0.17462171 0.50761879 0.25256172 0.04491638
 0.00238917 0.         0.         0.00376958]",0.8943476176666317,0.3890610944817341,1
71,kmeans,"[0.         0.21295197 0.33900969 0.4292642  0.50545304 0.57301838
 0.63762272 0.69664367 0.75511509 0.82141433 1.        ]","[0.00812317 0.03164322 0.06360499 0.0989116  0.13910273 0.13305017
 0.15327847 0.13761614 0.12890895 0.10576055]",0.06735991287220977,0.4707839618268572,1
72,random-forest,"[0.         0.1215     0.2463     0.3423     0.3999     0.4907
 0.59450001 0.71010001 0.75329999 0.82690001 0.91259999 1.        ]","[0.00153969 0.01072471 0.033236   0.03068755 0.11255641 0.19750465
 0.28924874 0.08983276 0.12890895 0.08526679 0.02049376]",0.2127995978494076,0.39534787448196507,1
73,bayesian-blocks,"[0.      0.06055 0.117   0.1835  0.2445  0.3095  0.3725  0.4345  0.4775
 0.5415  0.7685  0.8185  0.8555  0.8845  0.8995  0.9015  0.9125  0.9165
 0.9215  0.9305  0.9315  0.9675  0.987  ]","[2.65463233e-04 9.02574993e-04 3.45102203e-03 7.64534112e-03
 1.50783117e-02 3.38200159e-02 5.12344040e-02 4.55003982e-02
 1.12609504e-01 5.18608973e-01 9.08946111e-02 5.34112025e-02
 2.61746748e-02 5.78709849e-03 9.23812052e-03 4.88452349e-03
 0.00000000e+00 5.99946907e-03 5.20307937e-03 0.00000000e+00
 8.07008229e-03 1.16803823e-03]",0.2583544169976484,0.0,1
