ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[0.  0.2 0.4 0.7 0.9 1. ],[0.036103   0.09811521 0.40095567 0.34934962 0.11547651],1.0,1.0,4
1,equal-width,[0.  0.5 1. ],[0.233236 0.766764],0.5539886374652665,0.4922889759769048,2
2,equal-width-data,[0.  0.5 1. ],[0.233236 0.766764],0.5539886374652665,0.4922889759769048,2
3,equal-frequency,[0.    0.674 1.   ],[0.5003451 0.4996549],0.6082342309995135,0.4800054795894394,2
4,kbins,[0.       0.500035 0.999   ],[0.24449164 0.75497744],0.561008195083457,0.4923977299818606,1
5,kbins-quantile,[0.    0.674 0.999],[0.5003451  0.49912397],0.6138492749056744,0.4801135572781088,1
6,decision-tree,[0.     0.3295 1.    ],[0.09078843 0.90921157],0.3051525617552877,0.49909450610790096,1
7,kmeans,[0.         0.42260444 1.        ],[0.15832227 0.84167773],0.4130262874819941,0.4960365379142614,1
8,random-forest,[0.         0.0831     0.32449999 1.        ],[0.01178657 0.07900186 0.90921157],0.3369051647046247,0.5758405674455025,1
9,equal-width,[0.         0.33333333 0.66666667 1.        ],[0.09577913 0.38736395 0.51685692],0.8138753214429367,0.5682269740450872,2
10,equal-width-data,[0.    0.334 0.666 1.   ],[0.09577913 0.38736395 0.51685692],0.8138753214429367,0.5682461751049113,1
11,equal-frequency,[0.    0.571 0.765 1.   ],[0.34260685 0.32280329 0.33458986],0.918632247182816,0.5489063071182305,1
12,kbins,[0.         0.33371333 0.66635667 0.999     ],[0.09577913 0.38736395 0.51632599],0.8196042601025583,0.5682989201250956,1
13,kbins-quantile,[0.    0.571 0.765 0.999],[0.34260685 0.32280329 0.33405893],0.9229232557286015,0.5489685458201619,1
14,decision-tree,[0.     0.3295 0.9585 1.    ],[0.09078843 0.8765596  0.03265198],0.38440493071444437,0.5429377826659582,1
15,kmeans,[0.         0.28711514 0.58640274 1.        ],[0.07061322 0.28813379 0.64125299],0.7686399037068068,0.5733101442435248,1
16,random-forest,[0.      0.04875 0.3265  0.8705  1.     ],[0.00727369 0.08351473 0.76347226 0.14573932],0.559795900081882,0.6836968748189367,1
17,equal-width,[0.   0.25 0.5  0.75 1.  ],[0.0534112  0.17982479 0.39978763 0.36697637],0.9672666653945283,0.6900353415967061,2
18,equal-width-data,[0.    0.251 0.5   0.75  1.   ],[0.05680913 0.17642686 0.39978763 0.36697637],0.9672666653945283,0.6900200705433746,1
19,equal-frequency,[0.    0.51  0.674 0.815 1.   ],[0.24449164 0.25585346 0.25075657 0.24889833],0.8588300253517356,0.6654004707072494,1
20,kbins,[0.        0.2505525 0.500035  0.7495175 0.999    ],[0.05680913 0.18768251 0.38853199 0.36644545],0.9577805675851444,0.6900632337305384,1
21,kbins-quantile,[0.    0.51  0.674 0.815 0.999],[0.24449164 0.25585346 0.25075657 0.2483674 ],0.8555211599899044,0.6654283458011319,1
22,decision-tree,[0.      0.08285 0.3295  0.9585  1.     ],[0.01178657 0.07900186 0.8765596  0.03265198],0.4161575336637814,0.6795504014343041,1
23,kmeans,[0.         0.24013081 0.505006   0.69854832 1.        ],[0.0534112  0.19108044 0.29248739 0.46302097],0.9532385689345656,0.6903925586965713,1
24,random-forest,[0.         0.04115    0.16595    0.3715     0.81650001 1.        ],[0.00727369 0.01975046 0.09323069 0.63084683 0.24889833],0.7587340928882889,0.8648384780588785,1
25,equal-width,[0.  0.2 0.4 0.6 0.8 1. ],[0.036103   0.09811521 0.25537563 0.32689143 0.28351473],0.8341822442775628,0.9567022583906543,2
26,equal-width-data,[0.    0.201 0.4   0.6   0.799 1.   ],[0.03923547 0.09498274 0.24077515 0.3414919  0.28351473],0.8290449764847594,0.9564841541252245,1
27,equal-frequency,[0.    0.467 0.613 0.727 0.842 1.   ],[0.19649589 0.20727369 0.19235466 0.21061853 0.19325723],0.6884509368542067,0.8936112724645742,1
28,kbins,[0.       0.200656 0.400242 0.599828 0.799414 0.999   ],[0.03923547 0.1018317  0.2339262  0.3414919  0.28298381],0.8243201128307388,0.9565364620050254,1
29,kbins-quantile,[0.    0.467 0.613 0.727 0.842 0.999],[0.19649589 0.20727369 0.19235466 0.21061853 0.19272631],0.6859792097512087,0.8936108319361012,1
30,decision-tree,[0.      0.08285 0.3295  0.8705  0.9585  1.     ],[0.01178657 0.07900186 0.76347226 0.11308734 0.03265198],0.6071437589964503,0.9307324963816542,1
31,kmeans,[0.         0.19248522 0.42374067 0.58955769 0.74009363 1.        ],[0.036103   0.12221927 0.20042474 0.27427661 0.36697637],0.7915029507966654,0.9400145451176091,1
32,random-forest,"[0.         0.04715    0.2001     0.3687     0.53570002 0.87310001
 1.        ]",[0.00727369 0.03196177 0.0751261  0.16718874 0.57271038 0.14573932],0.9680038871024222,0.6479942993379421,1
33,equal-width,"[0.         0.16666667 0.33333333 0.5        0.66666667 0.83333333
 1.        ]",[0.02702416 0.06875498 0.13745686 0.24990709 0.30528272 0.2115742 ],0.6725523842733174,0.6748662800821862,1
34,equal-width-data,[0.    0.167 0.334 0.5   0.666 0.833 1.   ],[0.02702416 0.06875498 0.13745686 0.24990709 0.30528272 0.2115742 ],0.6725523842733174,0.6748212770019884,1
35,equal-frequency,[0.    0.435 0.571 0.674 0.765 0.862 1.   ],[0.16702947 0.17557738 0.15773825 0.16506504 0.17409079 0.16049907],0.5497027979993587,0.6756408126664921,1
36,kbins,"[0.         0.16739167 0.33371333 0.500035   0.66635667 0.83267833
 0.999     ]",[0.02702416 0.06875498 0.1487125  0.23865145 0.30528272 0.21104327],0.6697803229520936,0.6751183200891391,1
