ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[0.0e+00 1.0e-04 1.0e-02 5.0e-02 2.5e-01 7.5e-01 1.0e+00],[0.77494027 0.         0.07305548 0.05118131 0.04629679 0.05452615],1.0,1.0,4
1,equal-width,[0.  0.5 1. ],[0.92322803 0.07677197],0.0,0.3586583442281225,3
2,equal-width-data,[0.    0.498 1.   ],[0.92322803 0.07677197],0.011216674886638023,0.35888233109372303,1
3,equal-frequency,[0.00e+00 1.14e-05 1.00e+00],[0.77494027 0.22505973],0.07902245737640012,0.3873438248861625,1
4,kbins,[0.     0.4985 0.997 ],[0.92322803 0.07671887],0.01381734245374544,0.3594925130317945,1
5,kbins-quantile,[0.00e+00 1.14e-05 9.97e-01],[0.77494027 0.22500664],0.08875688764300926,0.38804096637903984,1
6,decision-tree,[0.     0.0166 1.    ],[0.81502522 0.18497478],0.1835453140509251,0.38731184404641494,1
7,kmeans,[0.         0.01398535 1.        ],[0.81502522 0.18497478],0.1835453140509251,0.38732117666816823,1
8,random-forest,[0.00000000e+00 1.38500000e-05 7.84500001e-03 1.00000000e+00],[0.77494027 0.         0.22505973],0.07902245737640012,0.39682642043514693,1
9,equal-width,[0.         0.33333333 0.66666667 1.        ],[0.90968941 0.0267056  0.06360499],0.4868905565026387,0.33526548977296866,2
10,equal-width-data,[0.    0.332 0.665 1.   ],[0.90968941 0.0267056  0.06360499],0.4868905565026387,0.3355982868028642,1
11,kbins,[0.         0.33233333 0.66466667 0.997     ],[0.90968941 0.0267056  0.0635519 ],0.4881926622641294,0.3362383865973123,1
12,kbins-quantile,[0.00e+00 3.92e-04 9.97e-01],[0.77494027 0.22500664],0.08875688764300926,0.3880409572744573,1
13,decision-tree,[0.00000000e+00 4.99999999e-07 1.65999997e-02 1.00000000e+00],[0.77494027 0.04008495 0.18497478],0.2034264868852217,0.39682177662757545,1
14,kmeans,[0.         0.00672057 0.37907336 1.        ],[0.77494027 0.13867799 0.08638174],0.5503333575517282,0.38078168751101293,1
15,random-forest,"[0.00000000e+00 4.99999999e-07 2.10833333e-04 1.63833334e-02
 1.00000000e+00]",[0.77494027 0.         0.04008495 0.18497478],0.2034264868852217,0.44677597474120634,1
16,equal-width,[0.   0.25 0.5  0.75 1.  ],[0.89917706 0.02405097 0.02224582 0.05452615],0.7670331005908069,0.35195452434789976,3
17,equal-width-data,[0.    0.249 0.498 0.748 1.   ],[0.89917706 0.02405097 0.02224582 0.05452615],0.7807251719293697,0.3525379401525167,1
18,kbins,[0.      0.24925 0.4985  0.74775 0.997  ],[0.89917706 0.02405097 0.02224582 0.05447306],0.7809795298513441,0.35300800334243554,1
19,kbins-quantile,[0.00e+00 1.14e-05 2.57e-03 9.97e-01],[0.77494027 0.         0.22500664],0.08875688764300926,0.39749982449891696,1
20,decision-tree,"[0.00000000e+00 4.99999999e-07 1.65999997e-02 3.58500004e-01
 1.00000000e+00]",[0.77494027 0.04008495 0.09678789 0.08818689],0.6228855802484086,0.4346805535328625,1
21,kmeans,[0.         0.00402362 0.22328121 0.54237778 1.        ],[0.77494027 0.12195381 0.03063446 0.07247146],0.8488623748118238,0.41065500069212224,1
22,random-forest,"[0.00000000e+00 4.99999999e-07 8.17250001e-03 2.11999997e-01
 5.39999999e-01 1.00000000e+00]",[0.77494027 0.         0.12041412 0.03111229 0.07353332],0.8462061639032828,0.5891180401877815,1
23,equal-width,[0.  0.2 0.4 0.6 0.8 1. ],[0.89190337 0.02373241 0.01698965 0.01964428 0.04773029],0.9759624573098288,0.48262977944898977,2
24,equal-width-data,[0.    0.199 0.399 0.598 0.798 1.   ],[0.89190337 0.02373241 0.01598089 0.02065304 0.04773029],0.9876791110203701,0.4834051805311812,1
25,kbins,[0.     0.1994 0.3988 0.5982 0.7976 0.997 ],[0.89190337 0.02373241 0.01598089 0.02065304 0.0476772 ],0.9870280007134398,0.4836429537147493,1
26,kbins-quantile,[0.000e+00 1.540e-06 8.928e-05 9.860e-03 9.970e-01],[0.77494027 0.         0.         0.22500664],0.08875688764300926,0.44729757318708074,1
27,decision-tree,"[0.00000000e+00 4.99999999e-07 1.65999997e-02 3.58500004e-01
 9.28499997e-01 1.00000000e+00]",[0.77494027 0.04008495 0.09678789 0.07486063 0.01332625],0.7806703165226497,0.5173902805987636,1
28,kmeans,[0.         0.002555   0.14389973 0.36419111 0.64078241 1.        ],[0.77494027 0.10841518 0.0296257  0.02229891 0.06471994],0.947204928049299,0.5621493890367094,1
29,random-forest,"[0.00000000e+00 4.99999999e-07 5.86900003e-03 1.89899996e-02
 3.58900011e-01 8.80899996e-01 1.00000000e+00]",[0.77494027 0.         0.04008495 0.09678789 0.06041943 0.02776745],0.835982303916816,0.9343160321099921,1
30,equal-width,"[0.         0.16666667 0.33333333 0.5        0.66666667 0.83333333
 1.        ]",[0.88632864 0.02336076 0.01353862 0.01316698 0.02272365 0.04088134],0.8585532056994987,0.727638867147793,1
31,equal-width-data,[0.    0.166 0.332 0.498 0.665 0.831 1.   ],[0.88632864 0.02336076 0.01353862 0.01316698 0.02272365 0.04088134],0.8585802238439237,0.7288697959306936,1
32,kbins,"[0.         0.16616667 0.33233333 0.4985     0.66466667 0.83083333
 0.997     ]",[0.88632864 0.02336076 0.01353862 0.01316698 0.02272365 0.04082825],0.8602794956636174,0.7287573136535224,1
33,kbins-quantile,[0.00e+00 1.14e-05 3.92e-04 2.74e-02 9.97e-01],[0.77494027 0.         0.05463233 0.1703743 ],0.26365946893253944,0.4474416613663479,1
34,decision-tree,"[0.00000000e+00 4.99999999e-07 1.65999997e-02 3.51500005e-01
 3.58500004e-01 9.28499997e-01 1.00000000e+00]",[0.77494027 0.04008495 0.09678789 0.         0.07486063 0.01332625],0.7806703165226497,0.860816706068174,1
35,kmeans,"[0.         0.00244096 0.13414217 0.32223441 0.5398038  0.74952518
 1.        ]",[0.77494027 0.10570746 0.02792673 0.01789222 0.01900717 0.05452615],0.7878185930103498,0.8419608837647186,1
36,random-forest,"[0.00000000e+00 4.99999999e-07 2.51499999e-04 1.58166665e-02
 2.05499999e-01 4.51166665e-01 8.81166667e-01 1.00000000e+00]","[0.77494027 0.         0.04008495 0.07852402 0.02654632 0.05213698
 0.02776745]",0.9443010958829727,0.6008788764356756,1
37,equal-width,"[0.         0.14285714 0.28571429 0.42857143 0.57142857 0.71428571
 0.85714286 1.        ]","[0.88335546 0.02129015 0.01337935 0.01173347 0.01194585 0.02256437
 0.03573135]",0.735203368462706,0.5567821947460885,1
38,equal-width-data,[0.    0.142 0.285 0.427 0.57  0.712 0.855 1.   ],"[0.88335546 0.02129015 0.01337935 0.01099018 0.01268914 0.02256437
 0.03573135]",0.735203368462706,0.5570998822989529,1
39,kbins,"[0.         0.14242857 0.28485714 0.42728571 0.56971429 0.71214286
 0.85457143 0.997     ]","[0.88335546 0.02129015 0.01337935 0.01099018 0.01268914 0.02256437
 0.03567826]",0.7378464011422682,0.5580436182146875,1
40,kbins-quantile,"[0.00000000e+00 2.83000000e-06 5.20000000e-05 1.10857143e-03
 6.08428571e-02 9.97000000e-01]",[0.77494027 0.         0.         0.0837802  0.14122644],0.3786629445888886,0.6022133091013899,1
41,decision-tree,"[0.00000000e+00 4.99999999e-07 2.22999997e-05 1.65999997e-02
 3.51500005e-01 3.58500004e-01 9.28499997e-01 1.00000000e+00]","[0.77494027 0.         0.04008495 0.09678789 0.         0.07486063
 0.01332625]",0.7806703165226497,0.5896343066702276,1
42,kmeans,"[0.         0.00182025 0.09345452 0.21884392 0.37085274 0.55825606
 0.75384314 1.        ]","[0.77494027 0.09392089 0.02649323 0.01826387 0.0144412  0.01815769
 0.05378285]",0.6849768835489363,0.5935928305268288,1
43,random-forest,"[0.00000000e+00 4.99999999e-07 1.44071430e-04 7.82285705e-04
 1.81571435e-02 2.14785716e-01 4.25071437e-01 8.82571442e-01
 1.00000000e+00]","[0.77494027 0.         0.         0.04008495 0.08032917 0.02267056
 0.05420759 0.02776745]",0.956458192074789,0.40587984203182215,1
44,equal-width,[0.    0.125 0.25  0.375 0.5   0.625 0.75  0.875 1.   ],"[0.87815238 0.02102469 0.0144412  0.00960977 0.01072471 0.0115211
 0.02421025 0.0303159 ]",0.6316154338095951,0.45215567152452574,1
45,equal-width-data,[0.    0.125 0.249 0.374 0.498 0.623 0.748 0.872 1.   ],"[0.87815238 0.02102469 0.0144412  0.00960977 0.01072471 0.0115211
 0.02421025 0.0303159 ]",0.6326854364607678,0.4529256631849722,1
46,kbins,"[0.       0.124625 0.24925  0.373875 0.4985   0.623125 0.74775  0.872375
 0.997   ]","[0.87815238 0.02102469 0.0144412  0.00960977 0.01072471 0.0115211
 0.02421025 0.03026281]",0.6363874605071336,0.4535903330997091,1
47,kbins-quantile,[0.00e+00 1.14e-05 1.51e-04 2.57e-03 1.12e-01 9.97e-01],[0.77494027 0.         0.         0.10066366 0.12434298],0.45034631310003626,0.6052790812010759,1
48,decision-tree,"[0.00000000e+00 4.99999999e-07 1.01500000e-05 2.22999997e-05
 1.65999997e-02 3.51500005e-01 3.58500004e-01 9.28499997e-01
 1.00000000e+00]","[0.77494027 0.         0.         0.04008495 0.09678789 0.
 0.07486063 0.01332625]",0.7806703165226497,0.4013771987750884,1
