ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[ 0  3  7 11],[0.32179453 0.25293337 0.4252721 ],1.0,1.0,4
1,equal-width,[ 0.  6. 12.],[0.50299973 0.49700027],0.6821366021998615,0.5006037434280899,2
2,equal-width-data,[ 0.   5.5 11. ],[0.50299973 0.49700027],0.6959612472678293,0.5199054799418522,2
3,equal-frequency,[ 0.  5. 11.],[0.41943191 0.58056809],0.6959612472678293,0.5236907783192883,2
4,kbins,[ 0.   5.5 11. ],[0.50299973 0.49700027],0.6959612472678293,0.5199054799418522,2
5,kbins-quantile,[ 0.  5. 11.],[0.41943191 0.58056809],0.6959612472678293,0.5236907783192883,2
6,decision-tree,[ 0.   1.5 11. ],[0.23074064 0.76925936],0.5303526063971173,0.5266558267438044,2
7,kmeans,[ 0.          2.14355077 11.        ],[0.32179453 0.67820547],0.6137062765080785,0.5292403474223515,1
8,random-forest,[ 0.   0.5  3.5 11. ],[0.11584816 0.23312981 0.65102203],0.8128270408967011,0.8274697316888783,1
9,equal-width,[ 0.  4.  8. 12.],[0.34897797 0.33363419 0.31738784],0.979351157870668,0.9305231594291742,2
10,equal-width-data,[ 0.     3.667  7.333 11.   ],[0.34897797 0.33363419 0.31738784],1.0,0.9700959431741779,1
11,equal-frequency,[ 0.  3.  7. 11.],[0.32179453 0.25293337 0.4252721 ],1.0,1.0,1
12,kbins,[ 0.          3.66666667  7.33333333 11.        ],[0.34897797 0.33363419 0.31738784],1.0,0.9701019281691204,1
13,kbins-quantile,[ 0.  3.  7. 11.],[0.32179453 0.25293337 0.4252721 ],1.0,1.0,1
14,decision-tree,[ 0.   0.5  1.5 11. ],[0.11584816 0.11489249 0.76925936],0.6211751304499842,0.7576595746935082,1
15,kmeans,[ 0.          1.08474061  5.65054106 11.        ],[0.23074064 0.27225909 0.49700027],0.9553928925034324,0.9060198238327386,1
16,random-forest,[ 0.   0.5  3.5  6.5 11. ],[0.11584816 0.23312981 0.22574993 0.4252721 ],0.8600093089528046,0.49300944707397654,1
17,equal-width,[ 0.  3.  6.  9. 12.],[0.32179453 0.1812052  0.2512344  0.24576586],0.8089129297113908,0.5103648722501325,2
18,equal-width-data,[ 0.    2.75  5.5   8.25 11.  ],[0.32179453 0.1812052  0.2512344  0.24576586],0.7694860616177801,0.5411108589592858,1
19,equal-frequency,[ 0.  2.  5.  8. 11.],[0.23074064 0.18869127 0.26318025 0.31738784],0.7694860616177801,0.5339351848651548,2
20,kbins,[ 0.    2.75  5.5   8.25 11.  ],[0.32179453 0.1812052  0.2512344  0.24576586],0.7694860616177801,0.5411108589592858,1
21,kbins-quantile,[ 0.  2.  5.  8. 11.],[0.23074064 0.18869127 0.26318025 0.31738784],0.7694860616177801,0.5339351848651548,2
22,decision-tree,[ 0.   0.5  1.5  9.5 11. ],[0.11584816 0.11489249 0.61364481 0.15561455],0.9247794267358356,0.49300944707397654,1
23,kmeans,[ 0.          0.92295001  4.3111632   6.99957735 11.        ],[0.11584816 0.30358375 0.15529599 0.4252721 ],0.883600671964847,0.5111091552111244,1
24,random-forest,[ 0.   0.5  3.   5.5  8.  11. ],[0.11584816 0.20594638 0.1812052  0.17961242 0.31738784],0.6564693429637944,0.38182528043449115,1
25,equal-width,[ 0.   2.4  4.8  7.2  9.6 12. ],[0.32179453 0.09763738 0.26318025 0.16177329 0.15561455],0.6138344162392453,0.3584511902421691,1
26,equal-width-data,[ 0.   2.2  4.4  6.6  8.8 11. ],[0.32179453 0.09763738 0.15529599 0.17950624 0.24576586],0.6093633140604062,0.3980455538252837,1
27,equal-frequency,[ 0.  1.  4.  7.  9. 11.],[0.11584816 0.23312981 0.22574993 0.17950624 0.24576586],0.6197107691082377,0.39034319824248365,1
28,kbins,[ 0.   2.2  4.4  6.6  8.8 11. ],[0.32179453 0.09763738 0.15529599 0.17950624 0.24576586],0.6093633140604062,0.39804555382528384,1
29,kbins-quantile,[ 0.  1.  4.  7.  9. 11.],[0.11584816 0.23312981 0.22574993 0.17950624 0.24576586],0.6197107691082377,0.39034319824248365,1
30,decision-tree,[ 0.   0.5  1.5  6.5  9.5 11. ],[0.11584816 0.11489249 0.34398726 0.26965755 0.15561455],0.7411341153415691,0.3433305223354607,1
31,kmeans,[ 0.          0.92295001  4.3111632   6.60065031  8.55726945 11.        ],[0.11584816 0.30358375 0.15529599 0.17950624 0.24576586],0.6801688564148118,0.3981456410022538,1
32,random-forest,[ 0.   0.5  2.5  4.5  6.5  8.5 11. ],[0.11584816 0.20594638 0.09763738 0.15529599 0.17950624 0.24576586],0.4839549960456907,0.30032762522784406,1
33,equal-width,[ 0.  2.  4.  6.  8. 10. 12.],[0.23074064 0.11823732 0.15402177 0.17961242 0.16177329 0.15561455],0.4955260871523892,0.25710661108822785,2
34,equal-width-data,[ 0.     1.833  3.667  5.5    7.333  9.167 11.   ],[0.23074064 0.11823732 0.15402177 0.17961242 0.16177329 0.15561455],0.46433830418702093,0.30346501082110566,1
35,equal-frequency,[ 0.  1.  3.  5.  7.  9. 11.],[0.11584816 0.20594638 0.09763738 0.15529599 0.17950624 0.24576586],0.46433830418702093,0.2971727020239111,1
36,kbins,"[ 0.          1.83333333  3.66666667  5.5         7.33333333  9.16666667
 11.        ]",[0.23074064 0.11823732 0.15402177 0.17961242 0.16177329 0.15561455],0.46433830418702093,0.3034647546654897,1
37,kbins-quantile,[ 0.  1.  3.  5.  7.  9. 11.],[0.11584816 0.20594638 0.09763738 0.15529599 0.17950624 0.24576586],0.46433830418702093,0.2971727020239111,1
38,decision-tree,[ 0.   0.5  1.5  5.5  6.5  9.5 11. ],[0.11584816 0.11489249 0.27225909 0.07172817 0.26965755 0.15561455],0.5830080600041923,0.2821660363591063,1
39,kmeans,"[0.00000000e+00 1.33226763e-14 1.44212426e+00 4.31116320e+00
 6.60065031e+00 8.55726945e+00 1.10000000e+01]",[0.11584816 0.11489249 0.18869127 0.15529599 0.17950624 0.24576586],0.5244171428765321,0.2797314734025327,1
40,random-forest,"[ 0.          0.5         2.16666667  3.83333333  5.5         7.16666667
  8.83333333 11.        ]","[0.11584816 0.20594638 0.02718344 0.15402177 0.17961242 0.07162198
 0.24576586]",0.3826224784160255,0.23721820963517626,1
41,equal-width,"[ 0.          1.71428571  3.42857143  5.14285714  6.85714286  8.57142857
 10.28571429 12.        ]","[0.23074064 0.11823732 0.15402177 0.07172817 0.17950624 0.16081763
 0.08494823]",0.3785449541353595,0.17891816355494505,1
42,equal-width-data,[ 0.     1.571  3.143  4.714  6.286  7.857  9.429 11.   ],"[0.23074064 0.11823732 0.07045394 0.15529599 0.10788426 0.16177329
 0.15561455]",0.3748286481256131,0.2309438117040895,1
43,equal-frequency,[ 0.  1.  2.  5.  6.  8. 10. 11.],"[0.11584816 0.11489249 0.18869127 0.08356783 0.17961242 0.16177329
 0.15561455]",0.40976054675994944,0.2119149557267055,1
44,kbins,"[ 0.          1.57142857  3.14285714  4.71428571  6.28571429  7.85714286
  9.42857143 11.        ]","[0.23074064 0.11823732 0.07045394 0.15529599 0.10788426 0.16177329
 0.15561455]",0.3748286481256131,0.23095756109158583,1
45,kbins-quantile,[ 0.  1.  2.  5.  6.  8. 10. 11.],"[0.11584816 0.11489249 0.18869127 0.08356783 0.17961242 0.16177329
 0.15561455]",0.40976054675994944,0.2119149557267055,1
46,decision-tree,[ 0.   0.5  1.5  3.5  5.5  6.5  9.5 11. ],"[0.11584816 0.11489249 0.11823732 0.15402177 0.07172817 0.26965755
 0.15561455]",0.40236375413978587,0.22167330917483963,1
47,kmeans,"[0.00000000e+00 1.33226763e-14 1.00000000e+00 2.22990570e+00
 4.54257153e+00 6.60065031e+00 8.55726945e+00 1.10000000e+01]","[0.11584816 0.11489249 0.09105389 0.09763738 0.15529599 0.17950624
 0.24576586]",0.392249881978853,0.2177091267536243,1
48,random-forest,"[ 0.          0.5         1.92857143  3.35714286  4.78571429  6.21428571
  7.64285714  9.07142857 11.        ]","[0.11584816 0.11489249 0.11823732 0.07045394 0.15529599 0.10788426
 0.16177329 0.15561455]",0.2840061240727465,0.18421925825895846,1
49,equal-width,[ 0.   1.5  3.   4.5  6.   7.5  9.  10.5 12. ],"[0.23074064 0.09105389 0.09763738 0.08356783 0.17961242 0.07162198
 0.16081763 0.08494823]",0.291724564037276,0.11388651754914902,2
50,equal-width-data,[ 0.     1.375  2.75   4.125  5.5    6.875  8.25   9.625 11.   ],"[0.23074064 0.09105389 0.09763738 0.08356783 0.07172817 0.17950624
 0.09015131 0.15561455]",0.2816646977439401,0.17093477019627135,1
51,equal-frequency,[ 0.  1.  2.  4.  5.  7.  8. 10. 11.],"[0.11584816 0.11489249 0.11823732 0.07045394 0.15529599 0.10788426
 0.16177329 0.15561455]",0.28482546973507816,0.16146701293615906,1
52,kbins,[ 0.     1.375  2.75   4.125  5.5    6.875  8.25   9.625 11.   ],"[0.23074064 0.09105389 0.09763738 0.08356783 0.07172817 0.17950624
 0.09015131 0.15561455]",0.2816646977439401,0.17093477019627135,1
53,kbins-quantile,[ 0.  1.  2.  4.  5.  7.  8. 10. 11.],"[0.11584816 0.11489249 0.11823732 0.07045394 0.15529599 0.10788426
 0.16177329 0.15561455]",0.28482546973507816,0.16146701293615906,1
54,decision-tree,[ 0.   0.5  1.5  2.5  3.5  5.5  6.5  9.5 11. ],"[0.11584816 0.11489249 0.09105389 0.02718344 0.15402177 0.07172817
 0.26965755 0.15561455]",0.2889378689995741,0.1930012496258806,1
55,kmeans,"[0.00000000e+00 1.24344979e-14 1.00000000e+00 2.00000000e+00
 3.72158782e+00 5.46188034e+00 7.00000000e+00 8.55726945e+00
 1.10000000e+01]","[0.11584816 0.11489249 0.09105389 0.02718344 0.15402177 0.17961242
 0.07162198 0.24576586]",0.2909173643491877,0.18490783198392713,1
56,random-forest,[ 0.    0.5   1.75  3.    4.25  5.5   6.75  8.    9.25 11.  ],"[0.11584816 0.11489249 0.09105389 0.09763738 0.08356783 0.07172817
 0.10788426 0.16177329 0.15561455]",0.20006135887309628,0.13758183897076404,1
57,equal-width,"[ 0.          1.33333333  2.66666667  4.          5.33333333  6.66666667
  8.          9.33333333 10.66666667 12.        ]","[0.23074064 0.09105389 0.02718344 0.15402177 0.07172817 0.10788426
 0.16177329 0.07066631 0.08494823]",0.19856061365560318,0.05728577503622667,1
58,equal-width-data,[ 0.     1.222  2.444  3.667  4.889  6.111  7.333  8.556  9.778 11.   ],"[0.23074064 0.09105389 0.02718344 0.07045394 0.15529599 0.10788426
 0.07162198 0.09015131 0.15561455]",0.1780158259403809,0.11887107080562032,1
59,kbins,"[ 0.          1.22222222  2.44444444  3.66666667  4.88888889  6.11111111
  7.33333333  8.55555556  9.77777778 11.        ]","[0.23074064 0.09105389 0.02718344 0.07045394 0.15529599 0.10788426
 0.07162198 0.09015131 0.15561455]",0.1780158259403809,0.11887722606379969,1
60,kbins-quantile,[ 0.  1.  3.  5.  6.  7.  9. 10. 11.],"[0.11584816 0.20594638 0.09763738 0.08356783 0.07172817 0.17950624
 0.09015131 0.15561455]",0.2918151538669099,0.1557301183000691,1
61,decision-tree,[ 0.   0.5  1.5  2.5  3.5  5.5  6.5  7.5  9.5 11. ],"[0.11584816 0.11489249 0.09105389 0.02718344 0.15402177 0.07172817
 0.10788426 0.16177329 0.15561455]",0.17067082876216844,0.1387486885932544,1
62,kmeans,"[0.00000000e+00 1.15463195e-14 1.00000000e+00 2.22990570e+00
 4.54257153e+00 6.00000000e+00 7.00000000e+00 8.00000000e+00
 9.00000000e+00 1.10000000e+01]","[0.11584816 0.11489249 0.09105389 0.09763738 0.08356783 0.17961242
 0.07162198 0.09015131 0.15561455]",0.19140000184570283,0.10886234311991039,1
63,random-forest,"[ 0.          0.5         1.61111111  2.72222222  3.83333333  4.94444444
  6.05555556  7.16666667  8.27777778  9.38888889 11.        ]","[0.11584816 0.11489249 0.09105389 0.02718344 0.07045394 0.15529599
 0.10788426 0.07162198 0.09015131 0.15561455]",0.08719330188751406,0.09532597674820309,1
64,equal-width,[ 0.   1.2  2.4  3.6  4.8  6.   7.2  8.4  9.6 10.8 12. ],"[0.23074064 0.09105389 0.02718344 0.07045394 0.08356783 0.17961242
 0.07162198 0.09015131 0.07066631 0.08494823]",0.09491174185204398,0.006537864191292209,1
65,equal-width-data,[ 0.   1.1  2.2  3.3  4.4  5.5  6.6  7.7  8.8  9.9 11. ],"[0.23074064 0.09105389 0.02718344 0.07045394 0.08356783 0.07172817
 0.10788426 0.07162198 0.09015131 0.15561455]",0.09082252405286695,0.07232589571278614,1
66,kbins,[ 0.   1.1  2.2  3.3  4.4  5.5  6.6  7.7  8.8  9.9 11. ],"[0.23074064 0.09105389 0.02718344 0.07045394 0.08356783 0.07172817
 0.10788426 0.07162198 0.09015131 0.15561455]",0.09082252405286695,0.07232589571278614,1
67,kbins-quantile,[ 0.  1.  2.  4.  5.  7.  8.  9. 10. 11.],"[0.11584816 0.11489249 0.11823732 0.07045394 0.15529599 0.10788426
 0.07162198 0.09015131 0.15561455]",0.20134420615449267,0.08705563283504836,1
68,decision-tree,[ 0.   0.5  1.5  2.5  3.5  5.5  6.5  7.5  8.5  9.5 11. ],"[0.11584816 0.11489249 0.09105389 0.02718344 0.15402177 0.07172817
 0.10788426 0.07162198 0.09015131 0.15561455]",0.0872838917171479,0.0737145002584918,1
69,kmeans,"[0.00000000e+00 1.33226763e-14 1.00000000e+00 2.00000000e+00
 3.72158782e+00 5.00000000e+00 6.00000000e+00 7.00000000e+00
 8.00000000e+00 9.00000000e+00 1.10000000e+01]","[0.11584816 0.11489249 0.09105389 0.02718344 0.07045394 0.08356783
 0.17961242 0.07162198 0.09015131 0.15561455]",0.0872838917171479,0.08895203615043257,1
70,random-forest,[ 0.   0.5  1.5  2.5  3.5  4.5  5.5  6.5  7.5  8.5  9.5 11. ],"[0.11584816 0.11489249 0.09105389 0.02718344 0.07045394 0.08356783
 0.07172817 0.10788426 0.07162198 0.09015131 0.15561455]",0.0,0.056290675675302326,1
71,bayesian-blocks,[ 0.   1.5  2.5  3.5  4.5  5.5  6.5  7.5  8.5  9.5 10.5 11. ],"[0.23074064 0.09105389 0.02718344 0.07045394 0.08356783 0.07172817
 0.10788426 0.07162198 0.09015131 0.07066631 0.08494823]",0.007718439964530144,0.0,1
