ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[0.  0.2 0.5 1. ],[0.71239713 0.2426334  0.04496947],1.0,1.0,4
1,equal-width,[0.  0.5 1. ],[0.95518981 0.04481019],0.7589227075426088,0.46997425720926855,3
2,equal-width-data,[0.    0.498 1.   ],[0.95518981 0.04481019],0.7703815758880765,0.4702108438879231,1
3,equal-frequency,[0.    0.122 1.   ],[0.52391824 0.47608176],0.9172514297667317,0.48683868902712013,1
4,kbins,[0.      0.49845 0.986  ],[0.95518981 0.0447571 ],0.7704592375999146,0.4728957888486509,1
5,kbins-quantile,[0.    0.122 0.986],[0.52391824 0.47602867],0.9190909905123057,0.4896662261633764,1
6,decision-tree,[0.     0.1695 1.    ],[0.6541545 0.3458455],0.933367943899094,0.48789252919082327,1
7,kmeans,[0.         0.12252859 1.        ],[0.52391824 0.47608176],0.9172514297667317,0.48685547648643535,1
8,random-forest,[0.      0.04645 0.1655  1.     ],[0.01937882 0.63477568 0.3458455 ],0.8823939255920129,0.8314756398043798,1
9,equal-width,[0.         0.33333333 0.66666667 1.        ],[0.87544465 0.10586674 0.01868861],0.9453959767312435,0.9022728490784501,2
10,equal-width-data,[0.    0.336 0.661 1.   ],[0.87544465 0.10586674 0.01868861],0.9453959767312435,0.903501808260609,1
11,equal-frequency,[0.    0.102 0.17  1.   ],[0.36140165 0.29275285 0.3458455 ],0.9210876266064572,0.8423800922215783,1
12,kbins,[0.         0.33593333 0.66096667 0.986     ],[0.87544465 0.10586674 0.01863552],0.9448356396790274,0.9033204198704258,1
13,kbins-quantile,[0.    0.102 0.17  0.986],[0.36140165 0.29275285 0.34579241],0.9195340234571789,0.8422497981455112,1
14,decision-tree,[0.     0.1615 0.1695 1.    ],[0.6541545 0.        0.3458455],0.933367943899094,0.8476498479230927,1
15,kmeans,[0.         0.11013144 0.3098957  1.        ],[0.45091585 0.39182373 0.15726042],0.9011222862043721,0.9037203947955568,1
16,random-forest,[0.         0.03555    0.10383333 0.19116667 1.        ],[0.00626493 0.35513671 0.35099549 0.28760287],0.7557954350523229,0.37921484625114776,1
17,equal-width,[0.   0.25 0.5  0.75 1.  ],[0.77849748 0.17669233 0.03424476 0.01056544],0.9829429395750132,0.5274809000605064,2
18,equal-width-data,[0.    0.255 0.498 0.742 1.   ],[0.78831962 0.16687019 0.03424476 0.01056544],0.9767251865617728,0.526463085351939,1
19,equal-frequency,[0.     0.0929 0.122  0.221  1.    ],[0.26753385 0.25638439 0.2295726  0.24650916],0.8001609671198731,0.3923572275096372,1
20,kbins,[0.       0.254675 0.49845  0.742225 0.986   ],[0.78831962 0.16687019 0.03424476 0.01051234],0.9776927844489152,0.5326927767846117,1
21,kbins-quantile,[0.     0.0929 0.122  0.221  0.986 ],[0.26753385 0.25638439 0.2295726  0.24645607],0.7988143083724535,0.3971727383565241,1
22,decision-tree,[0.      0.04655 0.1615  0.1695  1.     ],[0.01937882 0.63477568 0.         0.3458455 ],0.8823939255920129,0.3809639266407967,1
23,kmeans,[0.         0.09768961 0.20456537 0.35667294 1.        ],[0.26753385 0.46164056 0.16814441 0.10268118],0.7869837661792649,0.43705534692043657,1
24,random-forest,[0.      0.03555 0.06905 0.1135  0.1895  1.     ],[0.00626493 0.07374569 0.37090523 0.24465092 0.30443324],0.6741087667691661,0.346900732411232,1
25,equal-width,[0.  0.2 0.4 0.6 0.8 1. ],[0.71239713 0.21560924 0.04358906 0.0216618  0.00674277],0.8830944034596907,0.3839955470469094,2
26,equal-width-data,[0.    0.206 0.401 0.596 0.791 1.   ],[0.72917441 0.2029201  0.0382798  0.02288293 0.00674277],0.8814352332104005,0.38591564067600415,1
27,equal-frequency,[0.     0.0868 0.109  0.144  0.264  1.    ],[0.18635519 0.17504646 0.2440669  0.19532785 0.19920361],0.7076512943591212,0.35765085514928663,1
28,kbins,[0.      0.20592 0.40094 0.59596 0.79098 0.986  ],[0.72917441 0.2029201  0.0382798  0.02288293 0.00668967],0.8827191904057328,0.39067824328127554,1
29,kbins-quantile,[0.     0.0868 0.109  0.144  0.264  0.986 ],[0.18635519 0.17504646 0.2440669  0.19532785 0.19915052],0.7064618851666068,0.36220427070162997,1
30,decision-tree,[0.      0.04655 0.05005 0.1615  0.1695  1.     ],[0.01937882 0.02187417 0.61290151 0.         0.3458455 ],0.834492611527814,0.359335995322119,1
31,kmeans,[0.         0.09736772 0.19932059 0.33743458 0.54064502 1.        ],[0.26753385 0.44486329 0.16304752 0.08707194 0.03748341],0.7176091119170247,0.38022403146944683,1
32,random-forest,[0.      0.02235 0.05215 0.07975 0.1165  0.2025  1.     ],[0.00201752 0.03923547 0.08579772 0.32386514 0.27825856 0.27082559],0.6197191845568919,0.3311976682159713,1
33,equal-width,"[0.         0.16666667 0.33333333 0.5        0.66666667 0.83333333
 1.        ]",[0.6541545  0.22129015 0.07974516 0.02612158 0.01353862 0.00514999],0.7985023472856212,0.2880446548108132,1
34,equal-width-data,[0.    0.173 0.336 0.498 0.661 0.823 1.   ],[0.67555084 0.19989381 0.07974516 0.02612158 0.01311388 0.00557473],0.8050075193431347,0.29157209189279365,1
35,equal-frequency,[0.    0.082 0.102 0.122 0.17  0.297 1.   ],[0.18635519 0.17504646 0.16251659 0.13023626 0.177648   0.1681975 ],0.6382328933575661,0.3427781270488611,1
36,kbins,"[0.         0.17341667 0.33593333 0.49845    0.66096667 0.82348333
 0.986     ]",[0.67555084 0.19989381 0.07974516 0.02612158 0.01311388 0.00552164],0.806432626565556,0.2956535675568144,1
37,kbins-quantile,[0.    0.082 0.102 0.122 0.17  0.297 0.986],[0.18635519 0.17504646 0.16251659 0.13023626 0.177648   0.16814441],0.6371682718750173,0.3472277895726563,1
38,decision-tree,[0.      0.04655 0.05005 0.05015 0.1615  0.1695  1.     ],[0.01937882 0.02187417 0.         0.61290151 0.         0.3458455 ],0.834492611527814,0.32348978394111183,1
39,kmeans,"[0.         0.0870054  0.14691393 0.24827639 0.36250517 0.57253583
 1.        ]",[0.18635519 0.41911335 0.17302894 0.12784709 0.06095036 0.03270507],0.5957442416859033,0.32679766669928123,1
