ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[-60 -20 -10  -5   0  10],"[1.42819220e-02 1.71860897e-01 5.43297053e-01 2.70188479e-01
 3.71648527e-04]",1.0,1.0,4
1,equal-width,[-60. -25.  10.],[0.00499071 0.99500929],0.5738461824206875,0.705928601490414,1
2,equal-width-data,[-60.    -18.592   2.   ],[0.01852933 0.98147067],0.6548402933024302,0.7935846283331172,1
3,equal-frequency,[-60.     -6.555   2.   ],[0.50055747 0.49944253],0.8109730178121373,0.7340709814169798,1
4,kbins,[-60.     -18.5915   1.585 ],[0.01852933 0.98141757],0.654878917489286,0.7973461849606576,1
5,kbins-quantile,[-60.     -6.555   1.585],[0.50055747 0.49938943],0.8110050117581622,0.7369804482720059,1
6,decision-tree,[-60.         -8.3045001   2.       ],[0.30082294 0.69917706],0.8369925945878544,0.7474081779009444,1
7,kmeans,[-60.         -12.93966643   2.        ],[0.07809928 0.92190072],0.7999077578636118,0.776095149465299,1
8,random-forest,[-60.         -10.64349985  -8.00975013   2.        ],[0.15487125 0.17801964 0.66710911],0.9734365679845713,0.8055384835456332,1
9,equal-width,[-60.         -36.66666667 -13.33333333  10.        ],[1.06185293e-04 6.90735333e-02 9.30820281e-01],0.7974052223489357,0.6893178308903848,1
10,equal-width-data,[-60.    -25.317 -11.866   2.   ],[0.00461906 0.10496416 0.89041678],0.8254206246194162,0.831417095307036,1
11,equal-frequency,[-60.     -8.045  -5.469   2.   ],[0.33289089 0.33602336 0.33108574],0.9671060559771698,0.7783523725488654,1
12,kbins,[-60.    -25.317 -11.866   1.585],[0.00461906 0.10496416 0.89036368],0.8254563713839606,0.8340670221304575,1
13,kbins-quantile,[-60.     -8.045  -5.469   1.585],[0.33289089 0.33602336 0.33103265],0.9671379719415527,0.7803611415421804,1
14,decision-tree,[-60.         -18.90950012  -8.3045001    2.        ],[0.01741439 0.28340855 0.69917706],0.9074031649645112,0.8448656952909406,1
15,kmeans,[-60.         -18.8183573   -9.98403875   2.        ],[0.01773294 0.17292275 0.80934431],0.8707759873917905,0.8462233639016725,1
16,random-forest,[-60.         -20.81099987 -12.71199989  -8.13149977   2.        ],[0.01237059 0.07125033 0.23658083 0.67979825],0.9783755665218147,0.8616022986368819,1
17,equal-width,[-60.  -42.5 -25.   -7.5  10. ],[0.         0.00499071 0.37807274 0.61693655],0.8554813799899614,0.6160655519787805,1
18,equal-width-data,[-60.    -28.68  -18.592  -8.503   2.   ],[0.00228298 0.01624635 0.26758694 0.71388373],0.9249266637602596,0.795708051658337,1
19,equal-frequency,[-60.     -9.044  -6.555  -4.908   2.   ],[0.2498009  0.25075657 0.24268649 0.25675604],0.9229462683293829,0.8074049997546746,1
20,kbins,[-60.      -28.67975 -18.5915   -8.50325   1.585  ],[0.00228298 0.01624635 0.26758694 0.71383063],0.9249605995464243,0.7962857015593875,1
21,kbins-quantile,[-60.     -9.044  -6.555  -4.908   1.585],[0.2498009  0.25075657 0.24268649 0.25670295],0.9229142857621802,0.8080132628729151,1
22,decision-tree,[-60.         -18.90950012  -8.3045001   -8.30350018   2.        ],[0.01741439 0.28340855 0.         0.69917706],0.9074031649645112,0.8632261752590915,1
23,kmeans,[-60.         -22.21522831 -12.53467362  -7.92377422   2.        ],[0.00907884 0.07985134 0.25404831 0.6570215 ],0.9789153523545285,0.8604362916159312,1
24,random-forest,"[-60.         -21.76599979 -17.88524961 -10.4375      -7.98325002
   2.        ]",[0.01040616 0.01120255 0.14372179 0.177648   0.6570215 ],0.9220354903823539,0.8129193982263596,1
25,equal-width,[-60. -46. -32. -18.  -4.  10.],"[0.00000000e+00 6.37111760e-04 2.02282984e-02 8.46933900e-01
 1.32200690e-01]",0.848608629074326,0.5401326414917191,1
26,equal-width-data,[-60.    -30.697 -22.627 -14.556  -6.486   2.   ],[0.00122113 0.00684895 0.03774887 0.46986992 0.48431112],0.9720081870855624,0.7277937016380324,1
27,equal-frequency,[-60.     -9.785  -7.401  -5.889  -4.575   2.   ],[0.20196443 0.19192992 0.21268914 0.19702681 0.1963897 ],0.8362324361729652,0.8240828293105069,1
28,kbins,[-60.     -30.6974 -22.6268 -14.5562  -6.4856   1.585 ],[0.00122113 0.00684895 0.03774887 0.46986992 0.48425803],0.9719762158885773,0.7258326970051926,1
29,kbins-quantile,[-60.     -9.785  -7.401  -5.889  -4.575   1.585],[0.20196443 0.19192992 0.21268914 0.19702681 0.19633661],0.8361980034860685,0.8210643816811626,1
30,decision-tree,"[-60.         -18.90950012  -8.3045001   -8.30350018  -6.48099995
   2.        ]",[0.01741439 0.28340855 0.         0.21486594 0.48431112],0.9627990045305537,0.862079468920187,1
31,kmeans,"[-60.         -23.32461272 -13.94666973  -9.69128241  -6.65688272
   2.        ]",[0.00695514 0.04905761 0.1523759  0.27825856 0.5133528 ],0.8643260032326143,0.8429079757537787,1
