ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[      0   90000  180000  300000  600000 1800000],[0.00499071 0.21205203 0.71473321 0.06705601 0.00116804],1.0,1.0,4
1,equal-width,[      0.  900000. 1800000.],[9.99787629e-01 2.12370587e-04],0.7145674287243811,0.46935873817449014,1
2,equal-width-data,[      0.  905673. 1799346.],[9.99787629e-01 2.12370587e-04],0.7144569108644003,0.46908840834495125,1
3,equal-frequency,[      0.  211306. 1799346.],[0.49992036 0.50007964],0.9101247755547742,0.4944456492429192,1
4,kbins,[      0.  905673. 1799346.],[9.99787629e-01 2.12370587e-04],0.7144569108644003,0.46908840834495125,1
5,kbins-quantile,[      0.  211306. 1799346.],[0.49992036 0.50007964],0.9101247755547742,0.4944456492429192,1
6,decision-tree,[      0.  114349. 1799346.],[0.01507831 0.98492169],0.755285223755636,0.4950101796874864,1
7,kmeans,[      0.          193271.23424069 1799346.        ],[0.3263605 0.6736395],0.8687789612361061,0.49460748929486087,1
8,random-forest,[      0.   102480.   114701.5 1799346. ],[0.00923812 0.00626493 0.98449695],0.7653288914852359,0.513773968010889,1
9,equal-width,[      0.  600000. 1200000. 1800000.],[9.98831962e-01 1.00876029e-03 1.59277940e-04],0.7202009357097967,0.4625510029953974,1
10,equal-width-data,[      0.  607782. 1203564. 1799346.],[9.98831962e-01 1.00876029e-03 1.59277940e-04],0.7202024432026107,0.4620506582330871,1
11,equal-frequency,[      0.  194000.  230373. 1799346.],[0.33320945 0.33342182 0.33336873],0.9630470368241718,0.5134029967882047,1
12,kbins,[      0.  607782. 1203564. 1799346.],[9.98831962e-01 1.00876029e-03 1.59277940e-04],0.7202024432026107,0.4620506582330871,1
13,kbins-quantile,[      0.  194000.  230373. 1799346.],[0.33320945 0.33342182 0.33336873],0.9630470368241718,0.5134029967882047,1
14,decision-tree,[      0.   114349.   172926.5 1799346. ],[0.01507831 0.15508362 0.82983807],0.8581693710203284,0.5139308801867339,1
15,kmeans,[      0.          175544.24842371  239796.41255656 1799346.        ],[0.18826653 0.54388107 0.2678524 ],0.9547790377002616,0.5135051192035669,1
16,random-forest,"[      0.           93021.5         151284.66666667  177706.5
 1799346.        ]",[0.0057871  0.06721529 0.12928059 0.79771702],0.8772507127853966,0.5645374799836027,1
17,equal-width,[      0.  450000.  900000. 1350000. 1800000.],[9.94531457e-01 5.25617202e-03 1.06185293e-04 1.06185293e-04],0.8516801526836132,0.49032724041467823,1
18,equal-width-data,[      0.   458836.5  905673.  1352509.5 1799346. ],[9.95168569e-01 4.61906026e-03 1.06185293e-04 1.06185293e-04],0.8471995136412163,0.48960061011173117,1
19,equal-frequency,[      0.   184339.5  211306.   242844.  1799346. ],[0.25001327 0.24990709 0.25006637 0.25001327],0.8730939391181284,0.564660067820548,1
20,kbins,[      0.   458836.5  905673.  1352509.5 1799346. ],[9.95168569e-01 4.61906026e-03 1.06185293e-04 1.06185293e-04],0.8471995136412163,0.48960061011173117,1
21,kbins-quantile,[      0.   184339.5  211306.   242844.  1799346. ],[0.25001327 0.24990709 0.25006637 0.25001327],0.8730939391181284,0.564660067820548,1
22,decision-tree,[      0.   114349.   172926.5  328333.  1799346. ],[0.01507831 0.15508362 0.79235466 0.03748341],0.9819372590564329,0.565203292038845,1
23,kmeans,"[      0.          159704.86169371  214525.06672942  281635.64326722
 1799346.        ]",[0.1018317  0.43169631 0.3645872  0.10188479],0.8464685155357274,0.5649737622671241,1
24,random-forest,[      0.    91733.   155051.5  176025.   313793.  1799346. ],[0.00525617 0.07847093 0.10751261 0.75880011 0.04996018],0.9763034697881713,0.9371098237404479,1
25,equal-width,[      0.  360000.  720000. 1080000. 1440000. 1800000.],"[9.78603663e-01 2.07061322e-02 5.30926467e-04 1.06185293e-04
 5.30926467e-05]",0.8774851267709574,0.7396067488490943,1
26,equal-width-data,[      0.   369469.2  726938.4 1084407.6 1441876.8 1799346. ],"[9.80939740e-01 1.83700557e-02 5.30926467e-04 1.06185293e-04
 5.30926467e-05]",0.8752706833509003,0.7378444194138212,1
27,equal-frequency,[      0.   177337.   200796.6  221511.6  253165.  1799346. ],[0.2        0.2        0.2        0.19994691 0.20005309],0.8032779225964266,0.9262850769407633,1
28,kbins,[      0.   369469.2  726938.4 1084407.6 1441876.8 1799346. ],"[9.80939740e-01 1.83700557e-02 5.30926467e-04 1.06185293e-04
 5.30926467e-05]",0.8752706833509003,0.7378444194138212,1
29,kbins-quantile,[      0.   177337.   200796.6  221511.6  253165.  1799346. ],[0.2        0.2        0.2        0.19994691 0.20005309],0.8032779225964266,0.9262850769407633,1
30,decision-tree,[      0.   114349.   172926.5  218875.5  328333.  1799346. ],[0.01507831 0.15508362 0.40854792 0.38380674 0.03748341],0.8270208788175721,0.9427882521963648,1
31,kmeans,"[      0.          159046.6835597   212576.3089784   272952.93217391
  390536.53620955 1799346.        ]",[0.0996549  0.41507831 0.36071144 0.11091054 0.01364481],0.7511301217830662,0.9548624961928998,1
32,random-forest,[      0.    55880.5  121694.5  175649.5  217991.9  277771.  1799346. ],[0.00058402 0.02070613 0.16740111 0.38115211 0.31807805 0.11207858],0.7966568344459225,0.5192748663654116,1
33,equal-width,[      0.  300000.  600000.  900000. 1200000. 1500000. 1800000.],"[9.31775949e-01 6.70560127e-02 9.55667640e-04 5.30926467e-05
 1.06185293e-04 5.30926467e-05]",0.8721624095221016,0.5846555473952869,1
