ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[0.   0.05 0.1  0.2  0.35 0.6  1.  ],[0.37499336 0.31791877 0.14998673 0.11393682 0.04061587 0.00254845],1.0,1.0,4
1,equal-width,[0.  0.5 1. ],[0.99447836 0.00552164],0.12157214127047133,0.20372465529313455,2
2,equal-width-data,[0.   0.47 1.  ],[0.99139899 0.00860101],0.15274063603428567,0.20783443001118085,1
3,equal-frequency,[0.     0.0555 1.    ],[0.49514202 0.50485798],0.3581944961828547,0.23618544607984016,1
4,kbins,[0.     0.4705 0.941 ],[0.99235466 0.00764534],0.15274063603428567,0.2241525163651269,1
5,kbins-quantile,[0.     0.0555 0.941 ],[0.49514202 0.50485798],0.3581944961828547,0.25319307220682896,1
6,decision-tree,[0.      0.09515 1.     ],[0.69291213 0.30708787],0.43523425403198357,0.23585670054216923,1
7,kmeans,[0.         0.06163419 1.        ],[0.56925936 0.43074064],0.39024919478351006,0.23616823742202997,1
8,random-forest,[0.      0.02795 0.09495 1.     ],[0.00376958 0.68914255 0.30708787],0.8567490938243914,0.2712971279406583,1
9,equal-width,[0.         0.33333333 0.66666667 1.        ],[0.95046456 0.04757101 0.00196443],0.26935104833046575,0.20547164147996666,2
10,equal-width-data,[0.    0.314 0.627 1.   ],[0.93713831 0.06052562 0.00233608],0.3039856557274585,0.21401153963768338,1
11,equal-frequency,[0.     0.0427 0.0857 1.    ],[0.37499336 0.28834616 0.33666047],0.5999468733933389,0.27134070787570086,1
12,kbins,[0.         0.31366667 0.62733333 0.941     ],[0.93713831 0.06052562 0.00233608],0.3039856557274585,0.22858500049657093,1
13,kbins-quantile,[0.     0.0427 0.0857 0.941 ],[0.37499336 0.28834616 0.33666047],0.5999468733933389,0.28711593111914335,1
14,decision-tree,[0.      0.02795 0.09515 1.     ],[0.00376958 0.68914255 0.30708787],0.8567490938243914,0.27129746775426933,1
15,kmeans,[0.         0.05289359 0.19289067 1.        ],[0.49514202 0.34775684 0.15710114],0.6883441100753371,0.2699039873666693,1
16,random-forest,[0.      0.02535 0.04775 0.09625 1.     ],[0.00376958 0.37122379 0.31791877 0.30708787],0.9945189290098534,0.3296521884997,1
17,equal-width,[0.   0.25 0.5  0.75 1.  ],[0.88908946 0.1053889  0.00424741 0.00127422],0.487009752271502,0.24400767038327975,3
18,equal-width-data,[0.    0.235 0.47  0.706 1.   ],[0.88032917 0.11106982 0.00684895 0.00175206],0.5282121197411229,0.25657508443376376,1
19,equal-frequency,[0.     0.0378 0.0555 0.119  1.    ],[0.19129281 0.30384922 0.24470401 0.26015397],0.791494961291481,0.3306625484846356,1
20,kbins,[0.      0.23525 0.4705  0.70575 0.941  ],[0.88032917 0.11202548 0.00589328 0.00175206],0.5282121197411229,0.2689599489279466,1
21,kbins-quantile,[0.     0.0378 0.0555 0.119  0.941 ],[0.19129281 0.30384922 0.24470401 0.26015397],0.791494961291481,0.3444856361342997,1
22,decision-tree,[0.         0.02795    0.09515    0.73700002 1.        ],[0.00376958 0.68914255 0.30565437 0.0014335 ],0.8721940086750031,0.28021292374852247,1
23,kmeans,[0.         0.04725923 0.13524417 0.27270526 1.        ],[0.37499336 0.40244226 0.13310327 0.08946111],0.8821799481939713,0.33106519567837833,1
24,random-forest,[0.         0.02515    0.04485    0.09335    0.19549999 1.        ],[0.00376958 0.37122379 0.31791877 0.14998673 0.15710114],0.7736540668487488,0.452396261452396,1
