ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[  0  60  90 120 150 250],[0.00079639 0.12683833 0.35354393 0.3508893  0.16793204],1.0,1.0,4
1,equal-width,[  0. 125. 250.],[0.5660738 0.4339262],0.8110899386910037,0.8433647423766304,2
2,equal-width-data,[  0.    121.159 243.   ],[0.52089196 0.47910804],0.8064032782451218,0.8449947740728874,1
3,equal-frequency,[  0.    120.013 243.   ],[0.51181311 0.48818689],0.8057408099864637,0.8450798412958787,1
4,kbins,[  0.    121.159 242.318],[0.52089196 0.47910804],0.8077587434405666,0.845122350876674,1
5,kbins-quantile,[  0.    120.013 242.318],[0.51181311 0.48818689],0.8071183519691636,0.8452074882103044,1
6,decision-tree,[  0.          88.15800095 243.        ],[0.12014866 0.87985134],0.7100624579152565,0.8468105766825291,1
7,kmeans,[  0.         100.08956572 243.        ],[0.28701885 0.71298115],0.7626534799647369,0.8463067922117611,1
8,random-forest,[  0.          75.00349808  88.30700111 243.        ],[0.02739581 0.09275285 0.87985134],0.7386178824666783,0.8619647430069022,1
9,equal-width,[  0.          83.33333333 166.66666667 250.        ],[0.08754977 0.82983807 0.08261216],0.8629411974946471,0.8565914529440587,1
10,equal-width-data,[  0.     80.773 161.545 243.   ],[0.06440138 0.83525352 0.1003451 ],0.8615984908296189,0.8583518120472289,1
11,equal-frequency,[  0.    104.854 130.03  243.   ],[0.32991771 0.34419963 0.32588267],0.9187434570187147,0.859655225417139,1
12,kbins,[  0.          80.77266667 161.54533333 242.318     ],[0.06440138 0.83525352 0.1003451 ],0.861115442219143,0.8584639594877478,1
13,kbins-quantile,[  0.    104.854 130.03  242.318],[0.32991771 0.34419963 0.32588267],0.9196456902101874,0.8597684381464457,1
14,decision-tree,[  0.          88.15800095 105.39500046 243.        ],[0.12014866 0.22686488 0.65298646],0.8311468409711191,0.8614143511752699,1
15,kmeans,[  0.          93.13154603 127.52652105 243.        ],[0.17626759 0.43886382 0.3848686 ],0.8976978208641168,0.8604069263847189,1
16,random-forest,[  0.          73.42850113  88.15800095 100.28549957 243.        ],[0.01635254 0.10379612 0.16687019 0.71298115],0.8380305960944772,0.8833081375798537,1
17,equal-width,[  0.   62.5 125.  187.5 250. ],[0.00238917 0.56368463 0.41773294 0.01619326],0.9469062481360031,0.878083505255945,1
18,equal-width-data,[  0.     60.58  121.159 181.739 243.   ],[0.00132732 0.51956464 0.4548978  0.02421025],0.942928240306496,0.8799316736668661,1
19,equal-frequency,[  0.     98.368 120.013 139.931 243.   ],[0.25043801 0.2613751  0.23334218 0.2548447 ],0.9956188143043965,0.8815337411131426,1
