ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt,multi_attribute
0,gold-standard,[ 0  3  8 15 25 30],[0.03098228 0.29085727 0.40124623 0.2392308  0.03768342],1.0,1.0,4,1
1,equal-width,[ 0. 15. 30.],[0.72379776 0.27620224],0.8287079373981889,0.7606575167405744,2,1
2,equal-width-data,[ 0.    14.983 30.   ],[0.72379776 0.27620224],0.8298672762859828,0.7606780354004173,1,1
3,equal-frequency,[ 0.   10.65 30.  ],[0.49974595 0.50025405],0.8329417511070399,0.7649984802227229,1,1
4,kbins,[ 0.         14.98333333 29.95      ],[0.72379776 0.27620224],0.8298672762859828,0.7607882558999417,1,1
5,kbins-quantile,[ 0.   10.65 29.95],[0.49974595 0.50025405],0.8329417511070399,0.7651111377106652,1,1
6,decision-tree,[ 0.          7.49166656 30.        ],[0.28740967 0.71259033],0.7834014495649677,0.7669722249315667,1,1
7,kmeans,[ 0.          7.94613256 30.        ],[0.32183955 0.67816045],0.7928620482173908,0.7667506320824743,1,1
8,random-forest,[ 0.         7.4749999  7.5       30.       ],[0.28740967 0.         0.71259033],0.7916372186991392,0.7934932212861592,1,1
9,equal-width,[ 0. 10. 20. 30.],[0.45673434 0.4248207  0.11844496],0.947667058461653,0.7836533036542563,2,1
10,equal-width-data,[ 0.     9.994 19.972 30.   ],[0.45673434 0.4248207  0.11844496],0.9482164128737904,0.7836953511520444,1,1
11,equal-frequency,[ 0.     8.117 13.683 30.   ],[0.33557162 0.32918653 0.33524184],0.951600598902262,0.7912767905884325,1,1
12,kbins,[ 0.          9.99444444 19.97222222 29.95      ],[0.45673434 0.4248207  0.11844496],0.9482164128737904,0.7837781115695629,1,1
13,kbins-quantile,[ 0.          8.11666667 13.68333333 29.95      ],[0.33557162 0.32918653 0.33524184],0.951600598902262,0.7913632026219672,1,1
14,decision-tree,[ 0.          7.49166656 11.92500019 30.        ],[0.28740967 0.2897825  0.42280783],0.9327584307266968,0.7926024563440226,1,1
15,kmeans,[ 0.          6.31849453 13.18083268 30.        ],[0.21366983 0.42653539 0.35979477],0.9349173200004044,0.7924705075532864,1,1
16,random-forest,[ 0.          7.4749999   7.54166675 11.95833302 30.        ],[0.28740967 0.00801423 0.28176827 0.42280783],0.9392675335623883,0.8483651679511592,1,1
17,equal-width,[ 0.   7.5 15.  22.5 30. ],[0.28740967 0.43638809 0.20555076 0.07065148],0.9851042419741116,0.8409213503104922,1,1
18,equal-width-data,[ 0.     7.5   14.983 22.467 30.   ],[0.28740967 0.43638809 0.20555076 0.07065148],0.983194367617823,0.8409767552182019,1,1
19,equal-frequency,[ 0.     6.9   10.65  15.617 30.   ],[0.24743128 0.25231467 0.25149691 0.24875714],0.964006252376668,0.8489121935970756,1,1
20,kbins,[ 0.          7.5        14.98333333 22.46666667 29.95      ],[0.28740967 0.43638809 0.20555076 0.07065148],0.983194367617823,0.8410144657883607,1,0
21,kbins-quantile,[ 0.          6.9        10.65       15.61666667 29.95      ],[0.24743128 0.25231467 0.25149691 0.24875714],0.964006252376668,0.8489518923896621,1,0
22,decision-tree,[ 0.          7.49166656 11.92500019 17.375      30.        ],[0.28740967 0.2897825  0.23384498 0.18896284],0.954614030079316,0.8474359617685242,1,0
23,kmeans,[ 0.          5.28785799 10.4071476  16.23639812 30.        ],[0.14272869 0.34562808 0.28596418 0.22567905],0.9729046558891092,0.8497159863635737,1,0
24,random-forest,[ 0.          7.4749999  11.9416666  12.04166698 17.3083334  30.        ],[0.28740967 0.2897825  0.00463857 0.22920641 0.18896284],0.9465251327373612,0.9500732467135876,1,0
25,equal-width,[ 0.  6. 12. 18. 24. 30.],[0.1861593  0.39103287 0.25269308 0.12081826 0.04929648],0.9211121540842532,0.97096325773642,1,0
26,equal-width-data,[ 0.     6.003 11.99  17.977 23.963 30.   ],[0.19378033 0.38341184 0.25269308 0.12081826 0.04929648],0.9194344330636522,0.9710147369813934,1,0
27,equal-frequency,[ 0.     6.15   9.1   12.367 17.    30.   ],[0.19926625 0.19733833 0.20259588 0.19933405 0.20146549],0.8985285439744044,0.9555375536103952,1,0
28,kbins,[ 0.          6.00333333 11.99       17.97666667 23.96333333 29.95      ],[0.19378033 0.38341184 0.25269308 0.12081826 0.04929648],0.9194344330636522,0.9710139780633926,1,0
29,kbins-quantile,[ 0.          6.15        9.1        12.36666667 17.         29.95      ],[0.19926625 0.19733833 0.20259588 0.19933405 0.20146549],0.8985285439744044,0.955536400837703,1,0
30,decision-tree,[ 0.          7.49166656 11.92500019 17.375      23.10833359 30.        ],[0.28740967 0.2897825  0.23384498 0.12889296 0.06006988],0.9020261243912684,0.9671487782430152,1,0
31,kmeans,[ 0.          4.69030618  8.80639133 13.11784889 18.21762865 30.        ],[0.10661205 0.27760478 0.2559884  0.19829631 0.16149846],0.9029719768078256,0.964251450265743,1,0
32,random-forest,"[ 0.          7.4749999  11.9416666  17.27499962 17.39166641 23.14166641
 30.        ]",[0.28740967 0.2897825  0.23116024 0.00268474 0.12889296 0.06006988],0.8967058980241795,0.8412881262979617,1,0
33,equal-width,[ 0.  5. 10. 15. 20. 25. 30.],[0.12376782 0.33296652 0.26706342 0.15775728 0.08094139 0.03750356],0.8750544165758614,0.8480864117403062,2,1
34,equal-width-data,[ 0.     5.006  9.994 14.983 19.972 24.961 30.   ],[0.13065427 0.32608007 0.26706342 0.15775728 0.08094139 0.03750356],0.8731301183937739,0.8480330875366433,1,0
35,equal-frequency,[ 0.     5.633  8.117 10.65  13.683 18.083 30.   ],[0.16678618 0.16878545 0.16417433 0.16501221 0.16755839 0.16768346],0.8455284479441715,0.8302648149773293,1,0
36,kbins,"[ 0.          5.00555556  9.99444444 14.98333333 19.97222222 24.96111111
 29.95      ]",[0.13065427 0.32608007 0.26706342 0.15775728 0.08094139 0.03750356],0.8731301183937739,0.8482711204395104,1,0
