ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt,multi_attribute
0,gold-standard,[ 0.   0.5  1.5  3.   5.  10. ],[0.03458477 0.44674415 0.38158391 0.12870387 0.0083833 ],1.0,1.0,4,1
1,equal-width,[ 0.  5. 10.],[0.9916167 0.0083833],0.5508705727008336,0.6021187216956339,2,1
2,equal-width-data,[0.   2.62 6.  ],[0.82061225 0.17938775],0.7942224600959367,0.6669046206689966,1,1
3,equal-frequency,[0.  1.5 6. ],[0.48132892 0.51867108],0.8122985165485681,0.6705911932845163,1,1
4,kbins,[0.   2.62 5.23],[0.82061225 0.17938775],0.7942224600959367,0.6736209409236806,1,1
5,kbins-quantile,[0.   1.5  5.23],[0.48132892 0.51867108],0.8122985165485681,0.6773842526881284,2,1
6,decision-tree,[0.         1.15499997 6.        ],[0.3435855 0.6564145],0.7661052810320776,0.6711974974954253,1,1
7,kmeans,[0.         1.21185066 6.        ],[0.39155825 0.60844175],0.7816007809726552,0.6711149172860691,1,1
8,random-forest,[0.         1.14499998 1.14999998 6.        ],[0.3435855 0.        0.6564145],0.7661052810320776,0.6933501670836264,1,1
9,equal-width,[ 0.          3.33333333  6.66666667 10.        ],[0.90654708 0.09345292 0.        ],0.7209706520153656,0.6180524343667096,1,1
10,equal-width-data,[0.   1.75 3.49 6.  ],[0.59510359 0.32030898 0.08458743],0.9480540453211908,0.6877217896689971,1,1
11,equal-frequency,[0.   1.13 1.97 6.  ],[0.3435855  0.31889815 0.33751634],0.9608850122228126,0.6932598357530577,1,1
12,kbins,[0.   1.75 3.49 5.23],[0.59510359 0.32030898 0.08458743],0.9480540453211908,0.6922614966298231,1,1
13,kbins-quantile,[0.   1.13 1.97 5.23],[0.3435855  0.31889815 0.33751634],0.9608850122228126,0.6978827476438603,1,1
14,decision-tree,[0.         1.15499997 2.005      6.        ],[0.3435855  0.34771254 0.30870195],0.9679707187496216,0.693184366449236,1,1
15,kmeans,[0.         0.97385283 2.1156404  6.        ],[0.24338778 0.47431929 0.28229293],0.9586332284430096,0.6932760716577531,1,1
16,random-forest,[0.         1.14499998 1.15499997 1.94500005 6.        ],[0.3435855  0.         0.31889815 0.33751634],0.9608850122228126,0.7321480541058492,1,1
17,equal-width,[ 0.   2.5  5.   7.5 10. ],[0.78325222 0.20836448 0.0083833  0.        ],0.8087851401920585,0.6640260040582984,2,1
18,equal-width-data,[0.    1.315 2.62  3.925 6.   ],[0.43422505 0.3863872  0.12975214 0.04963561],0.946681451936341,0.7306827302719208,1,1
19,equal-frequency,[0.   0.97 1.5  2.3  6.  ],[0.24338778 0.23794114 0.26070625 0.25796483],0.9262103074244286,0.7333735992931911,1,1
20,kbins,[0.    1.315 2.62  3.925 5.23 ],[0.43422505 0.3863872  0.12975214 0.04963561],0.946681451936341,0.7319145148174292,1,0
21,kbins-quantile,[0.   0.97 1.5  2.3  5.23],[0.24338778 0.23794114 0.26070625 0.25796483],0.9262103074244286,0.7346178733492867,1,0
22,decision-tree,[0.         1.15499997 2.005      3.005      6.        ],[0.3435855  0.34771254 0.18478457 0.12391739],0.9128748023656988,0.7334087613856127,1,0
23,kmeans,[0.         0.83211495 1.65630024 2.68403482 6.        ],[0.19303912 0.36839473 0.2591784  0.17938775],0.923702512736104,0.7339986688463846,1,0
24,random-forest,[0.         1.14499998 1.15499997 2.005      3.005      6.        ],[0.3435855  0.         0.34771254 0.18478457 0.12391739],0.9128748023656988,0.8774000946708105,1,0
25,equal-width,[ 0.  2.  4.  6.  8. 10.],[0.66248366 0.28788073 0.04963561 0.         0.        ],0.9205326811956918,0.8639049472206354,2,1
26,equal-width-data,[0.    1.054 2.098 3.142 4.186 6.   ],[0.29029959 0.40099845 0.19600951 0.07360755 0.0390849 ],0.8694575574901442,0.8898878872589756,1,0
27,equal-frequency,[0.   0.87 1.28 1.76 2.53 6.  ],[0.19303912 0.19851913 0.20354534 0.20836945 0.19652696],0.8457211945055224,0.870959832338928,1,0
