temperature_ID,humidity_ID,ph_ID,rainfall_ID,temperature_bins,humidity_bins,ph_bins,rainfall_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,0,0,[ 0. 15. 20. 27. 35. 45.],[  0.  30.  50.  70.  85. 100.],[ 0.   5.5  6.5  7.5  8.5 10. ],[  0.  50. 100. 150. 200. 300.],0.1292045454545454,1.0,1.0,4.0,1,1
0,0,0,9,[ 0. 15. 20. 27. 35. 45.],[  0.  30.  50.  70.  85. 100.],[ 0.   5.5  6.5  7.5  8.5 10. ],[  0. 100. 200. 300.],0.1326136363636363,0.8812771834489295,0.9177114895911735,3.5,1,1
0,0,69,0,[ 0. 15. 20. 27. 35. 45.],[  0.  30.  50.  70.  85. 100.],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.  50. 100. 150. 200. 300.],0.1518181818181818,0.8579331832405824,0.9900813833650808,3.25,1,1
0,0,69,9,[ 0. 15. 20. 27. 35. 45.],[  0.  30.  50.  70.  85. 100.],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0. 100. 200. 300.],0.1559090909090909,0.7392103666895118,0.9077928729562544,2.75,1,1
0,1,0,0,[ 0. 15. 20. 27. 35. 45.],[  0.  50. 100.],[ 0.   5.5  6.5  7.5  8.5 10. ],[  0.  50. 100. 150. 200. 300.],0.1298863636363636,0.8806675232043288,0.8331798448639656,3.75,1,1
0,1,69,0,[ 0. 15. 20. 27. 35. 45.],[  0.  50. 100.],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.  50. 100. 150. 200. 300.],0.1530681818181818,0.7386007064449114,0.8232612282290462,3.0,1,1
8,0,69,0,[ 0.   26.83 27.   44.  ],[  0.  30.  50.  70.  85. 100.],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.  50. 100. 150. 200. 300.],0.1628409090909091,0.7412443517299814,0.9243995137563364,2.5,1,1
8,0,69,9,[ 0.   26.83 27.   44.  ],[  0.  30.  50.  70.  85. 100.],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0. 100. 200. 300.],0.1665909090909091,0.6225215351789108,0.8421110033475101,2.0,1,1
8,0,69,10,[ 0.   26.83 27.   44.  ],[  0.  30.  50.  70.  85. 100.],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.   112.99 205.78 299.  ],0.1676136363636363,0.6216762097247512,0.8407494766565782,1.75,1,1
8,1,69,0,[ 0.   26.83 27.   44.  ],[  0.  50. 100.],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.  50. 100. 150. 200. 300.],0.16375,0.6219118749343102,0.757579358620302,2.25,1,1
8,1,69,10,[ 0.   26.83 27.   44.  ],[  0.  50. 100.],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.   112.99 205.78 299.  ],0.1686363636363636,0.5023437329290802,0.6739293215205437,1.5,1,1
8,11,69,9,[ 0.   26.83 27.   44.  ],[  0.    65.44  84.97 100.  ],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0. 100. 200. 300.],0.1706818181818181,0.5142418368107546,0.7776471325427388,1.25,1,1
8,11,69,10,[ 0.   26.83 27.   44.  ],[  0.    65.44  84.97 100.  ],[0.   5.63 5.86 6.08 6.25 6.43 6.6  6.8  7.04 7.43 9.94],[  0.   112.99 205.78 299.  ],0.1717045454545454,0.5133965113565951,0.7762856058518068,1.0,1,1
