age_ID,educ_ID,age_bins,educ_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,[  0.  18.  35.  50.  65. 100.],[ 0. 11. 12. 15. 16.],1.135736694433886e-59,1.0,1.0,4.0,1,1
0,3,[  0.  18.  35.  50.  65. 100.],[ 3. 10. 16.],9.309330770868624e-19,0.7727964728417633,0.9473589652286714,2.5,1,1
0,9,[  0.  18.  35.  50.  65. 100.],[ 3. 10. 11. 16.],1.4380153299386462e-12,0.8348120032332148,0.9312134944288616,2.5,1,1
0,93,[  0.  18.  35.  50.  65. 100.],[ 3.    7.    8.    9.   10.   10.68 11.   12.   16.  ],0.4125472186956661,0.7240018868439928,0.663274545523416,2.5,1,1
1,0,[17. 36. 55.],[ 0. 11. 12. 15. 16.],4.372538925126713e-54,0.6458936976459875,0.9515939146203514,3.0,1,1
1,9,[17. 36. 55.],[ 3. 10. 11. 16.],4.770787745969009e-08,0.4807057008792023,0.8828074090492131,1.5,1,1
3,15,[17. 24. 55.],[ 3.  9. 10. 11. 16.],0.0599145207499501,0.5908148589347467,0.8089835760444437,1.5,1,1
6,0,[17.   22.51 55.  ],[ 0. 11. 12. 15. 16.],9.461988936679809e-57,0.6489377983620643,0.981777893007601,2.5,1,1
6,9,[17.   22.51 55.  ],[ 3. 10. 11. 16.],4.437434291812523e-09,0.4837498015952791,0.9129913874364626,1.0,1,1
6,21,[17.   22.51 55.  ],[ 3.  9. 10. 11. 12. 16.],0.0035795791805234,0.472715439948189,0.8229206525461933,1.0,1,1
7,33,[17.   29.67 42.33 55.  ],[ 3.    8.43  9.   10.   11.   12.   16.  ],0.309687973006669,0.4574974930752117,0.6734576065015393,1.0,1,1
7,34,[17.   29.67 42.33 55.  ],[ 3.    4.88  7.81  9.   10.   11.   12.   16.  ],0.613049066020609,0.4186753996359039,0.5499871552211282,1.0,1,1
7,44,[17.   29.67 42.33 55.  ],[ 3.    4.36  6.64  8.    9.   10.   11.   12.   13.   16.  ],0.8748168483866856,0.3631006442993553,0.5162947947793968,1.0,1,1
13,15,[17.  26.5 36.  45.5 55. ],[ 3.  9. 10. 11. 16.],0.1076896398664856,0.6698186294970847,0.7363780080261266,1.0,1,1
43,93,[17.   21.22 25.44 29.67 33.89 38.11 42.33 46.56 50.78 55.  ],[ 3.    7.    8.    9.   10.   10.68 11.   12.   16.  ],0.9147637992580284,0.3965818974856763,0.3711012696147712,1.0,1,1
107,88,[17.  17.5 29.5 34.5 47.  55. ],[ 3.    7.67  8.    9.   10.   11.   12.   16.  ],0.6486772973534386,0.6035149553386321,0.5273502955459511,1.0,1,1
