Age_ID,Glucose_ID,BMI_ID,Age_bins,Glucose_bins,BMI_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,0,[  0.  18.  35.  45.  65. 100.],[  0. 140. 200.],[ 0.  18.5 25.  30.  68. ],0.7019867549668874,1.0,1.0,4.0,1,1
0,0,25,[  0.  18.  35.  45.  65. 100.],[  0. 140. 200.],[ 0.   26.35 29.85 40.85 67.1 ],0.7880794701986755,0.975181559722048,0.8999918202476689,3.0,1,1
0,3,0,[  0.  18.  35.  45.  65. 100.],[  0. 116. 199.],[ 0.  18.5 25.  30.  68. ],0.7615894039735099,0.9880126514499168,0.9709913225872208,3.0,1,1
0,7,0,[  0.  18.  35.  45.  65. 100.],[  0.  127.5 199. ],[ 0.  18.5 25.  30.  68. ],0.7549668874172185,0.993742072120328,0.984536575964493,3.0,1,1
8,8,26,[ 0.   25.91 44.66],[  0.   103.07 157.93],[ 0.   25.27 33.55 43.08],0.8627450980392157,0.6989408431325314,0.9002861560306087,1.0,1,1
27,7,10,[ 0.  21.5 30.  38.5 48.  60. ],[  0.  127.5 199. ],[ 0.   22.67 45.33 68.  ],0.815068493150685,0.8011711960137612,0.7694298094707953,1.0,1,1
27,8,26,[ 0.  21.5 30.  38.5 48.  60. ],[  0.   103.07 157.93],[ 0.   25.27 33.55 43.08],0.853448275862069,0.7977767090986969,0.8305187338282845,1.0,1,1
31,0,21,[ 0. 24. 30. 42. 54. 60.],[  0. 140. 200.],[ 0.  27.4 32.3 36.7 67.1],0.7945205479452054,0.9268229672643472,0.821541788734515,2.333333333333333,1,1
31,8,26,[ 0. 24. 30. 42. 54. 60.],[  0.   103.07 157.93],[ 0.   25.27 33.55 43.08],0.8275862068965517,0.8001940463972773,0.8179511975145767,1.3333333333333333,1,1
34,4,35,[ 0.  24.5 28.5 42.5 54.5 60. ],[  0. 157. 199.],[ 0.   23.89 30.41 36.58 45.5 ],0.8071428571428572,0.8985271839669898,0.8578595877463137,1.0,1,1
44,8,0,[ 0.   22.31 26.8  32.09 39.08 46.41 55.67],[  0.   103.07 157.93],[ 0.  18.5 25.  30.  68. ],0.8099173553719008,0.8740214631345319,0.7785272475103652,2.0,1,1
44,65,71,[ 0.   22.31 26.8  32.09 39.08 46.41 55.67],[  0.    22.11  44.22  66.33  88.44 110.56 132.67 154.78 176.89 199.  ],[ 0.   21.04 24.9  28.86 32.33 35.38 39.07 44.3  54.01],0.8642857142857143,0.5287626365613017,0.5426179328504797,1.0,1,1
62,8,22,[ 0.   21.86 25.32 29.66 35.59 41.09 45.68 51.45 57.63],[  0.   103.07 157.93],[ 0.  26.3 32.8 32.9 67.1],0.8130081300813008,0.8189393203800148,0.7349988259798611,1.0,1,1
