Annual Income_ID,Annual Income_bins,utility,raw_utility,l2_norm,KLDiv,gpt_semantics
0,[0.0e+00 2.5e+05 1.0e+06 5.0e+06 2.0e+08],0.7999999999999999,-0.7999999999999999,1.0,1.0,4.0
1,[0.e+00 1.e+08 2.e+08],0.9999999999999999,0.9999999999999999,0.4630441314851787,0.8635878312703313,2.0
2,[0.00000000e+00 8.28170100e+07 1.65557393e+08],0.9999999999999999,0.9999999999999999,0.5122156772350185,0.8635073238474227,1.0
3,[0.00000000e+00 1.19870050e+06 1.65557393e+08],0.9999999999999999,-0.9999999999999999,0.535249179945323,0.964125496753978,1.0
6,[0.00000000e+00 1.27153700e+06 1.65557393e+08],0.9999999999999999,-0.9999999999999999,0.5352486830070171,0.9446884961816042,1.0
7,[0.00000000e+00 1.15652166e+06 1.65557393e+08],0.9999999999999999,-0.9999999999999999,0.5352494509181471,0.9730987527104566,1.0
8,[0.00000000e+00 1.13036700e+06 1.27693300e+06 1.65557393e+08],1.0,-1.0,0.5398621211015021,0.9249568932672776,1.0
9,[0.00000000e+00 6.66666667e+07 1.33333333e+08 2.00000000e+08],0.9999999999999999,0.9999999999999999,0.4328077582486573,0.8635878312703313,1.0
10,[0.00000000e+00 5.52368823e+07 1.65557393e+08],0.9999999999999999,0.9999999999999999,0.5248974245943945,0.8635073238474227,1.0
11,[0.00000000e+00 9.65611670e+05 1.48500200e+06 1.65557393e+08],1.0,-1.0,0.5398624862869202,0.8624936568615724,1.0
12,[0.00000000e+00 5.52368823e+07 1.10397138e+08 1.65557393e+08],0.9999999999999999,0.9999999999999999,0.4901204862782222,0.8635073238474227,1.0
14,[0.00000000e+00 9.45639500e+05 1.27153700e+06 1.65557393e+08],1.0,-1.0,0.539863149709452,0.917806078764734,1.0
15,[0.00000000e+00 1.14958152e+06 3.04930952e+06 1.65557393e+08],1.0,-1.0,0.5398475812809296,0.6756076233544936,1.0
16,"[0.00000000e+00 7.43242000e+05 9.52992500e+05 1.28640450e+06
 1.65557393e+08]",1.0,-1.0,0.937842599589214,0.9001475968567503,1.0
17,[0.0e+00 5.0e+07 1.0e+08 1.5e+08 2.0e+08],0.9999999999999999,0.9999999999999999,0.6726052927037698,0.8635878312703313,1.0
18,[0.00000000e+00 4.14468185e+07 1.65557393e+08],0.9999999999999999,0.9999999999999999,0.5294118642767106,0.8635073238474227,1.0
19,"[0.00000000e+00 8.61640500e+05 1.19870050e+06 1.67477400e+06
 1.65557393e+08]",1.0,-1.0,0.9379090624974248,0.7907150740101974,1.0
