educ_ID,educ_bins,utility,raw_utility,l2_norm,KLDiv,gpt_semantics
0,[ 0. 11. 12. 15. 16.],0.19999999999999998,-0.19999999999999998,1.0,1.0,4.0
1,[ 3.   9.5 16. ],0.9999999999999999,0.9999999999999999,0.5450331240417463,0.7843620658559579,1.0
3,[ 3. 10. 16.],0.9999999999999999,0.9999999999999999,0.5455929456835267,0.8947179304573428,1.0
6,[ 3.    8.07 16.  ],0.9999999999999999,0.9999999999999999,0.5422017779894144,0.686318279938408,1.0
7,[ 3.    7.33 11.67 16.  ],1.0,1.0,0.6625766375864872,0.5425490646861343,1.0
9,[ 3. 10. 11. 16.],1.0,1.0,0.6696240064664296,0.8624269888577233,1.0
12,[ 3.    5.64  9.3  16.  ],0.5,0.5,0.649286020206564,0.5122896265924026,1.0
13,[ 3.    6.25  9.5  12.75 16.  ],1.0,1.0,0.8678573074752128,0.4538672724556455,1.0
15,[ 3.  9. 10. 11. 16.],0.7999999999999999,0.7999999999999999,0.8840694075955086,0.6937327293287912,1.0
18,[ 3.    4.88  8.51 10.53 16.  ],0.39999999999999997,0.39999999999999997,0.8209619439820692,0.4223973782317464,1.0
19,[ 3.   5.6  8.2 10.8 13.4 16. ],0.7,0.7,0.6317326625282991,0.381735518166186,1.0
21,[ 3.  9. 10. 11. 12. 16.],0.8999999999999998,0.8999999999999998,0.6475552831722494,0.6822855190771846,1.0
24,[ 3.    4.88  8.51 10.   11.   16.  ],0.3,0.3,0.6145996054358458,0.4223973782317464,1.0
25,[ 3.    5.17  7.33  9.5  11.67 13.83 16.  ],0.6,0.6,0.5219230922930784,0.2999462824997247,1.0
29,[ 3.    4.88  7.81  9.   10.   11.   16.  ],0.3714285714285715,0.3714285714285715,0.5428894321149325,0.2930546009368393,1.0
30,[ 3.    4.86  6.71  8.57 10.43 12.29 14.14 16.  ],0.7142857142857144,0.7142857142857144,0.4458507393812191,0.26176004634265,1.0
33,[ 3.    8.43  9.   10.   11.   12.   16.  ],0.6571428571428573,0.6571428571428573,0.56034648006274,0.5077045618980416,1.0
34,[ 3.    4.88  7.81  9.   10.   11.   12.   16.  ],0.6071428571428572,0.6071428571428572,0.4827022931841243,0.2607636593372194,1.0
35,[ 3.    4.62  6.25  7.88  9.5  11.12 12.75 14.38 16.  ],0.6904761904761906,0.6904761904761906,0.3863247918395038,0.2212600086028624,1.0
38,[ 3.  8.  9. 10. 11. 12. 16.],0.6571428571428573,0.6571428571428573,0.559241927977206,0.5077045618980416,1.0
39,[ 3.    4.36  6.64  8.    9.   10.   11.   12.   16.  ],0.5476190476190477,0.5476190476190477,0.428933178312636,0.204558955571646,1.0
40,[ 3.    4.44  5.89  7.33  8.78 10.22 11.67 13.11 14.56 16.  ],0.5333333333333333,0.5333333333333333,0.3365938079523576,0.1766561616963988,1.0
44,[ 3.    4.36  6.64  8.    9.   10.   11.   12.   13.   16.  ],0.6833333333333333,0.6833333333333333,0.3715527825110272,0.1933789384537565,1.0
45,[ 3.   4.3  5.6  6.9  8.2  9.5 10.8 12.1 13.4 14.7 16. ],0.6606060606060605,0.6606060606060605,0.2933073159340293,0.1605446070598241,1.0
49,[ 3.    3.83  5.5   7.    8.    9.   10.   11.   12.   13.   16.  ],0.49090909090909085,0.49090909090909085,0.3301844293493996,0.1102433806043062,1.0
68,[ 3.    8.    8.43  9.   10.   11.   12.   16.  ],0.6571428571428573,0.6571428571428573,0.4959795698391027,0.5077045618980416,1.0
88,[ 3.    7.67  8.    9.   10.   11.   12.   16.  ],0.7500000000000002,0.7500000000000002,0.4938202546756366,0.326549091046832,1.0
93,[ 3.    7.    8.    9.   10.   10.68 11.   12.   16.  ],0.7500000000000002,0.7500000000000002,0.4480037736879857,0.326549091046832,1.0
98,[ 3.  7.  8.  9. 10. 11. 12. 16.],0.7500000000000002,0.7500000000000002,0.4918572727992205,0.326549091046832,1.0
100,[ 3.   7.5  8.5 12.5 14.5 16. ],0.7999999999999999,0.7999999999999999,0.6516232067679913,0.4745200267212337,1.0
