Glucose_ID,Glucose_bins,utility,raw_utility,l2_norm,KLDiv,gpt_semantics
0,[  0. 140. 200.],0.9999999999999999,0.9999999999999999,1.0,1.0,4.0
1,[  0. 100. 200.],0.9999999999999999,0.9999999999999999,0.9401152180246304,0.8421087945229173,2.0
2,[  0.   99.5 199. ],0.9999999999999999,0.9999999999999999,0.9393481781087744,0.8312204670767591,2.0
3,[  0. 116. 199.],0.9999999999999999,0.9999999999999999,0.96403795434975,0.9129739677616624,1.0
4,[  0. 157. 199.],0.9999999999999999,0.9999999999999999,0.974504972757554,0.9663328436541376,1.0
7,[  0.  127.5 199. ],0.9999999999999999,0.9999999999999999,0.9812262163609836,0.9536097278934788,1.0
8,[  0.   103.07 157.93],0.9999999999999999,0.9999999999999999,0.9161855593749104,0.8101590255830944,1.0
9,[  0.  111.5 130.  199. ],1.0,1.0,0.6813095220637283,0.8322383255836063,1.0
10,[  0.    66.67 133.33 200.  ],1.0,1.0,0.6658295614170355,0.4652010866928024,1.0
11,[  0.    66.33 132.67 199.  ],1.0,1.0,0.6667048727682783,0.4634580471267451,1.0
12,[  0.   104.67 129.   199.  ],1.0,1.0,0.6792863076207132,0.7842640371397867,1.0
13,[  0.  99. 157. 199.],1.0,1.0,0.6890781485466179,0.768538946638556,1.0
16,[  0.  127.5 154.5 199. ],1.0,1.0,0.6938125151182728,0.910666783256475,1.0
17,[  0.    91.4  125.82 170.68],1.0,1.0,0.7120387457907549,0.6656718412043372,1.0
18,[  0.   99.5 120.5 143.5 199. ],1.0,1.0,0.6091578804198386,0.7020134324625888,1.0
19,[  0.  50. 100. 150. 200.],0.7999999999999999,0.7999999999999999,0.5749656769401237,0.4258792008717265,3.0
20,[  0.    49.75  99.5  149.25 199.  ],0.7999999999999999,0.7999999999999999,0.576228219193021,0.4316348464995966,1.0
21,[  0.  99. 116. 139. 199.],1.0,1.0,0.6105790887204425,0.7025370528268267,1.0
22,[  0.  99. 127. 157. 199.],1.0,1.0,0.6003503928298183,0.7071870089066112,1.0
25,[  0.   99.5 127.5 154.5 199. ],1.0,1.0,0.6028602905091562,0.7067450770775355,1.0
26,[  0.    79.91 106.77 134.6  174.26],1.0,1.0,0.6308801660231218,0.4780805231987042,1.0
27,[  0.   22.  108.5 127.5 147.5 199. ],0.7,0.7,0.5267829132966053,0.613094670837877,1.0
28,[  0.  40.  80. 120. 160. 200.],0.7,0.7,0.5162658694349745,0.3504122852527294,2.0
29,[  0.   39.8  79.6 119.4 159.2 199. ],0.7,0.7,0.5178015217473184,0.3527576954638342,1.0
30,[  0.  95. 108. 124. 146. 199.],0.9999999999999999,0.9999999999999999,0.5589667742291118,0.6347347241813885,1.0
34,[  0.   99.5 127.5 152.5 154.5 199. ],0.7,0.7,0.5419107741142768,0.7012760535047459,1.0
35,[  0.     7.33  90.01 116.97 145.56 179.12],0.39999999999999997,0.39999999999999997,0.5345516292497791,0.6802182747392778,1.0
36,[  0.   22.  108.3 126.7 142.9 154.6 199. ],0.8285714285714287,0.8285714285714287,0.4764182081034035,0.5926654051342228,1.0
37,[  0.    33.33  66.67 100.   133.33 166.67 200.  ],0.6571428571428573,0.6571428571428573,0.4713003100651717,0.3333306876031916,1.0
38,[  0.    33.17  66.33  99.5  132.67 165.83 199.  ],0.6571428571428573,0.6571428571428573,0.473059592192821,0.3302218545982038,1.0
39,[  0.    92.   104.67 116.   129.   152.   199.  ],1.0,1.0,0.516742469075944,0.5763537732512902,1.0
40,[  0.  99. 127. 157. 165. 199.],0.9999999999999999,0.9999999999999999,0.5301691542768314,0.6940897979068081,1.0
43,[  0.   99.5 111.5 127.5 152.5 154.5 199. ],0.6571428571428573,0.6571428571428573,0.4979484871794991,0.6635250358130032,1.0
44,[  0.    82.91 103.64 123.41 147.5  179.69],0.9999999999999999,0.9999999999999999,0.5717611801803205,0.4812033458910638,1.0
45,[  0.    22.   103.33 116.83 132.   145.83 159.08 199.  ],0.7857142857142859,0.7857142857142859,0.4387931191746335,0.5444196382725361,1.0
46,[  0.    28.57  57.14  85.71 114.29 142.86 171.43 200.  ],0.642857142857143,0.642857142857143,0.4338025854776374,0.3692555603334351,1.0
47,[  0.    28.43  56.86  85.29 113.71 142.14 170.57 199.  ],0.642857142857143,0.642857142857143,0.4357573491534295,0.3536162725555465,1.0
48,[  0.    90.   100.43 111.   122.   135.57 157.   199.  ],1.0,1.0,0.4765455140155784,0.5303332592518428,1.0
49,[  0.  99. 127. 157. 164. 165. 199.],0.6571428571428573,0.6571428571428573,0.4698822499202074,0.6921962806751508,1.0
52,[  0.   99.5 111.5 126.5 127.5 152.5 154.5 199. ],0.5,0.5,0.4634157701503372,0.6558777901459392,1.0
53,[  0.    77.57  95.63 111.64 129.67 153.09 182.04],1.0,1.0,0.5250449597880836,0.3847870277960533,1.0
54,[  0.    22.    99.21 112.21 126.79 136.93 150.79 163.64 199.  ],0.8571428571428572,0.8571428571428572,0.4000039172322627,0.5018487571907279,1.0
55,[  0.  25.  50.  75. 100. 125. 150. 175. 200.],0.7545045450053531,0.7545045450053531,0.4009650695341119,0.380494619151253,2.0
56,[  0.    24.88  49.75  74.62  99.5  124.38 149.25 174.12 199.  ],0.7545045450053531,0.7545045450053531,0.4030956241089032,0.4016186885156336,1.0
57,[  0.  88.  99. 107. 116. 126. 139. 162. 199.],1.0,1.0,0.4421305860080188,0.4837900111715828,1.0
58,[  0.  99. 127. 156. 157. 164. 165. 199.],0.5,0.5,0.4207153247954899,0.6890132748906734,1.0
61,[  0.   22.   99.5 111.5 126.5 127.5 152.5 154.5 199. ],0.28571428571428575,0.28571428571428575,0.4097426990106413,0.5313909572855615,1.0
62,[  0.    77.57  94.61 108.38 123.53 140.3  159.44 184.05],1.0,1.0,0.4792484503144182,0.3620622646901527,1.0
