passenger_count_ID,trip_distance_ID,duration_ID,passenger_count_bins,trip_distance_bins,duration_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,0,[0. 1. 2. 6.],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.  3.  8. 15. 25. 30.],0.2738808840043119,1.0,1.0,4.0,1,1
0,0,26,[0. 1. 2. 6.],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.    6.   11.99 17.98 23.96 30.  ],0.2741391544364889,0.9903382456604644,0.9731448110212174,3.0,1,1
0,0,30,[0. 1. 2. 6.],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.    7.49 11.93 17.38 23.11 30.  ],0.2743082056081918,0.9890495927476718,0.967342041463756,3.0,1,1
12,0,0,[0.  1.5 2.5 5. ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.  3.  8. 15. 25. 30.],0.3235415392176236,0.966886691073374,1.0,3.0,1,1
12,0,26,[0.  1.5 2.5 5. ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.    6.   11.99 17.98 23.96 30.  ],0.3237998096498006,0.9572249367338383,0.9731448110212174,2.0,1,1
12,0,30,[0.  1.5 2.5 5. ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.    7.49 11.93 17.38 23.11 30.  ],0.3239688608215035,0.9559362838210456,0.967342041463756,2.0,1,1
12,31,0,[0.  1.5 2.5 5. ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.  3.  8. 15. 25. 30.],0.3339497824146549,0.927185054787188,0.9469822338972248,2.0,1,1
12,31,1,[0.  1.5 2.5 5. ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0. 15. 30.],0.3351053729952783,0.8474042270340462,0.8898848796966211,1.3333333333333333,1,1
12,31,4,[0.  1.5 2.5 5. ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.   14.98 29.95],0.3351033219777961,0.8474478067538351,0.8902713259925523,1.0,1,1
12,31,5,[0.  1.5 2.5 5. ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.   10.65 29.95],0.3347284985329308,0.8488887673574097,0.8912961509329048,1.0,1,1
12,31,9,[0.  1.5 2.5 5. ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0. 10. 20. 30.],0.33466203767798,0.8550694893386067,0.929537920051109,1.3333333333333333,1,1
12,31,12,[0.  1.5 2.5 5. ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    9.99 19.97 29.95],0.3346603416442928,0.8551110919770423,0.9297210381884884,1.0,1,1
12,31,13,[0.  1.5 2.5 5. ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    8.12 13.68 29.95],0.3344501912376589,0.857639455661177,0.9308491001979788,1.0,1,1
12,31,20,[0.  1.5 2.5 5. ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    7.5  14.98 22.47 29.95],0.3343794311345243,0.8741898767166415,0.9413803564364992,1.0,1,1
12,31,26,[0.  1.5 2.5 5. ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    6.   11.99 17.98 23.96 30.  ],0.334208052846832,0.9175233004476524,0.9201270449184422,1.0,1,1
