Age_ID,Fare_ID,SibSp_ID,Age_bins,Fare_bins,SibSp_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,0,[  0.  18.  35.  50.  65. 100.],[  0.  10.  20.  30.  40.  50. 100. 600.],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.1657329598506069,1.0,1.0,4.0,1,1
0,45,0,[  0.  18.  35.  50.  65. 100.],[  0.     2.01  10.82  15.46  25.07  37.5   59.45 513.  ],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.2091503267973856,0.979524326322028,0.9173616343685048,3.0,1,1
0,48,0,[  0.  18.  35.  50.  65. 100.],[  0.     7.8    8.66  13.    21.08  30.    65.   513.  ],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.2096171802054155,0.9795011517450656,0.9259811559317772,3.0,1,1
0,60,0,[  0.  18.  35.  50.  65. 100.],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.2516339869281045,0.848366945812986,0.9416154345434996,3.0,1,1
0,74,5,[  0.  18.  35.  50.  65. 100.],[  0.    51.23 102.47 153.7  204.93 256.17 307.4  513.  ],[0. 5.],0.288515406162465,0.7379307243925585,0.8405228159057426,2.0,1,1
0,83,5,[  0.  18.  35.  50.  65. 100.],[  0.    46.58  93.15 139.73 186.3  232.88 279.45 513.  ],[0. 5.],0.2866479925303454,0.7467402302859673,0.8779978991740333,2.0,1,1
1,0,5,[  0.  50. 100.],[  0.  10.  20.  30.  40.  50. 100. 600.],[0. 5.],0.3440709617180205,0.6411921834973925,0.7090929769306739,2.333333333333333,1,1
1,5,5,[  0.  50. 100.],[  0.   256.16 512.33],[0. 5.],0.3711484593837535,0.4721899009080355,0.5945792885776064,1.3333333333333333,1,1
1,46,5,[  0.  50. 100.],[  0.    85.71 171.43 257.14 342.86 428.57 514.29 600.  ],[0. 5.],0.3674136321195145,0.4979684006181293,0.70060827649945,1.3333333333333333,1,1
1,48,0,[  0.  50. 100.],[  0.     7.8    8.66  13.    21.08  30.    65.   513.  ],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.2815126050420168,0.8048510215502755,0.7428415040728664,2.333333333333333,1,1
1,52,5,[  0.  50. 100.],[  0.    10.48  27.82  38.75  39.64  48.3   52.28 513.  ],[0. 5.],0.3450046685340802,0.6206800292383947,0.5669564125682248,1.3333333333333333,1,1
1,60,0,[  0.  50. 100.],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.3235294117647059,0.673716815618196,0.7584757826845889,2.333333333333333,1,1
