Age_ID,Fare_ID,SibSp_ID,Age_bins,Fare_bins,SibSp_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,0,[  0.  18.  35.  50.  65. 100.],[  0.  10.  20.  30.  40.  50. 100. 600.],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.1022408963585434,1.0,1.0,4.0,1,1
0,0,2,[  0.  18.  35.  50.  65. 100.],[  0.  10.  20.  30.  40.  50. 100. 600.],[0.  2.5 5. ],0.2362278244631185,0.8195587633712487,0.947132372133424,3.0,1,1
0,0,3,[  0.  18.  35.  50.  65. 100.],[  0.  10.  20.  30.  40.  50. 100. 600.],[0. 3. 5.],0.2455648926237161,0.8188093750048305,0.9313858451222496,3.0,1,1
0,0,25,[  0.  18.  35.  50.  65. 100.],[  0.  10.  20.  30.  40.  50. 100. 600.],[ 0.  2.  4.  6.  8. 10.],0.2334267040149392,0.8222609411114493,0.9516995581432404,3.333333333333333,1,1
0,24,0,[  0.  18.  35.  50.  65. 100.],[  0.     8.05  15.74  33.38 512.33],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.1830065359477124,0.8415945438176039,0.8058635835553574,3.0,1,1
0,48,0,[  0.  18.  35.  50.  65. 100.],[  0.     7.8    8.66  13.    21.08  30.    65.   513.  ],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.1171802054154995,0.9795011517450656,0.9259811559317772,3.0,1,1
0,48,3,[  0.  18.  35.  50.  65. 100.],[  0.     7.8    8.66  13.    21.08  30.    65.   513.  ],[0. 3. 5.],0.2549019607843137,0.798310526749896,0.857367001054027,2.0,1,1
0,49,0,[  0.  18.  35.  50.  65. 100.],[  0.    10.52  29.7   31.    52.    71.28  73.5  513.  ],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.1045751633986928,0.9805677358778508,0.913487559061874,3.0,1,1
0,49,3,[  0.  18.  35.  50.  65. 100.],[  0.    10.52  29.7   31.    52.    71.28  73.5  513.  ],[0. 3. 5.],0.2488328664799253,0.7993771108826812,0.8448734041841237,2.0,1,1
0,60,0,[  0.  18.  35.  50.  65. 100.],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.1657329598506069,0.848366945812986,0.9416154345434996,3.0,1,1
